
[0057]  [070]  []  []

-Z/11/250/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΘΕΡΑ-
-Z/11/254/8	τομίας, ἐν μὲν τῇ θεραπευτικῇ πραγματείᾳ τῆς χρήσεως τοῦ 
-Z/11/254/9	βοηθήματος εἰρημένης, ὥσπερ γε κἀν τοῖς ὑγιεινοῖς. ἐν δὲ 
-Z/11/254/10	τοῖς δύο βιβλίοις, ὧν τὸ μὲν ἕτερον ἐγράφη πρὸς Ἐρασίστρα-
-Z/11/254/11	τον αὐτὸν, τὸ δὲ ἕτερον πρὸς τοὺς ἐν Ῥώμῃ Ἐρασιστρατείους, 
-Z/11/254/12	ἐπιδεδειχότος μου τὰ κακῶς ὑπ' αὐτοῦ δοξασθέντα, παρακα-
-Z/11/254/13	λεσάντων δὲ πολλάκις πολλῶν μὲν φίλων ἰατρῶν, οἳ δοκοῦσί 
-Z/11/254/14	μοι τὴν θεραπευτικὴν πραγματείαν ὀκνεῖν ἀναγινώσκειν, 
-Z/11/254/15	ἡναγκάσθην ὕστερον ἐπὶ τὴν ἐνεστῶσαν ἀφικέσθαι σοι διέξο-
-Z/11/254/16	δον, ὅπως μὴ δόξαιμι φθονεῖν αὐτοῖς, ἐφεξῆς δὲ ἅπαντα κατὰ 
-Z/11/254/17	τὴν προσήκουσαν τάξιν ὑπὲρ τοῦ βοηθήματος εἰπεῖν. καὶ 
-Z/11/254/18	τοίνυν ἤδη μοι καιρὸς ἄρξασθαι τοῦ λόγου.  
-Z/11/255/1	  Τὸ μὲν τῆς διαθέσεως ὄνομα, καθότι καὶ 
-Z/11/255/2	δι' ἄλλων ἡμῖν εἴρηται, παρὰ τὸ διακεῖσθαι γεγονὸς, ὁμοίως 
-Z/11/255/3	ἐκείνῳ κατὰ πολλῶν λέγεται πραγμάτων. ἀλλὰ νῦν γε τὰς 
-Z/11/255/4	εἰς τὸ περὶ φύσιν ἐκτροπὰς ὁποῖαι τινὲς ἂν ὦσι, διαθέσεις 
-Z/11/255/5	ὀνομάζομεν ἐν ἅπαντι τῷ λόγῳ. ζητήσομεν δὲ πρότερον ὁπό-
-Z/11/255/6	σαι καὶ ὁποῖαι τούτων εἰσὶν αἱ κενώσεως δεόμεναι, δεύτερον 
-Z/11/255/7	δὲ τίνες ἐξ αὐτῶν αἱ φλεβοτομίας. ἐπεὶ δὲ τὰ ζητούμενα 
-Z/11/255/8	πάντα δύο τῆς εὑρέσεως ὄργανα κέκτηται, λόγον καὶ πεῖραν 
-Z/11/255/9	ἐν ἁπάσαις ταῖς τέχναις, οὐχ ἥκιστά τε καθ' ὅλον τὸν βίον, 
-Z/11/255/10	ἀναγκαῖον οἶμαι καὶ νῦν ἤτοι διὰ τοῦ λόγου μόνου γενέσθαι 
-Z/11/255/11	τῶν προκειμένων τὴν εὕρεσιν ἢ διὰ πείρας μόνης ἢ δι' ἀμφο-
-Z/11/255/12	τέρων. ἐπεὶ δὲ καὶ ὁ λόγος αὐτὸς ὁ μὲν ἐκ τῶν κοινῶν 
-Z/11/255/13	ἐννοιῶν μόνων ἀρχόμενος εὑρίσκεται καὶ ἀποδείκνυσιν, ὁ δὲ 
-Z/11/255/14	καὶ τοῖς ἐκ τούτων εὑρημένοις χρῆται πρὸς ἀπόδειξιν, ἑκατέ-
-Z/11/255/15	ρων τε τῷ λόγῳ ἐδείχθησαν ἡμῖν αἱ τέχναι πᾶσαι χρώμεναι, 
-Z/11/255/16	καὶ ἡμεῖς νῦν ὁπότερος ἂν αὐτῶν εὑρίσκηται χρήσιμος, ἐκεῖνον 
-Z/11/255/17	προσχειριούμεθα. τῷ μὲν οὖν προτέρῳ τῶν λόγων ἅπαντες  
-Z/11/256/1	ἄνθρωποι χρῶνται καθ' ὅλον τὸν βίον, τῷ δευτέρῳ δ' οὐχ 
-Z/11/256/2	ἅπαντες· ἴδιος γάρ ἐστι τῶν τεχνιτῶν. ὁ γάρ τοι γεωμέτρης 
-Z/11/256/3	τὸ μὲν πρῶτον θεώρημα τῆς αὐτοῦ τέχνης διὰ τοῦ προ-
-Z/11/256/4	τέρου λόγου μόνου δείκνυσιν, εἶτα τῷ δευτέρῳ μόνῳ χρῆται, 
-Z/11/256/5	προσλαμβάνει δὲ εἰς τὴν ἀπόδειξιν αὐτῆς καὶ τὸ ἐκ τοῦ πρώ-
-Z/11/256/6	του κατασκευασθέν. ὅσῳ δ' ἂν ἐπὶ πλέον ἀφίστηται τοῦ 
-Z/11/256/7	πρώτου θεωρήματος, ἐπὶ τοσοῦτον ἀφίσταται καὶ τοῦ προ-
-Z/11/256/8	τέρου λόγου καὶ τελευτῶν ἐλαχίστοις χρῆται, διὰ τῶν ἀποδε-
-Z/11/256/9	δειγμένων ἀποδεικνὺς ἕτερα καὶ δι' ἐκείνων αὖθις ἄλλα. καὶ 
-Z/11/256/10	εἶτ' ἂν αὖθις ἄλλα δι' ἐκείνων, ὥστε ἔρχεσθαί ποτε τὴν δεῖξιν 
-Z/11/256/11	αὐτῶν ἄχρι τῶν τοῖς ἰδιώταις ἀπίστων, ἡλίου καὶ σελήνης 
-Z/11/256/12	καὶ γῆς, οὐ μόνον τῶν μεγεθῶν, ἀλλὰ καὶ τῶν διαστημάτων 
-Z/11/256/13	τῆς γνώσεως, ἐξ ὧν εὑρεθέντων ὡρολόγιά τε κατασκευάζουσι 
-Z/11/256/14	καὶ κλεψύδρας οἱ τὴν ὁδὸν ταύτην βαδίσαντες, ἐκλείψεις τε 
-Z/11/256/15	προλέγουσιν ἡλίου καὶ σελήνης. οὕτως οὖν καὶ ἡμῖν ὁ τεχνι-
-Z/11/256/16	κὸς λόγος ἀποδεδειγμένος ἐν ἑτέραις πραγματείαις χρήσεται 
-Z/11/256/17	πολλοῖς, ἐνίοις μὲν ὡς δυνάμεις τινές εἰσι διοικοῦσαι τὰ ζῶα 
-Z/11/256/18	πλείους, ὧν τὰς μὲν φυσικὰς, τὰς δὲ ψυχικὰς ὀνομάζομεν. αἱ  
-Z/11/257/1	δ' ἀρχαὶ τῆς γενέσεως ἅπασι τοῖς οὖσιν ὕλην ἔχουσι 
-Z/11/257/2	τὰ τέτταρα στοιχεῖα, κεράννυσθαί τε πεφυκότα δι' ὅλων 
-Z/11/257/3	ἀλλήλων καὶ δρᾷν εἰς ἄλληλα. διὰ τοῦτο οὐδὲ Ἀσκληπιάδου 
-Z/11/257/4	μνημονεύσομεν ἔτι κατὰ τόνδε τὸν λόγον ἀποδεδεικότες αὐτοῦ 
-Z/11/257/5	τὰ στοιχεῖα ψευδῆ, κατά γε τὸ τρισκαιδέκατον ὑπόμνημα 
-Z/11/257/6	τῶν περὶ τῆς ἀποδείξεως καὶ κατὰ τὴν τῶν Ἀσκληπιάδου δο-
-Z/11/257/7	γμάτων πραγματείαν, ἐν ᾗ τὸ πέμπτον τε καὶ ἕκτον ἔλεγχον 
-Z/11/257/8	ἔχει τῶν στοιχείων αὐτοῦ. δέδεικται δὲ κᾀν τῷ περὶ τῶν 
-Z/11/257/9	Ἱπποκράτους στοιχείων ὑπομνήματι περί τε τῶν δραστικῶν 
-Z/11/257/10	ποιοτήτων, ὧν ὀνόματα θερμότης, ψυχρότης, ξηρότης, ὑγρό-
-Z/11/257/11	της, ἥ τε τῶν χυμῶν διαφορά τε καὶ γένεσις. εἴρηται δὲ καὶ 
-Z/11/257/12	περὶ τῶν καθαιρόντων φαρμάκων ἕκαστον τῶν χυμῶν ὀλίγα 
-Z/11/257/13	μέν τινα κᾀν τῷ περὶ τῶν στοιχείων συγγράμματι, καὶ κατὰ 
-Z/11/257/14	μόνας δ' ἐν ἑτέρῳ βιβλίῳ καὶ ἡ περὶ κράσεων δὲ πραγματεία 
-Z/11/257/15	τῇ περὶ τῶν στοιχείων ἑπομένη χρησίμη πρὸς τὸν ἐνεστῶτα 
-Z/11/257/16	λόγον. ἁπάντων δὲ μάλιστα τὸ περὶ πλήθους βιβλίον, ἐν ᾧ 
-Z/11/257/17	δέδεικται τὸ μὲν ὡς πρὸς δύναμιν πλῆθος, τὸ δ' ὡς πρὸς 
-Z/11/257/18	τὴν εὐρυχωρίαν, ἐν ᾗ περιέχεται ὑπὸ τῶν ἰατρῶν τὸ πλῆθος  
-Z/11/258/1	τοῦτο κατὰ τὸ ἔγχυμα. κάλλιστον οὖν ἐστὶ τοῖς μέλλουσι 
-Z/11/258/2	ἐξετάζειν ἐπιστημονικῶς τὰ κατὰ τήνδε τὴν πραγματείαν εἰρη-
-Z/11/258/3	μένα τὸ περὶ πλήθους ἀνεγνωκέναι βιβλίον. ὅσων δ' αὖ 
-Z/11/258/4	πάλιν ἐκεῖνο δεῖται προανεγνωσμένων αὐτὸ δηλώσει. θαυμα-
-Z/11/258/5	ζέτω δὲ μηδεὶς εἰ τοσούτων δεόμεθα πρὸς τὸ καλῶς ἐπισκέ-
-Z/11/258/6	ψασθαι περὶ φλεβοτομίας. οὐ γὰρ εἰς τούτου μόνου τοῦ 
-Z/11/258/7	βοηθήματος εὕρεσιν, ἀλλὰ καὶ τὴν τῶν ἄλλων ἁπάντων ἀναγ-
-Z/11/258/8	καία τῶν εἰρημένων ἐστὶν ἡ γνῶσις. ὡς εἴ γε χωρὶς τῆς ἐκεί-
-Z/11/258/9	νων ἐπιστήμης ἐνεχώρει θεραπεύειν ὀρθῶς, οὐκ ἂν ἐσπουδά-
-Z/11/258/10	σαμεν αὐτά. ταυτὶ μὲν οὖν ἀναγκαῖα ἦν προειπεῖν. αὐτοῦ 
-Z/11/258/11	δ' ἤδη καιρὸς ἄρξασθαι τοῦ λόγου σκοπουμένοις ὁπόσαι 
-Z/11/258/12	διαθέσεις εἰσὶν αἱ δεόμεναι κενώσεως. ἐὰν μὲν οὖν ἐκ πείρας 
-Z/11/258/13	τις αὐτὰς ἠθροικὼς διέρχηται, μνήμης χρεία μόνης ἐστὶ πρὸς 
[0057]  [070]  []  []

-Z/11/258/14	τὴν δήλωσιν· ἐὰν δ' ἐκ λογικῆς ὁδοῦ, τὸ κοινὸν καὶ καθόλου 
-Z/11/258/15	ἀναγκαῖόν ἐστιν εὑρεῖν, ἔπειτ' ἐκ τῆς ἐκείνου τομῆς εἰς εἴδη 
-Z/11/258/16	τε καὶ διαφορὰς ἄχρι τῶν ἐσχάτων εἰδῶν εὑρίσκειν τὸν 
-Z/11/258/17	ἀριθμὸν τῶν ἐνδεικνυμένων τὴν κένωσιν διαθέσεων. οὕτω  
-Z/11/259/1	γὰρ δείξομεν ἅπαντα συνιστάμενα τὰ διὰ λογικῆς ὁδοῦ τὴν 
-Z/11/259/2	εὕρεσιν ἔχοντα. 
-Z/11/259/3	  Τῆς οὖν ἰατρικῆς τέχνης ἔργον ἐχούσης 
-Z/11/259/4	ἁπάσας τῶν μορίων τοῦ σώματος τὰς κατὰ φύσιν ἐνεργείας 
-Z/11/259/5	ἀνασώζειν μὲν ὁπότε διαφθείροιτο, φυλάττειν δ' ὁπότε 
-Z/11/259/6	σώζοιντο, τούτων δ' ἑπομένων τῇ φυσικῇ κατασκευῇ, ταύτην 
-Z/11/259/7	ἀναγκαῖον ἐστι φυλάττειν τε παροῦσαν, ἀνακτᾶσθαι δὲ δια-
-Z/11/259/8	φθειρομένην. ἐπεὶ τοίνυν ἐδείχθησαν ὑπὸ τῶν ὁμοιομερῶν 
-Z/11/259/9	σωμάτων αἱ πρῶται τῶν ἐνεργειῶν ἐπιτελούμεναι, διὰ δὲ τῶν 
-Z/11/259/10	ὀργανικῶν αἱ δεύτεραι, ἐπισκεπτέον ἔστω σοι τὰ κατὰ τὸ 
-Z/11/259/11	σῶμα περιεχόμενα τῶν ὑγρῶν ἥντινα τὴν ὠφέλειαν ἢ τὴν 
-Z/11/259/12	βλάβην ἐργάζεται τοῖς μορίοις αὐτοῦ. δεδειγμένου τοίνυν ἐν 
-Z/11/259/13	τῷ περὶ πλήθους βιβλίῳ διττῶς γίνεσθαί τε καὶ λέγεσθαι τὸ 
-Z/11/259/14	πολὺ, κατὰ μὲν τὸ ἕτερον τῶν σημαινομένων ὡς πρὸς τὴν 
-Z/11/259/15	δύναμιν, κατὰ δὲ θάτερον ὡς πρὸς τὴν εὐρυχωρίαν τῶν 
-Z/11/259/16	περιεχόντων τοὺς χυμοὺς ἀγγείων, ὅπερ ὀνομάζουσιν ἔνιοι 
-Z/11/259/17	κατὰ τὸ ἔγχυμα, κενώσεως δέ ἐστιν ἑκατέρῳ χρεία, κᾂν 
-Z/11/259/18	ἐπὶ νοσοῦντος ἀνθρώπου κᾂν ἐπὶ ὑγιαίνοντος ἐπιγίγνηται. 
-Z/11/259/19	καθάπερ γε καὶ ὁ τὸ φορτίον βαστάζων οὐκ εὐθὺς ἅμα τῷ  
-Z/11/260/1	βαρύνεσθαί τε καὶ κάμνειν ἤδη καταπέπτωκέ τε καὶ νενίκηται 
-Z/11/260/2	πρὸς αὐτοῦ, κατὰ τὸν αὐτὸν τρόπον, ὅταν ἡ δύναμις ὑπὸ 
-Z/11/260/3	πλήθους βαρύνηται, δυνατόν ἐστι μηδέπω νοσεῖν τὸν 
-Z/11/260/4	ἄνθρωπον. εἰ γοῦν ἔνιοι τῶν ἔτι τὰς συνήθεις πράξεις πρατ-
-Z/11/260/5	τόντων λέγουσιν ὡς αἰσθάνονται βαρέων ἑαυτῶν καὶ νοθρῶν 
-Z/11/260/6	καὶ ὀκνηρῶν καὶ δυσκινήτων, αὐτὸ τοῦτό ἐστι τὸ πλῆθος τὸ πρὸς 
-Z/11/260/7	τὴν δύναμιν, ὥσπερ καὶ ὅταν ἀπὸ γυμνασίων τετάσθαι δοκῶσιν, 
-Z/11/260/8	ὥσπερ Ἐρασίστρατος ἔφη, παραπίπρανται βραχίονές τε καὶ 
-Z/11/260/9	πήχεις, οὐ μικρὸν γνώρισμά ἐστι θατέρου πλήθους, ὃ κατὰ τὸ 
-Z/11/260/10	ἔγχυμα καλεῖσθαι πρὸς τινῶν εἶπον, ἐπειδὴ κατὰ τοὺς ἐγκεχυμέ-
-Z/11/260/11	νους τοῖς ἀγγείοις χυμοὺς συνίσταται καὶ νοεῖται. λέλεκται δ' ἐν 
-Z/11/260/12	τοῖς ὑγιεινοῖς ἑλκώδους αἰσθήσεως ἐν ὅλῳ τῷ σώματι γιγνομένης, 
-Z/11/260/13	καὶ μάλιστα κατὰ τὰς κινήσεις, κακοχυμίας ἔγγονον εἶναι τὴν 
-Z/11/260/14	τοιαύτην διάθεσιν. ἀλλ' ὅμως καὶ τοῦτο φαίνεται γιγνόμενον 
-Z/11/260/15	οὐκ ὀλίγοις τῶν πραττόντων ἔτι τὰς συνήθεις πράξεις. καὶ 
-Z/11/260/16	κατὰ μόρια δέ τινα τοῦ σώματος οὐχ ὅλον ἐνίοτε τὸν ὄγκον 
-Z/11/260/17	ἐπιφαίνεται τὰ σημεῖα τῶν ἐν ἐκείνοις τοῖς μορίοις ὁμοίων 
-Z/11/260/18	διαθέσεων, ὁποῖαι τοίνυν εἴρηνται καθ' ὅλον τὸ σῶμα συνί- 
-Z/11/261/1	στασθαι. κεφαλῆς γοῦν μόνης αἰσθανόμεθα ποτὲ βαρυνο-
-Z/11/261/2	μένης ἢ ἑλκώδη τινὰ αἴσθησιν ἐχούσης, ἢ τῶν κροταφιτῶν 
-Z/11/261/3	μυῶν τεινομένων ἤτοι γ' ἁπλῶς ἢ μετὰ θερμασίας πλείονος. 
-Z/11/261/4	οὕτω δὲ καὶ καθ' ἧπάρ τε καὶ σπλῆνα καὶ γαστέρα καὶ πλευ-
-Z/11/261/5	ρὰς καὶ διάφραγμα βάρους αἰσθανόμεθα πολλάκις. ὡσαύ-
-Z/11/261/6	τως δὲ καὶ κατὰ τὸ στόμα τῆς γαστρὸς ἤτοι βάρους, ἢ 
-Z/11/261/7	δήξεως, ἢ ναυτίας, ἢ ἀποστροφῆς σιτίων, ἢ ὀρέξεως παρα-
-Z/11/261/8	λόγου γίνεταί ποτ' αἴσθησις, πρὸς τούτοις καὶ ὀδύναι καθ' 
-Z/11/261/9	ὁτιοῦν ἐρείδουσαι μόριον, ἢ διὰ χυμῶν πλῆθος ἀθρόως ἐπε-
-Z/11/261/10	νεχθὲν ἢ διὰ πνεῦμα φυσῶδες ἐνδείκνυται κένωσιν, ὥσπέρ 
-Z/11/261/11	γε καὶ διὰ χυμὸν δριμὺν ἐσθίοντά τε καὶ διαβιβρώσκοντα τὸ 
-Z/11/261/12	μόριον. ἔνιαι δὲ κατὰ δυσκρασίαν γίνονται. καὶ τούτων 
-Z/11/261/13	αὐτῶν τινὲς μὲν ψιλὴν ἄνευ χυμῶν, ἔνιαι δὲ μετὰ χυμῶν. 
-Z/11/261/14	ἐφ' ἁπάντων μὲν οὖν τῶν εἰρημένων αἱ κενώσεις τῶν λυπούν-
-Z/11/261/15	των χυμῶν καὶ ἀτμῶν ἀπαλλάττουσι τῶν παθημάτων τὸν 
-Z/11/261/16	ἄνθρωπον, οὐ μὴν φλεβοτομίας δεόμεθά γε πάντως, ἀλλ' 
-Z/11/261/17	ἀρκεῖ καὶ καθῆραι καὶ τρῖψαι καὶ λοῦσαι καὶ χρῖσαι τινὶ δια- 
-Z/11/262/1	φορητικῷ φαρμάκῳ. τίνες οὖν εἰσὶν αἱ διὰ φλεβοτομίας ὠφε-
-Z/11/262/2	λούμεναι διαθέσεις ἐφεξῆς λεγέσθωσαν. 
-Z/11/262/3	  Οὐ μόνον ἡ τροφὴ τοῖς τοῦ ζώου μέρεσιν 
-Z/11/262/4	ἐξ αἵματός ἐστιν, ἀλλὰ καὶ ἡ κατὰ φύσιν θερμασία τὴν δια-
-Z/11/262/5	μονὴν ἐξ αἵματος ἔχει, καθάπερ ἐκ τῶν ἐπιτηδείων καίεσθαι 
-Z/11/262/6	ξύλων τὸ κατὰ τῆς ἑστίας πῦρ, ὑφ' οὗ καὶ τοὺς οἴκους ὁρῶ-
-Z/11/262/7	μεν ὅλους θερμαινομένους. ὥσπερ οὖν τὸ πῦρ τοῦτο βλάπτε-
-Z/11/262/8	ται ποτὲ μὲν ἀθρόως ξύλων ἐπιβληθέντων αὐτῷ, ποτὲ 
-Z/11/262/9	δ' εἰ καὶ μὴ πολλῶν, ἀλλ' ὑγρῶν ἱκανῶς, ἐνίοτε δ' οὐδ' ὅλως 
-Z/11/262/10	ἐπιτιθεμένων ἢ παντάπασιν ὀλίγων, οὕτω καὶ ἡ κατὰ τὴν 
-Z/11/262/11	καρδίαν θερμότης ποτὲ μὲν ἐλάττων ἑαυτῆς διά τε πλῆθος 
-Z/11/262/12	αἵματος ἢ ἔνδειαν πολλὴν ἢ ποιότητα ψυχρὰν ἀποτελεῖται, 
-Z/11/262/13	ποτὲ δὲ πλείων ἤτοι διὰ ποιότητα θερμὴν αἵματος ἢ δι' 
-Z/11/262/14	ἔνδειαν ὀλίγην. ὅ τι δ' ἂν ἡ καρδία πάθοι κατὰ ψύξιν ἢ 
