
[0057]  [001]  []  []

-Z//t/1	  {ΓΑΛΗΝΟΥ ΠΡΟΤΡΕΠΤΙΚΟΣ ΕΠ ΙΑΤΡΙΚΗΝ.} 
-Z//1/16	κατὰ Πίνδαρον ἐπισκοπεῖ. ἐξεπορί-
-Z//1/17	σατο δ' ὑπὸ φιλοπονίας καὶ τὸ μέγιστον τῶν θείων ἀγαθῶν φιλοσοφίαν. 
-Z//1/18	διὰ ταῦτα τοίνυν 〈εἰ〉 καὶ λόγου μέτεστι τοῖς ἄλλοις ζῴοις, 
-Z//1/19	κατ' ἐξοχὴν αὖθις πάλιν ὁ ἄνθρωπος μόνος ὀνομάζεται λογικός. 
-Z//2/1	  πῶς οὖν οὐκ αἰσχρόν, ᾧ μόνῳ τῶν ἐν ἡμῖν κοινωνοῦμεν θεοῖς, τούτου μὲν 
-Z//2/2	ἀμελεῖν, ἐσπουδακέναι δὲ περί τι τῶν ἄλλων, τέχνης μὲν ἀναλήψεως καταφρονοῦντα, 
-Z//2/3	Τύχῃ δ' ἑαυτὸν ἐπιτρέποντα· ἧς τὴν μοχθηρίαν ἐμφανίσαι βουληθέντες οἱ παλαιοὶ 
-Z//2/4	γράφοντες καὶ πλάττοντες αὐτὴν οὐ μόνον ἐν εἴδει γυναικὸς ἠρκέσθησαν (καίτοι 
-Z//2/5	〈καὶ〉 τοῦθ' ἱκανὸν ἦν ἀνοίας σύμβολον) ἀλλὰ καὶ πηδάλιον ἔδοσαν ἐν χεροῖν  
-Z//2/6	ἔχειν αὐτῇ καὶ τοῖν ποδοῖν ὑπέθεσαν βάσιν σφαιρικήν, ἐστέρησαν δὲ καὶ τοῖν ὀφ-
-Z//2/7	θαλμοῖν, ἐνδεικνύμενοι διὰ τούτων ἁπάντων τὸ τῆς τύχης ἄστατον. ὥσπερ οὖν 
-Z//2/8	ἐν νηὶ χειμαζομένῃ σφοδρῶς, ὡς ἐπικλύζεσθαί τε τοῖς κύμασι καὶ κινδυνεύειν βυ-
-Z//2/9	θισθῆναι, μοχθηρῶς ἄν τις πράξειεν ἐπιτρέψας τὰ πηδάλια κυβερνήτῃ τυφλῷ, 
-Z//2/10	κατὰ τὸν αὐτὸν οἶμαι τρόπον κἀν τῷ βίῳ, μειζόνων ναυαγιῶν περὶ πολλοὺς 
-Z//2/11	οἴκους γιγνομένων ἢ περὶ τὰ σκάφη κατὰ θάλατταν, οὐκ ὀρθῶς γιγνώσκοντός 
-Z//2/12	ἐστιν ἐπιτρέπειν ἑαυτὸν ἐν τοιαύταις περιστάσεσι πραγμάτων τυφλῇ δαίμονι μηδ' 
-Z//2/13	αὐτῇ βεβαίως ἐστηριγμένῃ. ἔμπληκτός τε γάρ ἐστι καὶ ἄνους εἰς τοσοῦτον ὡς 
-Z//2/14	πολλάκις τοὺς ἀξιωτάτους ἄνδρας παρερχομένη πλουτίζειν τοὺς ἀναξίους, οὐδὲ 
-Z//2/15	τούτους βεβαίως ἀλλ' ἕως ἂν 〈αὐτ〉ῇ δοκῇ πάλιν αὐτῶν ἀφαιρεῖσθαι τὰ δο-
-Z//2/16	θέντα. ταύτῃ τῇ δαίμονι πλῆθος ἀνδρῶν ἀμαθῶν οὐκ ὀλίγον ἕπεται μηδέποτ' 
-Z//2/17	ἐν ταὐτῷ μενούσῃ διὰ τὸ τῆς βάσεως εὐμετακύλιστον, ἥτις αὐτὴν 
-Z//2/18	ἄγει καὶ φέρει καὶ κατὰ κρημνῶν ἐνίοτε καὶ θαλάττης· ἔνθα συναπόλλυνται 
-Z//2/19	μὲν ἀλλήλοις ἑπόμενοι πάντες αὐτῇ, μόνη δ' ἀβλαβὴς ἐκείνη διεξέρχεται 
-Z//2/20	καταγελῶσα τῶν ὀλοφυρομένων τε καὶ ἐγκαλούντων αὐ〈τῇ μά〉την ὅτ' οὐδὲν 
-Z//2/21	ὄφελος. 
-Z//3/1	  τὰ μὲν δὴ τῆς Τύχης ἔργα τοιαῦτα· τὸν δ' Ἑρμῆν ἅτε λόγου μὲν ὄντα 
-Z//3/2	δεσπότην ἐργάτην δὲ τέχνης ἁπάσης θέασαι πάλιν ὅπως ἐξ ὑπεναντίου τῇ Τύχῃ 
-Z//3/3	κεκοσμήκασιν 〈οἱ〉 παλαιοὶ γράφοντές τε καὶ πλάττοντες· νεανίσκος ἐστὶν ὡραῖος, 
-Z//3/4	οὐκ ἐπίκτητον οὐδὲ κομμωτικὸν ἔχων κάλλος, ἀλλ' εὐθὺς ὥστε συνεμφαίνεσθαι 
-Z//3/5	τὴν τῆς ψυχῆς ἀρετὴν δι' αὐτοῦ. ἐστὶ δὲ φαιδρὸς μὲν τὰς ὄψεις, δέδορκε δὲ 
-Z//3/6	δριμύ, καὶ ἡ βάσις τὸ πάντων σχημάτων ἑδραιότατόν τε καὶ ἀμεταπτωτότατον 
-Z//3/7	ἔχει τὸν κύβον. ἔσθ' ὅτε δὲ καὶ αὐτὸν τὸν θεὸν τούτῳ τῷ σχήματι κοσμοῦσιν. 
-Z//3/8	ἴδοις δ' ἂν τοὺς θιασώτας αὐτοῦ φαιδροὺς μὲν ὁμοίως τῷ καθηγουμένῳ θεῷ, 
-Z//3/9	μεμφομένους δ' οὐδέποτ' αὐτὸν ὥσπερ οἱ τὴν Τύχην, οὐδ' ἀπολειπομένους 
-Z//3/10	ποτ' οὐδὲ χωριζομένους, ἀλλ' ἑπομένους τε καὶ διὰ παντὸς ἀπολαύοντας τῆς 
-Z//3/11	προνοίας αὐτοῦ. 
-Z//4/1	  τοὺς δέ γε τῇ Τύχῃ συνεπομένους ἅπαντας μὲν ἀργοὺς θεάσῃ καὶ τεχ-
-Z//4/2	νῶν ἀμαθεῖς, ὀχουμένους δ' ἐπ' ἐλπίδων ἀεὶ καὶ θεούσῃ τῇ δαίμονι συνθέοντας, 
-Z//4/3	ἐνίους μὲν ἐγγὺς ἐνίους δὲ πορρωτέρω, τινὰς δὲ καὶ τῆς χειρὸς αὐτῆς ἐξημμέ-
-Z//4/4	νους. ἐν τούτοις ἅπασι καὶ τὸν Κροῖσον ἐκεῖνον τὸν Λυδὸν ὄψει καὶ τὸν Πο-
-Z//4/5	λυκράτην τὸν Σάμιον, καὶ ἴσως θαυμάσεις τῷ μὲν τὸν Πακτωλὸν ἰδὼν ῥέοντα  
-Z//4/6	χρυσόν, τῷ δὲ καὶ τοὺς θαλαττίους ὑπηρετοῦντας ἰχθῦς. μετὰ τούτων 
-Z//4/7	δὲ καὶ Κῦρον θεάσῃ καὶ Πρίαμον καὶ Διονύσιον. ἀλλὰ τούτων αὐτῶν ὀλίγον 
-Z//4/8	ὕστερον ὄψει Πολυκράτην μὲν ἀνεσταυρωμένον, ὑπὸ Κύρῳ δὲ Κροῖσον, αὐτὸν 
-Z//4/9	δὲ τὸν Κῦρον ὑπ' ἄλλοις. ὄψει δὲ καὶ Πρίαμον καθῃρημένον καὶ Διονύσιον ἐν 
-Z//4/10	Κορίνθῳ. εἰ δὲ καὶ τοὺς ἄλλους ἐπισκέψαιο τοὺς ἀπωτέρω μὲν αὐτὴν θέουσαν 
-Z//4/11	διώκοντας, οὐ μὴν τυχόντας γε, μισήσεις ὅλον τὸν χορόν. εἰσὶ 〈μὲν〉 γὰρ ἐνταῦθα 
-Z//4/12	καὶ δημαγωγοὶ πολλοὶ καὶ ἑταῖραι καὶ πόρνοι καὶ προδόται φίλων, εἰσὶ δὲ καὶ 
-Z//4/13	φονεῖς καὶ τυμβωρύχοι καὶ ἅρπαγες ἄλλοι τέ 〈τινες καὶ οἱ〉 μηδὲ τῶν θεῶν 
-Z//4/14	αὐτῶν πεφεισμένοι, ἀλλὰ καὶ τούτων 〈τὰ〉 ἱερὰ συλήσαντες. 
-Z//5/1	  ὁ δ' ἕτερος τῶν χορῶν πάντες μὲν κόσμιοι καὶ τεχνῶν ἐργάται, οὐ 
-Z//5/2	θέουσι δὲ οὐδὲ βοῶσιν οὐδ' ἀλλήλοις μάχονται· ἀλλ' ἐν μέσοις μὲν αὐτοῖς ὁ 
-Z//5/3	θεός, ἀμφ' αὐτὸν δ' ἅπαντες ἐν τάξει κεκόσμηνται, χώραν ἕκαστος ἣν ἐκεῖνος 
-Z//5/4	ἔδωκεν οὐκ ἀπολείποντες· οἱ μὲν ἔγγιστα τῷ θεῷ καὶ περὶ αὐτὸν ἐν κύκλῳ 
-Z//5/5	κεκοσμημένοι γεωμέτραι καὶ ἀριθμητικοὶ καὶ φιλόσοφοι καὶ ἰατροὶ καὶ ἀστρο-
-Z//5/6	νόμοι καὶ γραμματικοί, τούτων δ' ἐφεξῆς ὁ δεύτερος κόσμος ζωγράφοι πλάσται 
-Z//5/7	γραμματισταί, τέκτονές τε καὶ ἀρχιτέκτονες καὶ λιθογλύφοι, καὶ μετ' αὐτοὺς δ' ἡ 
-Z//5/8	τρίτη τάξις, αἱ λοιπαὶ τέχναι πᾶσαι. κατὰ μέρη μὲν οὕτω κεκόσμηνται· πάντες δὲ 
-Z//5/9	πρὸς τὸν θεὸν ἀποβλέπουσι κοινῷ τῷ παρ' αὐτοῦ προστάγματι πειθόμενοι. θεάσῃ 
-Z//5/10	δὲ κἀνταῦθα πολλοὺς μετ' αὐτοῦ τοῦ θεοῦ, τετάρτην δή τινα τάξιν ἀπὸ τῶν ἄλλων 
-Z//5/11	ἔκκριτον, οὐχ οἷοί τινες ἦσαν οἱ μετὰ τῆς Τύχης· οὐ γὰρ ἀξιώμασι πολιτικοῖς 
-Z//5/12	οὐδὲ γένους ὑπεροχαῖς οὐδὲ πλούτῳ τοὺς ἀρίστους ὁ θεὸς οὗτος εἴθισται κρί-
-Z//5/13	νειν, ἀλλὰ τοὺς καλῶς μὲν βιοῦντας, ἐν δὲ ταῖς ἑαυτῶν τέχ-
-Z//5/14	ναις πρωτεύοντας, ἑπομένους δὲ τοῖς προστάγμασιν αὐτοῦ καὶ νομίμως τὰς 
-Z//5/15	τέχνας ἐργαζομένους τιμᾷ τε καὶ πρὸ τῶν ἄλλων ἄγει, περὶ αὑτὸν 
-Z//5/16	ἔχων ἀεί. τοῦτον 〈μὲν οὖν ὅλον〉 οἶμαι τὸν χορὸν νοήσας ὁποῖός ἐστιν οὐ μόνον 
-Z//5/17	ζηλώσεις ἀλλὰ καὶ προσκυνήσεις. Σωκράτης 〈γάρ〉 ἐστιν ἐν αὐτῷ καὶ Ὅμηρος 
-Z//5/18	καὶ Ἱπποκράτης καὶ Πλάτων καὶ οἱ τούτων ἐρασταί, οὓς ἴσα καὶ τοῖς θεοῖς 
-Z//5/19	σέβομεν, οἷον ὕπαρχοί τινες καὶ ὑπηρέται τοῦ θεοῦ. 〈καὶ〉 τῶν δ' ἄλλων ἁπάντων 
-Z//5/20	οὐκ ἔστιν ὅστις ἠμελήθη ποτὲ πρὸς αὐτοῦ· οὐ μόνον γὰρ ὁδοιπορούντων 〈αὐτῶν〉 
-Z//5/21	πεφρόντικεν ἀλλὰ καὶ πλέουσι σύμπλους ἐστὶ καὶ ναυαγούντων οὐκ ἀπολείπεται. 
-Z//5/22	Ἀρίστιππος γοῦν ἐπειδή ποτε πλέων τοῦ σκάφους ἀπολομένου πρὸς τὰς Συρα- 
-Z//5/23	κοσίων ᾐόνας ἐξεβράσθη, πρῶτον μὲν ἐθάρρησε θεασάμενος ἐπὶ τῆς ψάμμου 
-Z//5/24	διάγραμμα γεωμετρικόν· ἐλογίσατο γὰρ εἰς Ἕλληνάς τε καὶ σοφοὺς ἄνδρας, 
-Z//5/25	οὐκ εἰς βαρβάρους ἥκειν. ἔπειτα παραγενόμενος εἰς τὸ Συρακοσίων γυμνάσιον 
-Z//5/26	καὶ ταυτὶ τὰ ἔπη φθεγξάμενος 
-Z//5/27	      ‘τίς τὸν πλανήτην Οἰδίπουν καθ' ἡμέραν 
-Z//5/28	      τὴν νῦν σπανιστοῖς δέξεται δωρήμασι;’ 
-Z//5/29	προσιόντας τέ τινας ἔσχεν αὑτῷ καὶ γνωρίζοντας ὅστις εἴη καὶ πάντων ὧν ἐδεῖτο 
[0057]  [001]  []  []

-Z//5/30	μεταδιδόντας εὐθέως. ὡς δ' εἰς Κυρήνην αὐτοῦ τὴν πατρίδα μέλλοντές τινες 
-Z//5/31	πλεῖν ἐπυνθάνοντο, μή τι τοῖς οἰκείοις ἐπιστέλλει, κελεύειν αὐτοὺς ἔφη ταῦτα 
-Z//5/32	κτᾶσθαι τὰ κτήματα ἃ καὶ ναυαγήσαντι συνεκκολυμβήσει. 
-Z//6/1	  πολλοὶ δὲ τῶν κακοδαιμόνων καὶ πάντα πρὸς τὸν πλοῦτον ἀποβλεπόν-
-Z//6/2	των ἐν τοιαύταις πραγμάτων περιστάσεσι γενόμενοι χρυσὸν ἢ ἄργυρον ἐξαψά-
-Z//6/3	μενοί τε καὶ περιθέμενοι τῷ σώματι προσαπώλεσαν αὐτοῖς καὶ τὴν ψυχήν, 
-Z//6/4	οὐδὲ τοῦτο δυνάμενοι συνιδεῖν ὅτι καὶ τῶν ἀλόγων ζῴων αὐτοὶ πρῶτοι τὰ ταῖς 
-Z//6/5	〈χρηστοτάταις〉 τέχναις κεκοσμημένα μᾶλλον ἀσπάζονται. καὶ γὰρ τοὺς πολε-
-Z//6/6	μικοὺς ἵππους καὶ τοὺς θηρατικοὺς κύνας πρὸ τῶν ἄλλων τιμῶσι καὶ τοὺς μὲν 
-Z//6/7	οἰκέτας ἐκδιδάσκονται τέχνας, πάμπολυ πολλάκις εἰς αὐτοὺς ἀργύ-
-Z//6/8	ριον ἀναλίσκοντες, ἑαυτῶν δ' ἀμελοῦσι. καίτοι γε οὐκ αἰσχρὸν οἰκέτην μὲν ἐνίοτε 
-Z//6/9	δραχμῶν εἶναι μυρίων ἄξιον, αὐτὸν δὲ τὸν δεσπότην αὐτοῦ μηδὲ μιᾶς; καὶ τί 
-Z//6/10	λέγω μιᾶς; οὐδ' ἂν προῖκά τις τὸν τοιοῦτον λάβοι. μήποθ' ἑαυτοὺς μόνους 
-Z//6/11	ἠτιμάκασιν ἐκ πάντων μηδεμίαν ἐκμαθόντες τέχνην; ὅταν γὰρ καὶ τὰ ἄλογα 
-Z//6/12	τῶν ζῴων ἐν τεχνικοῖς ἐπιτηδεύμασι παιδεύωσι καὶ οἰκέτην ἀργὸν καὶ ἄτεχνον 
-Z//6/13	οὐδενὸς ἄξιον νομίζωσιν, ἐπιμελῶνται δὲ καὶ τῶν χωρίων καὶ τῶν ἄλλων κτημά-
-Z//6/14	των ὅπως ἕκαστον εἰς δύναμιν ὅτι βέλτιστον ᾖ, μόνων δ' ἑαυτῶν ἀμελῶσι, μηδ' 
-Z//6/15	εἰ ψυχὴν ἔχουσι γιγνώσκοντες, εὔδηλον ὅτι τοῖς ἀποβλήτοις τῶν οἰκετῶν ἐοίκα-
-Z//6/16	σιν. ὥστε τις ἐπιστὰς ἀνδρὶ τοιούτῳ προσηκόντως ἂν εἴποι πρὸς αὐτὸν ‘ὦ ἄν-
-Z//6/17	θρωπ', ἡ οἰκία μέν σοί 〈γ'〉 εὐεκτεῖ καὶ τἀνδράποδα πάντα καὶ ἵπποι δὴ καὶ 
-Z//6/18	κύνες καὶ χωρία καὶ ὅσα κέκτησαι διάκειται καλῶς· ’αὐτὸν δὲ σὲ οὐκ ἀγαθὴ 
-Z//6/19	κομιδὴ ἔχει.‘’ καλῶς οὖν καὶ ὁ Ἀντισθένης καὶ ὁ Διογένης, ὃ μὲν 
-Z//6/20	χρυσᾶ πρόβατα καλῶν τοὺς πλουσίους καὶ ἀπαιδεύτους, ὃ δὲ ταῖς ἐπὶ τῶν  
-Z//6/21	κρημνῶν συκαῖς ἀπεικάζων αὐτούς· ἐκείνων τε γὰρ τὸν καρπὸν οὐκ ἀνθρώ-
-Z//6/22	πους ἀλλὰ κόρακας ἢ κολοιοὺς ἐσθίειν, τούτων τε τὰ χρήματα μηδὲν μὲν ὄφελος 
-Z//6/23	εἶναι τοῖς ἀστείοις, δαπανᾶσθαι δ' ὑπὸ τῶν κολάκων, οἵτινες ἐὰν οὕτως τύχῃ 
-Z//6/24	πάντων αὐτοῖς ἀναλωθέντων ἀπαντῶντες παρέρχονται μὴ γνωρίζειν προσποιού-
-Z//6/25	μενοι. ὅθεν οὐδ' ὁ ταῖς κρήναις τοὺς τοιούτους εἰκάσας ἄμουσός τις ἦν· καὶ 
-Z//6/26	γάρ τοι καὶ οἱ ἀπὸ τῶν κρηνῶν ὑδρευμένοι πρόσθεν, ἐπειδὰν μηκέτ' ἔχωσιν 
-Z//6/27	ὕδωρ, ἀνασυράμενοι προσουροῦσι. καὶ ἐστὶν εὔλογον τοὺς διὰ μηδὲν ἄλλ' ἢ τὰ 
-Z//6/28	χρήματα περιβλέπτους ἅμα τῷ στερηθῆναι τούτων εὐθὺς καὶ τῶν ἄλλων ἃ διὰ 
-Z//6/29	ταῦτ' εἶχον ἐστερῆσθαι. τί γὰρ ἂν καὶ πάθοιεν, ἴδιον μὲν οὐδὲν 
-Z//6/30	ἀγαθὸν κεκτημένοι, ἀεὶ δ' ἐπ' ἀλλοτρίοις καὶ τοῖς παρὰ τῆς Τύχης ἐπαιρόμενοι; 
-Z//7/1	  τοιοῦτοι δέ τινές εἰσι καὶ οἱ τὴν εὐγένειαν προβαλλόμενοι καὶ φρονοῦν-
-Z//7/2	τες ἐπ' αὐτῇ μέγα· καὶ γὰρ καὶ οὗτοι σπάνει τῶν ἰδίων ἀγαθῶν ἐπὶ τὸ γένος 
-Z//7/3	〈ἀνατρ〉έχουσιν, οὐδὲ τοσοῦτον γιγνώσκοντες ὡς ἡ ἀξία 〈τῆς〉 ἑαυτῶν εὐγενείας 
-Z//7/4	ἐφ' ᾗ σεμνύνονται τοῖς κατὰ πόλιν νομίσμασιν ἔοικεν, ἃ παρὰ τοῖς θεμένοις 
-Z//7/5	ἰσχύοντα παρ' ἄλλοις ἐστὶ κίβδηλα. 
-Z//7/6	    ‘{—} οὐδ' ηὑγένεια ς' ἦρεν εἰς ὕψος μέγα; 
-Z//7/7	    {—} κακὸν τὸ μὴ ἔχειν· τὸ γένος οὐκ ἔβοσκέ με.’ 
-Z//7/8	καλὸς οὖν, εὖ φησιν ὁ Πλάτων, θησαυρὸς αἱ τῶν πατέρων 
-Z//7/9	ἀρεταί· κάλλιον δ' ἀντιθεῖναι δύνασθαι τὸν τοῦ Σθενέλου λόγον 
-Z//7/10	      ‘ἡμεῖς τοι πατέρων μέγ' ἀμείνονες εὐχόμεθ' εἶναι.’ 
-Z//7/11	ταύτην γὰρ μόνην ἔχοιμεν ἄν, εἰ δή τίς ἐστιν εὐγενείας χρεία, πρὸς οἰκεῖον 
-Z//7/12	παράδειγμα τὸν ζῆλον ἡμῖν γίγνεσθαι· ὡς, εἴ γε κατὰ πολὺ τῆς τῶν προγόνων 
-Z//7/13	ἀρετῆς ἀπολειπόμεθα, λύπη μὲν ἂν εἴη κἀκείνοις, εἴ τις αὐτοῖς ἐστιν αἴσθησις, 
-Z//7/14	αἰσχύνη δ' ἡμῖν αὐτοῖς τοσῷδε μείζων ὅσῳ καὶ τὸ γένος περιφανέστερον. 
-Z//7/15	οἱ μὲν γὰρ ἀγνῶτες παντάπασι 〈καὶ〉 ἄσημοι τῷ γένει τοῦτο 
-Z//7/16	γοῦν αὐτὸ κερδαίνουσι τὸ μὴ γιγνώσκεσθαι τοῖς πολλοῖς ὁποῖοί τινές εἰσιν· ὅσοις 
-Z//7/17	δὲ τὸ λαμπρὸν καὶ διάσημον τοῦ γένους οὐδὲ τοῦ λαθεῖν ἐξουσίαν δίδωσι, τί 
-Z//7/18	ἄλλο ἢ περιφανέστερον οὗτοι δυστυχοῦσιν; καὶ μέν γε καὶ καταγιγνώσκονται  
-Z//7/19	μᾶλλον οἱ ἀνάξιοι τοῦ γένους, ὥστ', εἰ καί τις ἠλίθιος ὢν ὑπομιμνῄσκοι τὸ λαμ-
-Z//7/20	πρὸν τοῦ γένους, ἀσυγγνωστότερον ἑαυτῷ τὸ κακὸν ἀποφαίνει. οὐ γὰρ ὁμοίως 
-Z//7/21	ἐξετάζομέν τε καὶ βασανίζομεν τοὺς ἐπιτυχόντας ἀνθρώπους τοῖς 
-Z//7/22	τῷ γένει λαμπροῖς, ἀλλὰ τοὺς μέν, κἂν μέτριοί τινες ὦσιν, ἀποδεχόμεθα τῇ 
-Z//7/23	δυσγενείᾳ τῆς ἐνδείας τὴν αἰτίαν ἀναφέροντες, τοὺς δ' εἰ μηδὲν τῶν προγόνων 
-Z//7/24	ἄξιον ἔχοιεν οὐδέπω θαυμάζομεν, ἂν καὶ τῶν ἄλλων ἁπάντων πολὺ διαφέρωσιν. 
-Z//7/25	ὥστ' εἴ τις εὖ φρονεῖ, τέχνης ἀσκήσει προσίτω, δι' ἣν κἂν εὐγενὴς ᾖ τοῦ γένους 
-Z//7/26	οὐκ ἀνάξιος φανεῖται, κἂν μὴ τοιοῦτος ὑπάρχῃ τὸ γένος αὐτὸς ἐπικοσμήσει, 
-Z//7/27	μιμησάμενος τὸν παλαιὸν ἐκεῖνον Θεμιστοκλέα, ὃς ὀνειδιζόμενος ἐπὶ τῷ γένει 
-Z//7/28	‘ἀλλ' ἐγὼ τοῖς 〈ἐ〉μοῖς αὐτός, ἔφη, τοῦ γένους ἄρξω, καὶ τὸ μὲν ἐμὸν ἀπ' ἐμοῦ 
-Z//7/29	γένος ἄρξεται, τὸ δὲ σὸν εἰς σὲ τελευτήσει.’ 〈ἆρ' οὖν οὐχ〉 ὁρᾷς ὡς οὐδὲν κωλύει 
-Z//7/30	τὸν Σκύθην Ἀνάχαρσιν καὶ θαυμάζεσθαι δὴ καὶ σοφὸν ὀνομάζεσθαι; καίτοι 
-Z//7/31	βάρβαρος ἦν τὸ γένος. οὗτός ποτε πρός τινος ὀνειδιζόμενος ὅτι βάρβαρος εἴη 
-Z//7/32	καὶ Σκύθης ‘ἐμοὶ μέν, 〈εἶπεν〉, ἡ πατρὶς ὄνειδος, σὺ δὲ τῇ πατρίδι,’ πάνυ καλῶς 
-Z//7/33	ἐπιπλήξας τῷ μηδενὸς ἀξίῳ λόγου, μόνον δ' ἐπὶ τῇ πατρίδι σεμνυνομένῳ. εἰ 
-Z//7/34	γὰρ ἐπιστήσαις τοῖς πράγμασι τὸν νοῦν, οὐ διὰ τὰς πόλεις εὕροις ἂν ἐν δόξῃ 
-Z//7/35	τοὺς πολίτας γιγνομένους, ἀλλ' αὐτὸ δὴ τοὐναντίον διὰ τοὺς ἀγαθοὺς ἄνδρας ἐν 
-Z//7/36	ταῖς τέχναις καὶ τὰς πατρίδας αὐτῶν μνημονευομένας. τίς γὰρ 〈ἂν〉 ἦν Σταγί-
-Z//7/37	ρων λόγος, εἰ μὴ δι' Ἀριστοτέλην, τίς δ' ἂν Σόλων, εἰ μὴ δι' Ἄρατόν τε καὶ 
-Z//7/38	Χρύσιππον; ὅπου καὶ τῶν Ἀθηνῶν αὐτῶν μέχρι πόρρω τοὔνομα πεφοίτηκεν οὐ 
-Z//7/39	διὰ τὴν τῆς γῆς ἀρετήν—λεπτόγεως γάρ— 
-Z//7/40	ἀλλὰ διὰ τοὺς ἐν αὐτῇ φύντας, οἳ πλεῖστοί τε καὶ ἄριστοι γενόμενοι μετέδοσάν 
-Z//7/41	τι καὶ τῇ πατρίδι τοῦ σφετέρου κλέους. μάθοις δ' ἂν ἐναργέστατα τὸ τοιοῦτον 
-Z//7/42	ἀληθὲς ὄν, εἰ τὸν Ὑπέρβολον ἢ τὸν Κλέωνα λογίσαιο, τοσοῦτον ἀπὸ τῶν Ἀθηνῶν 
-Z//7/43	κερδήσαντας ὅσον ἄν τις εἰς περιφάνειαν 〈κακός τ' ὢν κἀκ〉 κακῶν ἐπι-
-Z//7/44	κτήσαιτο. ‘ἦν ὅτε σύας Βοιώτιον ἔθνος ἔνεπον’ ὁ Πίνδαρός φησι, 
-Z//7/45	καὶ πάλιν ὁ αὐτὸς ‘εἰ φεύγομεν Βοιωτίαν ὗν’, ἀξιῶν ὅλου 
-Z//7/46	σχεδὸν ἔθνους τὸν ἐπ' ἀμαθείᾳ ψόγον ἀπολύεσθαι διὰ τὴν ἑαυτοῦ μουσικήν.  
-Z//8/1	  ἐπαινέσειε δ' ἄν τις καὶ τὸν Ἀθήνησι νομοθέτην, ὃς τὸν μὴ διδάξαντα 
-Z//8/2	τέχνην ἐκώλυε πρὸς τοῦ παιδὸς τρέφεσθαι. τέχνης 〈γὰρ〉 ἁπάσης κατ' ἐκεῖνον 
-Z//8/3	μάλιστα τὸν χρόνον ἀσκουμένης ἡνίχ' ὡραιότατα φαίνεται τὰ σώματα, πολλοῖς 
-Z//8/4	συνέβη περιβλέπτοις διὰ κάλλος γεγενημένοις ἀμελῆσαι τῆς ἑαυτῶν ψυχῆς, εἶθ' 
-Z//8/5	ὕστερον ὅτ' οὐδὲν ὄφελος λέγειν 
-Z//8/6	          ‘εἴθ' ὤφελεν τὸ κάλλος, ὅ με διώλεσε, 
-Z//8/7	          κακῶς ὀλέσθαι’. 
