
[0057]  [079]  []  []

-Z/14/210/t1	{ΓΑΛΗΝΟΥ ΠΡΟΣ ΠΙΣΩΝΑ ΠΕΡΙ 
-Z/14/213/17	καὶ ὁ σοφώτατος Πλάτων, ὡς εἰκὸς ἐπὶ πολλῶν πολλάκις 
-Z/14/213/18	ἰδὼν, καὶ χαίρων τῇ τῆς ἀληθείας ἀνάγκῃ, καὶ τὰς μαθή- 
-Z/14/214/1	σεις ἀναμνήσεις εἶναι λέγει, καὶ τὴν ψυχὴν, πάντων τὰς 
-Z/14/214/2	ἐννοίας ἔχειν δοκεῖν, ἐμφαίνεσθαι δὲ αὐτὰς τότε, ὅτε ἡ 
-Z/14/214/3	χρεία καλεῖ. ὥσπερ δὲ δὴ καὶ ἐπὶ σοῦ, διὰ τὴν περὶ τὸν 
-Z/14/214/4	παῖδα φροντίδα, ἀπροσδόκητος ἡμῖν ἡ παροῦσά σοι τῆς 
-Z/14/214/5	τέχνης ἐμπειρία κατεφαίνετο, καὶ εἰκότως φιλόκαλός τε ὢν, 
-Z/14/214/6	οὕτω καὶ εὐφυής. οὐδὲ περὶ τὸ φάρμακον τοῦτο τὴν θη-
-Z/14/214/7	ριακὴν ἔσχες ἀμελῶς, ἀλλ' ἐσπούδασας αὐτοῦ εἰδέναι τήν τε 
-Z/14/214/8	δύναμιν καὶ τὴν κρᾶσιν, τόν τε καιρὸν καὶ τὸ μέτρον τῆς 
-Z/14/214/9	χρήσεως ἀκριβῶς ἐκμαθεῖν. 
-Z/14/214/10	  [Θηριακῆς ἔπαινος καὶ διάγνωσις, καὶ τῶν 
-Z/14/214/11	περὶ ταύτην ἀρχόντων Ῥωμαίων σπουδή.] Καὶ γὰρ ἐστὶν 
-Z/14/214/12	ὡς ἀληθῶς, παρὰ τοῖς ἀνθρώποις ἅπασιν ἐνδοξότατον, διώ 
-Z/14/214/13	τε τὸ ἄπταιστον τῆς ἐπαγγελίας καὶ διὰ τὸ δυνατὸν τῆς 
-Z/14/214/14	ἐνεργείας· οὔτε γάρ τις δηχθείς ποτε ὑπὸ τῶν ἀναιρεῖν 
-Z/14/214/15	εἰωθότων θηρίων εὐθὺς πιὼν τὴν ἀντίδοτον ἀποθανὼν 
-Z/14/214/16	ἱστόρηται, οὔτ' ἂν προπιών τις, εἶτ' οὐ μετὰ πολὺ δηχθεὶς 
-Z/14/214/17	ἰσχυρότερον πρὸς τὸ ἀποκτεῖναι τὸν ἰὸν ἔσχε τοῦ θηρίου, 
-Z/14/214/18	ὅπερ πολλάκις καὶ τῶν ἀρχόντων τινὲς, ἐξουσίαν θανάτου  
-Z/14/215/1	καὶ ζωῆς ἔχοντες. εἶτα τὸ κρῖναι τὸ φάρμακον θέλοντες, 
-Z/14/215/2	εἰ τοῦθ' ὅπερ ἐπαγγέλλεται, καὶ δρᾷν δύναται, ἐπὶ τῶν ἤδη 
-Z/14/215/3	διά τινας πονηρὰς καὶ παρανόμους πράξεις κατακριθέντων 
-Z/14/215/4	ἀποθανεῖν δοκιμάζουσιν αὐτὸ, ἡμεῖς μὲν ἐπ' ἀνθρώπων 
-Z/14/215/5	τὴν κρίσιν αὐτοῦ ποιεῖσθαι μὴ δυνάμενοι, ἐπί τινων ἄλλων 
-Z/14/215/6	ζώων τὸ αὐτὸ δρῶντες, τὴν ἀληθῆ τοῦ φαρμάκου κρίσιν 
-Z/14/215/7	εὑρίσκειν πειρώμεθα. ἀλεκτρυόνας γὰρ λαβόντες, τοὺς μὴ 
-Z/14/215/8	ὅσοι γέ τινες οἰκοδίαιτοί τέ εἰσιν, καὶ ἡμῖν ὁμορόφιοι, 
-Z/14/215/9	ἄγριοι δὲ μᾶλλον τυγχάνουσιν ὄντες, καὶ ξηρότερον κεκρα-
-Z/14/215/10	μένοι τὸ σῶμα, οὕτως αὐτοῖς προβάλλομεν τὰ θηρία, καὶ 
-Z/14/215/11	τὰ μὲν εὐθέως ἀποθνήσκει τὰ μὴ πιόντα, ὅσα δὲ πέπωκεν, 
-Z/14/215/12	ἰσχύει καὶ μετὰ τὸ δῆγμα τὴν ζωὴν ἔχει. δοκι-
-Z/14/215/13	μάζειν δ' ἐνίοτε χρὴ τὸ φάρμακον, εἰ μή ἐστι δεδολωμένον. 
-Z/14/215/14	καὶ τούτῳ τῷ τρόπῳ. διδόντες γάρ τι τῶν διὰ γαστρὸς 
-Z/14/215/15	καθαίρειν δυναμένων φαρμάκων, προδίδομεν τῆς θηριακῆς, 
-Z/14/215/16	καὶ ὅταν δοθείσης αὐτῆς μὴ καθαίρηται ὁ λαβὼν τὸ κα-
-Z/14/215/17	θαρτικὸν φάρμακον, αὐτῷ δοκιμάζομεν τὴν ἀντίδοτον ἀρί-
-Z/14/215/18	στην οὖσαν, ἐπειδὴ ἐκώλυσε τὴν κάθαρσιν γενέσθαι τῷ  
-Z/14/216/1	λαβόντι τὸ καθαρτικὸν φάρμακον, ὡς διὰ τὴν τοιαύτην 
-Z/14/216/2	κρίσιν, μή ποτ' ἂν ἡμᾶς σφαλῆναι περὶ τὴν τοῦ ἀληθοῦς 
-Z/14/216/3	φαρμάκου εὕρεσιν. πολλὴ γάρ ἐστιν ὑπὸ τῶν πανουργούν-
-Z/14/216/4	των καὶ ἡ περὶ αὐτὸ γινομένη πανουργία, καὶ οἱ πολλοὶ 
-Z/14/216/5	τῇ δόξῃ μόνῃ τῆς ἀντιδότου ἀπατώμενοι, παρὰ τῶν καπη-
-Z/14/216/6	λικῶς χρωμένων τῇ τέχνῃ, πλείστῳ ἀργυρίῳ, κἂν μὴ καλῶς 
-Z/14/216/7	ἐσκευασμένον ᾖ, ὠνοῦνται τὸ φάρμακον. εἰσὶ γὰρ καὶ τῶν 
-Z/14/216/8	ὑγιαινόντων τινὲς οἳ ἐν ὅλῳ καὶ παντὶ τῷ ἑαυτῶν βίῳ 
-Z/14/216/9	ἀδιαλείπτως χρῶνται τῷ φαρμάκῳ, μάλιστα ὅσοι διὰ τὸ 
-Z/14/216/10	σκαιὸν, καὶ ἀνελεύθερον τοῦ τρόπου μὴ ζῶσιν ἀμερίμνως, 
-Z/14/216/11	ἀλλ' ἀεὶ πρὸς τὸ ἐπιβουλεύεσθαι τὴν ὑποψίαν τοῦ ῥᾳδίως 
-Z/14/216/12	ὑπὸ τῶν ἐχθρῶν ἀποθανεῖν ἔχουσιν. ἔνιοι δὲ δι' ὠφέλειαν 
-Z/14/216/13	τοῦ σώματος καθ' ἑκάστην ἡμέραν προσφέρονται τοῦ φαρ-
-Z/14/216/14	μάκου, ὥσπερ δὴ τὸν θεῖον Μάρκον καὶ ἡμεῖς οἴδαμεν ἐν-
-Z/14/216/15	θέσμως ποτὲ βασιλεύσαντα, καὶ ἀκριβῶς ἑαυτοῦ διὰ τὴν 
-Z/14/216/16	σύνεσιν τῇ συγκράσει τοῦ σώματος παρακολουθήσαντα, κα-
-Z/14/216/17	τακόρως τε, καὶ ὥς τινι τροφῇ χρησάμενον τῷ φαρμάκῳ. 
-Z/14/216/18	ἐξ ἐκείνου γὰρ καὶ μᾶλλον δεδόξασται τὸ φάρμακον, καὶ  
-Z/14/217/1	εἰς τὸ φανερὸν αὐτοῦ τοῖς ἀνθρώποις ἡ δύναμις τῆς ἐνερ-
-Z/14/217/2	γείας ἐλήλυθε. τῇ γὰρ ἐπὶ τὸν βασιλέα γενομένῃ ὑγιεινῇ 
-Z/14/217/3	καταστάσει τὴν πίστιν τῆς ὠφελείας ἡ ἀντίδοτος μᾶλλον 
-Z/14/217/4	προσείληφεν. ἀλλ' ἐπὶ μὲν ἐκείνου τοῦ βασιλέως μόνον 
-Z/14/217/5	αὐτῆς τὸ ἔργον εἰς τὴν γνῶσιν τῶν εἰδότων κοινὸν ἦν, ἐπὶ 
-Z/14/217/6	δὲ τῶν νῦν μεγίστων αὐτοκρατόρων ἡ χρῆσις εἰς τὸ κοινὸν 
-Z/14/217/7	ἔφθασε. πᾶσι γὰρ ἡμῖν ἔξεστι τοῖς παρ' αὐτῶν κεχρῆσθαι 
-Z/14/217/8	καλῶς καὶ θεραπεύεσθαι ἀφθόνως, ἄλλου παρ' ἄλλου λαμ-
-Z/14/217/9	βάνοντος τὸ φάρμακον, ἐπεὶ μὴ μόνον τῷ παρὰ θεῶν ἔχειν 
-Z/14/217/10	τὸ βασιλεύειν ὑπερέχουσιν ἁπάντων, ἀλλὰ καὶ τῷ τῶν ἀγα-
-Z/14/217/11	θῶν ἁπάντων ἅπασι μεταδιδόναι ἡδέως, ὥσπερ καὶ αὐτοὶ 
-Z/14/217/12	οἱ θεοὶ, ἐν τῷ ἴσῳ καὶ τοσούτῳ τὴν εὐφροσύνην ἔχοντες, 
-Z/14/217/13	ἐν ὅσῳ περ καὶ οἱ ἀπ' αὐτῶν διασωζόμενοι διατίθενται, 
-Z/14/217/14	καὶ νομίζοντες τὸ μέγιστον εἶναι τῆς βασιλείας μέρος τὴν 
-Z/14/217/15	τοῦ κοινοῦ σωτηρίαν, ὅπερ δὴ καὶ μᾶλλον ἐπ' αὐτῶν τε-
-Z/14/217/16	θαύμακα. οὐ γὰρ περὶ τοῦτο τὸ φάρμακον μόνον τὴν σπου-
-Z/14/217/17	δὴν ἔχουσιν, ἀλλ' οὕτως εἰσὶ περὶ πάντα φιλότιμοι, ὡς εἴ 
-Z/14/217/18	ποτέ τινι τῶν φίλων αὐτοῦ χρεία γένοιτο, θαυμαστὸν ὅπως  
-Z/14/218/1	ἐξ ἑτοίμου, καὶ μετὰ πολλῆς τῆς προθυμίας κοινωνοῦσι τῶν 
-Z/14/218/2	φαρμάκων. οὐ γὰρ περιμένοντες τὴν ἀνάγκην τῆς χρήσεως, 
[0057]  [079]  []  []

-Z/14/218/3	τότε καὶ σκευάζουσιν αὐτὰ, ἀλλὰ πρὸς τὸ τάχος τῆς τῶν 
-Z/14/218/4	καιρῶν ὀξύτητος ἑτοίμην καὶ τὴν παρασκευὴν αὐτῶν φιλο-
-Z/14/218/5	κάλως ἔχουσιν. ὁπότε γοῦν Ἀντίπατρος, ὁ τὰς Ἑλ-
-Z/14/218/6	ληνικὰς ἐπιστολὰς αὐτῶν πράττειν πεπιστευμένος, καὶ διὰ 
-Z/14/218/7	τὸ σεμνὸν τοῦ ἤθους καὶ διὰ τὴν ἐν τοῖς ῥητορικοῖς λόγοις 
-Z/14/218/8	ἐντελῆ παιδείαν μεγάλως ὑπ' αὐτῶν τιμώμενος, τῇ νεφρι-
-Z/14/218/9	τικῇ διαθέσει περιπεσὼν, δεινὰ καὶ ἀνήκεστα ὑπὸ τοῦ πά-
-Z/14/218/10	θους ἔπασχεν, ἀξιέπαινον αὐτῶν εἶδον τὴν περὶ τοὺς φίλους 
-Z/14/218/11	εἰς τὸ σώζεσθαι σπουδὴν, καὶ θαυμαστὴν τὴν περὶ τὴν 
-Z/14/218/12	ἰατρικὴν φιλοτιμίαν. οὕτω γὰρ πρὸς τὸ ποικίλον καὶ διά-
-Z/14/218/13	φορον τῶν συμπτωμάτων ἐνιστάμενοι ἀντηγωνίζοντο τῷ πά-
-Z/14/218/14	θει διὰ τῶν καλλίστων φαρμάκων, ὡς τῶν ἰατρῶν οἱ ἄρι-
-Z/14/218/15	στοι, καὶ τὸν πάντα βίον περὶ τὴν ἄσκησιν αὐτῆς ἠσχολη-
-Z/14/218/16	μένοι. τὴν δὲ πάντα μοι φιλτάτην Ἀῤῥίαν, καὶ αὐτὴν ὑπ' 
-Z/14/218/17	αὐτῶν ἐξόχως ἐπαινουμένην, διὰ τὸ φιλοσοφεῖν ἀκρι-
-Z/14/218/18	βῶς, καὶ τοῖς Πλάτωνος μάλιστα χαίρειν λόγοις, ἀνέσωσάν  
-Z/14/219/1	ποτε νοσήσασαν οὐ παρέργως καὶ τὸν στόμαχον ἐκλελυμέ-
-Z/14/219/2	νον ἔχουσαν, καὶ κειμένην οὕτως ὑπτίαν, ὡς μηδὲ τὰς 
-Z/14/219/3	τροφὰς δύνασθαι λαμβάνειν, καὶ διὰ τοῦτο εἰς τὸν τῆς 
-Z/14/219/4	ἀτροφίας κίνδυνον ἐλθεῖν ὅτε δὴ καὶ ὡς οἱ ἐμπειρότατοι 
-Z/14/219/5	τῶν ἰατρῶν ἐθεράπευσαν τὴν γυναῖκα, ὑποδείξαντος ἐμοῦ, 
-Z/14/219/6	τὸν ἀψινθίτην οἷον παρασχόντες αὐτῇ πιεῖν· πιοῦσα γὰρ 
-Z/14/219/7	εὐθέως ἀνεῤῥώσθη τε τὸν στόμαχον, καὶ ταχέως ἀπείληφε 
-Z/14/219/8	τῆς ὀρέξεως τὸ ἔργον. τὸ δὲ ἐπὶ τοῦ σοῦ παιδὸς γενόμε-
-Z/14/219/9	νον εἰκὸς ὅτι καὶ μνημονεύεις ἔτι ὁπότε γὰρ γενομένης 
-Z/14/219/10	τῆς ἀποστάσεως σὺ μὲν, ὡς χρηστὸς πατὴρ, ὀκνηρότερον 
-Z/14/219/11	εἶχες πρὸς τὴν τομὴν, ἤπειγε δὲ ὁ καιρὸς ἀποκριθῆναι τὸ 
-Z/14/219/12	ἐγκείμενον ὑγρὸν, δόντες αὐτοὶ τὸ φάρμακον ἀπήλλαξαν 
-Z/14/219/13	ἡμᾶς τῆς μεγάλης ἐπ' αὐτῷ φροντίδος· ἐπιτεθεῖσα γὰρ ἡ 
-Z/14/219/14	ἔμπλαστρος διεῖλε μὲν τὸ ἐπικείμενον σῶμα ὀξύτερον τῆς 
-Z/14/219/15	τομῆς, ἐκένωσε δὲ πᾶν τὸ ὑγρὸν τὸ ὑποκείμενον, ὡς μηκέτ' 
-Z/14/219/16	ἔχειν διὰ τοῦτο τὸ παιδίον τὰς ἀλγηδόνας. 
-Z/14/219/17	  [Τίνος ἕνεκα ἐκ πολλῶν σύγκειται ἡ ἀντί-
-Z/14/219/18	δοτος· ἔμφυτον δὲ πᾶσιν δύναμιν ὑπάρχειν, ἣν λόγῳ τε καὶ  
-Z/14/220/1	αἰσθήσει ἰσχνεύομεν.] Ταύτην οὖν ἔχοντες περὶ ταῦτα τὰ 
-Z/14/220/2	φάρμακα, ὡς ὁρᾷς, τὴν βασιλικὴν φιλοκαλίαν, εἰκότως καὶ 
-Z/14/220/3	τὴν θηριακὴν σκευάζουσιν ἐπιμελῶς, καὶ ἓν ἕκαστον ὧν 
-Z/14/220/4	μιγνύουσιν ἀκριβῶς δοκιμάζοντες αὐτοὶ, ὡς μηδὲν παρορᾷν, 
-Z/14/220/5	καὶ διὰ τοῦτο θαυμαστῶς τὴν ἀντίδοτον ἀποτελεῖν τὰ ἔργα· 
-Z/14/220/6	καὶ γάρ ἐστιν, ὡς οἶδας, ποικιλίαν ἔχουσα τοῖς μίγμασι καὶ 
-Z/14/220/7	πολυειδῆ τὴν χρῆσιν ἐν τοῖς ἔργοις. τεθαύμακα γοῦν ἐγὼ 
-Z/14/220/8	τὸν πρῶτον ποιησάμενον αὐτῆς τὴν σκευασίαν. καί μοι 
-Z/14/220/9	δοκεῖ μήτ' ἀλόγως, ἀλλ' ἀκριβεῖ τινι λογισμῷ, καὶ βεβασα-
-Z/14/220/10	νισμένῃ πάνυ τῇ φροντίδι πεποιῆσθαι αὐτῆς τὴν σύνθεσιν· 
-Z/14/220/11	οὐ γὰρ ὥσπερ οἱ ἀπὸ τῆς ἐμπειρίας ἰατροὶ ἄνευ λόγου 
-Z/14/220/12	κατὰ τὰς φύσεις ἕκαστον ἀτέχνως ἰατρεύοντες αἰσχρῶς τὰ 
-Z/14/220/13	μὲν ἐξ ὀνειράτων, τὰ δὲ καὶ παρ' αὐτῆς τῆς τύχης λαβεῖν 
-Z/14/220/14	φασιν εἰς τὴν τέχνην τὰ φάρμακα, οὕτω καὶ ἡμεῖς περὶ 
-Z/14/220/15	τὴν ἰατρικὴν σπουδάζομεν, ἀλλ' ὅσα μὲν ὁ λόγος αὐτὸς 
-Z/14/220/16	πρῶτος καὶ μόνος ἐξευρέσκειν δύναται, ταῦτα ἀκριβῶς 
-Z/14/220/17	παντὶ τῷ λογισμῷ ζητοῦντες φιλοπόνως εὑρίσκομεν, ὅσα δὲ 
-Z/14/220/18	εὑρεῖν ἀδυνατεῖ, ταῦτα διὰ τῶν αἰσθήσεων τῇ πείρᾳ κρί- 
-Z/14/221/1	νομεν, πολλάκις μηδ' αὐτῇ μόνῃ καὶ μιᾷ τῇ αἰσθήσει πι-
-Z/14/221/2	στεύοντες αὐτῶν ποιεῖσθαι τὴν κρίσιν· οὔτε γὰρ τὴν τίτα-
-Z/14/221/3	νον, ὅτι λευκή ἐστιν ὥσπερ ἡ χιὼν, τῇ ὄψει μόνον ὡς 
-Z/14/221/4	ψύχουσαν κρίνειν αὔταρκες εἶναι νομίζομεν· οὔθ' ὅτι τὸ 
-Z/14/221/5	ῥόδον, διὰ τὸ ἐρυθρὸν εἶναι, διὰ τοῦτο καὶ θερμαίνειν 
-Z/14/221/6	αὐτὸ εὐθέως πεπείσμεθα, ἀλλ' ἅμα τῇ ὄψει καὶ τὴν αἴσθη-
-Z/14/221/7	σιν τῆς ἁφῆς προσπαραλαμβάνοντες τὴν μὲν, ὅτι θερμαί-
-Z/14/221/8	νειν μέχρι τοῦ καίειν ἀδιαψεύστως εὑρίσκομεν, τὸ δὲ 
-Z/14/221/9	ῥόδον ἀντιπαραλαμβανόμενοι τῆς ἐπ' αὐτοῦ ψύξεως, ὅτι τῶν 
-Z/14/221/10	ἐμψυχόντων ἐστὶν, ἀκριβῶς ἐπιστεύσαμεν. καὶ οὕτω λοι-
-Z/14/221/11	πὸν ἀκριβῶς ἑκάστου τῶν φαρμάκων τὴν δυνάμιν διὰ τῆς 
-Z/14/221/12	αὐτῆς αἰσθήσεως κρίνοντες εὑρίσκομεν, τὸ μὲν ὅτι τόδε 
-Z/14/221/13	ἐστὶν ἁλμυρὸν, ἢ ὀξὺ, τὸ δ', ὅτι πικρὸν, ἢ γλυκὺ, τῇ 
-Z/14/221/14	γεύσει δοκιμάζοντες αὐτά· τὸ δ' ὅτι τὸ μὲν θερμαίνει, τὸ 
-Z/14/221/15	δὲ ψύχει, καὶ ἄλλο ὑγραίνει, ἕτερον δὲ ξηραίνει, ἡ διὰ τῆς 
-Z/14/221/16	ἁφῆς ἀντίληψις γνωρίζειν ἡμῖν παρέσχε. πολλὰ δ' αὐτῶν 
-Z/14/221/17	διὰ τῆς ὀδμῆς κρίνειν ἐπινοοῦμεν, καὶ τὸ μὲν εὔτονον τῆς 
-Z/14/221/18	δυνάμεως ἐκ τοῦ πληκτικοῦ τῆς ἀποφορᾶς εὑρίσκομεν, τὸ  
-Z/14/222/1	δ' ἄτονον τῆς ἰσχύος διὰ τῆς ἐκλύσεως τοῦ ὀσφραν-
-Z/14/222/2	τοῦ. γνωρίζωμεν δ' εἰ δόκιμόν τε καὶ μὴ, κριτήριον τῶν 
-Z/14/222/3	ἁπλῶν φαρμάκων τὰς ἑαυτῶν αἰσθήσεις ποιησάμενοι, καὶ 
-Z/14/222/4	ταύταις αὐτὰ πειράσαντες τὸ πρῶτον, καὶ διὰ τῆς χρήσεώς 
-Z/14/222/5	τε καὶ αἰσθήσεως τὸ πιστὸν αὐταῖς ἐργασάμενοι, οὕτω λοι-
-Z/14/222/6	πὸν προσάγοντες τῇ πείρᾳ τὸν λόγον, καὶ εἰς πάντα ὁδηγῷ 
-Z/14/222/7	χρώμενοι, καὶ τοῖς ἁπλοῖς φαρμάκοις δεόντως χρώμεθα, καὶ 
-Z/14/222/8	τὴν σύνθεσιν αὐτῶν τῇ τοῦ λόγου τέχνῃ ἀρίστην ποιούμε-
-Z/14/222/9	θα. ἐκμαθόντες γὰρ ἑκάστου τῶν παθῶν τὴν φύσιν, καὶ 
-Z/14/222/10	τὸ πολὺ καὶ διάφορον τῆς τῶν ἁπλῶν κράσεως εἰδότες, 
