
[0057]  [090]  []  []

-Z/17a/480/t1	            {ΓΑΛΗΝΟΥ 
-Z/17a/481/6	λόμενοι. 
-Z/17a/481/6	 
-Z/17a/481/7	  <Ἤρξατο τρόμοϲ ἀπὸ χειρῶν, τῇ 
-Z/17a/481/8	πρώτῃ πυρετὸϲ ὀξύϲ, λῆροϲ.> 
-Z/17a/481/8	 
-Z/17a/481/9	  <Τῇ πρώτῃ> τῶν ἡμερῶν εὐθὺϲ ἅμα τῷ <πυρέττειν ὀξέωϲ> 
-Z/17a/481/10	δύο ϲυμπτώματα γενέϲθαι φηϲὶ τῷ <Πυθίωνι, τρόμον τῶν χειρῶν> 
-Z/17a/481/11	παραφροϲύνην τέ τινα βραχεῖαν. εἴωθε γὰρ αὐτὸϲ ἄλλοτε ἄλλοιϲ ὀνό-
-Z/17a/481/12	μαϲιν ἐνδείκνυϲθαι τὸ ποϲὸν τῆϲ παραφροϲύνηϲ, <ληρῆϲαι> καὶ παρα-
-Z/17a/481/13	ληρῆϲαι καὶ παραφρονῆϲαι καὶ παρενεχθῆναι λέγων ἢ πάλιν παρα-
-Z/17a/481/14	κόψαι καὶ ἐκϲτῆναι, μανῆναί τε καὶ ἐκμανῆναι. εἴπερ οὖν <ἐλήρηϲεν  
-Z/17a/482/1	ὁ Πυθίων>, εὔδηλον ὅτι με|τρίωϲ παρεφρόνηϲεν. ἐμάθομεν δὲ τοῦ 
-Z/17a/482/2	μὲν <τρόμου> τὴν αἰτίαν ἀρρωϲτίαν εἶναι τῆϲ κατὰ τοὺϲ μῦϲ δυνά-
-Z/17a/482/3	μεωϲ, παραφροϲύνην δὲ γίνεϲθαι βλαβέντοϲ ἐγκεφάλου κατὰ φλεγμο-
-Z/17a/482/4	νὴν ἢ πλεονεξίαν χολώδουϲ χυμοῦ, τὸν δ' <ὀξὺν πυρετὸν> ἕπεϲθαι 
-Z/17a/482/5	ϲηπεδόνι χυμῶν. εἰ μὲν οὖν καὶ τὰ προηγηϲάμενα τῆϲ νόϲου, καθά-
-Z/17a/482/6	περ ἐπ' ἄλλων ἔγραψεν, οὕτω κἀπὶ τοῦ <Πυθίωνοϲ> ἐγεγράφει, τάχ' 
-Z/17a/482/7	ἂν ἐξ ἐκείνων [ἂν] ἡμῖν ἔνδειξίϲ τιϲ ἐγένετο τῆϲ καταϲκευῆϲ τοῦ νο-
-Z/17a/482/8	ϲήματοϲ. ἐπεὶ δ' οὐ προϲέθηκεν, ἐξ ὧν [προϲ]ἔγραψε μόνων [καὶ] 
-Z/17a/482/9	ἡμεῖϲ πειραϲόμεθα τὴν εὕρεϲιν αὐτῆϲ ποιήϲαϲθαι ϲὺν τῷ κἀξ αὐτοῦ 
-Z/17a/482/10	τοῦ μηδὲν γεγράφθαι περὶ τῶν προηγηϲαμένων τῆϲ νόϲου γίνεϲθαι τὴν 
-Z/17a/482/11	ἔνδειξιν τῆϲ ἐν τῷ ϲώματι διαθέϲεωϲ. εἴτε γὰρ ἐκ γυμναϲίων ἀκαίρων 
-Z/17a/482/12	ἢ πότων ἢ ἀφροδιϲίων, ὡϲ εἴωθε γράφειν, εἴτ' ἐξ ἄλλου τινὸϲ ἐξηλ-
-Z/17a/482/13	λαγμένου πολὺ τῆϲ ϲυνήθουϲ διαίτηϲ ἤρξατο <πυρέττειν ὁ Πυθίων>, 
-Z/17a/482/14	οὐκ ἂν εἰπεῖν αὐτὸ παρέλιπεν. εὔδηλον οὖν ὅτι κατὰ βραχὺ 〈ϲυχνῷ〉 
-Z/17a/482/15	χρόνῳ λεληθότωϲ ἡ καταϲκευὴ τοῦ νοϲήματοϲ ἐγένετο. τῶν τοίνυν 
-Z/17a/483/1	<τρόμων> τὴν μέν, ὡϲ ἂν εἴποι τιϲ, αἰτίαν ἐχόντων ϲυν|εκτικὴν ἀρ-
-Z/17a/483/2	ρωϲτίαν τῆϲ δυνάμεωϲ, ἀρρωϲτούϲηϲ δ' αὐτῆϲ ἤτοι κατὰ τὸν ἴδιον 
-Z/17a/483/3	λόγον ἢ διὰ πλῆθοϲ βαρῦνον, ὁ μὲν τῇ βλάβῃ τῆϲ δυνάμεωϲ ἑπό-
-Z/17a/483/4	μενοϲ <τρόμοϲ> οὐδέποτ' ἐν ἀρχῇ νόϲου γίνεται χωρὶϲ ἰϲχυρᾶϲ ναυϲιά-
-Z/17a/483/5	ϲεωϲ ἢ λιμοῦ καὶ κόπων ἀγρυπνιῶν τε καὶ φροντίδων, ἔτι τε πρὸϲ 
-Z/17a/483/6	τούτοιϲ ἀφροδιϲίων ἀμέτρων· ὧν εἴπερ ἐγεγένητό τι, πάντωϲ ἂν ὁ 
-Z/17a/483/7	<Ἱπποκράτηϲ> ἐμνημόνευϲεν αὐτοῦ κατὰ τὴν γραφήν, ὡϲ εἴωθεν. 
-Z/17a/483/8	ἐπεὶ τοίνυν οὐδὲν ἔγραψε τοιοῦτον, διὰ πλῆθοϲ ὑπολαβεῖν εὔλογόν 
-Z/17a/483/9	ἐϲτι βαρύνεϲθαι τὴν δύναμιν. ἐπεὶ δ' οἵ τε <τρόμοι> περὶ <τὰϲ χεῖ-
[0057]  [090]  []  []

-Z/17a/483/10	ραϲ> ἐγένοντο τὴν ἀρχὴν τῶν νεύρων ἐκ τοῦ κατὰ τὸν τράχηλον  
-Z/17a/483/11	ἐχούϲαϲ νωτιαίου ἔκ τε τοῦ <ληρῆϲαι> τὸν ἄνθρωπον ἔνδειξίϲ ἐϲτι 
-Z/17a/483/12	τοῦ καὶ τὸν ἐγκέφαλον αὐτὸν ἤδη τινὰ δεδέχθαι μοχθηρὸν χυμόν, 
-Z/17a/483/13	ἐχρῆν ἐννοήϲαντα τὸν <Ἱπποκράτην> κινδυνωδῶϲ ἔχειν τὸν ἄνθρω-
-Z/17a/483/14	πον ἐπὶ φλεβοτομίαν ἐλθεῖν ἤτοι κατὰ τὴν πρώτην ἡμέραν, εἰ μηδὲν 
-Z/17a/483/15	ἄπεπτον ἐν τῇ γαϲτρὶ περιείχετο ϲιτίον, ἢ πάντωϲ γε κατὰ τὴν δευ-
-Z/17a/483/16	τέραν, ἔτι δὲ μᾶλλον, ὅτι μετὰ τὴν τῆϲ πρώτηϲ ἡμέραϲ διήγηϲιν 
-Z/17a/484/1	αὐτὸϲ ἔγραψε· | “Δευτέρῃ πάντα παρωξύνθη.” φαίνεται γὰρ αὐξανό-
-Z/17a/484/2	μενον, ὡϲ οὐ ϲμικρὸν οὐδ' ἐπὶ τῇ τυχούϲῃ διαθέϲει τὸ νόϲημα γεγο-
-Z/17a/484/3	νόϲ, ἀλλ' αὐτό τε μέγα καὶ τὴν αἰτίαν οὐκ εὐκαταφρόνητον ἔχον. 
-Z/17a/484/4	ἐπεὶ δ' οὐκ ἐπὶ <Πυθίωνοϲ> μόνον, ἀλλὰ καὶ πολλῶν ἄλλων ἀρρώ-
-Z/17a/484/5	ϲτων φαινομένων δεῖϲθαι φλεβοτομίαϲ ἐξ ὧν αὐτὸϲ ἔγραψε τεκμαιρο-
-Z/17a/484/6	μένοιϲ ἡμῖν οὐχ εὑρίϲκεται προϲγράφων αὐτήν, ἀναγκαῖόν ἐϲτι δυοῖν 
-Z/17a/484/7	θάτερον ὑπονοεῖν, ἢ μὴ φλεβοτομηθῆναι τοὺϲ ἀνθρώπουϲ ἐκείνουϲ ἢ 
-Z/17a/484/8	παραλελεῖφθαι τὴν διήγηϲιν τοῦ βοηθήματοϲ. τὸ μὲν οὖν μηδένα τῶν 
-Z/17a/484/9	δεηθέντων αὐτοῦ φλεβοτομηθῆναι τῶν ἀπιθάνων ἐϲτίν, ὡϲ οὐ φεύ-
-Z/17a/484/10	γοντοϲ <τἀνδρὸϲ> τὸ βοήθημα τοῦτο, καθάπερ ἐν τοῖϲ γνηϲιωτάτοιϲ 
-Z/17a/484/11	ἐδήλωϲε βιβλίοιϲ, 〈τοῖϲ〉 Ἀφοριϲμοῖϲ τε καὶ τῷ Περὶ διαίτηϲ ὀξέων 
-Z/17a/484/12	καὶ τῷ Περὶ ἄρθρων, ἐν αὐτῷ τε τούτῳ τῷ τρίτῳ τῶν Ἐπιδημιῶν 
-Z/17a/484/13	ἐπί τινοϲ ἀρρώϲτου γράψαϲ· “ὀγδόῃ ἀγκῶνα ἔταμον, ἐρρύη πολύ, | 
-Z/17a/485/1	οἷον ἔδει.” ὅπου γὰρ ὀγδοαῖον αὐτὸν ἐφλεβοτόμηϲε, πολὺ δή που 
-Z/17a/485/2	μᾶλλον ἐν ταῖϲ προειρημέναιϲ ἡμέραιϲ εὔδηλόϲ ἐϲτι χρώμενοϲ τῷ 
-Z/17a/485/3	βοηθήματι. τὸ δὲ μὴ γράψαι 〈αὐτὸν〉 καθ' ἕκαϲτον ἄρρωϲτον, 
-Z/17a/485/4	ἐφ' ᾧ προϲήχθη τὸ βοήθημα, τῶν μικροτέρων αὐτοῦ μνημονεύοντα 
-Z/17a/485/5	μέχρι καὶ βαλάνου προϲθέϲεωϲ ἀπίθανόν ἐϲτιν. εἰ τοίνυν ἀτόπου τοῦ 
-Z/17a/485/6	λόγου καθ' ἑκάτερον ὄντοϲ ἑλέϲθαι χρὴ τὸ ἧττον ἄτοπον, ἡγοῦμαι 
-Z/17a/485/7	παρειλῆφθαι μὲν ἐπὶ πολλῶν τὸ βοήθημα, παραλελεῖφθαι δ' ὡϲ ϲαφὲϲ 
-Z/17a/485/8	ἐν τῇ διηγήϲει. καί με προϲάγει τούτῳ μάλιϲτα τὸ προϲγεγραμμένον 
-Z/17a/485/9	ἐπὶ τοῦ φλεβοτομηθέντοϲ ὀγδοαίου. φαίνεται γὰρ ὡϲ ϲπάνιον μὲν 
-Z/17a/485/10	τοῦτο γράψαϲ, ὡϲ ϲύνηθεϲ δὲ τὸ πρὸ τῆϲ ὀγδόηϲ παραλιπών. εἰ γὰρ  
-Z/17a/485/11	ἔν γε τοῖϲ γνηϲίοιϲ ϲυγγράμμαϲιν ἐπὶ τῶν μεγάλων νοϲημάτων ἀεὶ 
-Z/17a/485/12	χρῆται τῇ φλεβοτομίᾳ, ϲυνεπιβλέπων αὐτῇ δύο ταῦτα μόνα, τήν θ' 
-Z/17a/485/13	ἡλικίαν καὶ τὴν δύναμιν τοῦ κάμνοντοϲ, ἔν τε τούτοιϲ αὐτοῖϲ τῶν 
-Z/17a/485/14	Ἐπιδημιῶν ὀγδοαῖόν τινα φλεβοτομηθῆναί φηϲιν, οὐδὲν ἄλλο δυνατὸν 
-Z/17a/486/1	ὑπονοεῖν ἐϲτιν ἢ ὅτι παρε|λήφθη μὲν ἐπὶ τῶν καμνόντων τὸ βοήθημα, 
-Z/17a/486/2	παρελείφθη δ' ὡϲ ϲαφὲϲ ἐν τῇ διηγήϲει. περὶ μὲν δὴ τῆϲ φλεβοτο-
-Z/17a/486/3	μίαϲ, ἐπεὶ κοινὸϲ ὁ λόγοϲ ἁπάντων τῶν ἀρρώϲτων ἐϲτίν, ἅπαξ ἀρ-
-Z/17a/486/4	κέϲει λελέχθαι, καθάπερ καὶ τὰ ἄλλα ὅϲα κοινά. περὶ δὲ τῶν ἰδίων 
-Z/17a/486/5	καθ' ἕκαϲτον ἡ ἐξήγηϲιϲ ἔϲται, τὴν ἀρχὴν ἀπὸ τοῦ <Πυθίωνοϲ>, ὡϲ 
-Z/17a/486/6	ἐνεϲτηϲάμεθα, ποιηϲαμένοιϲ ἡμῖν. 
-Z/17a/486/6	 
-Z/17a/486/7	  <Δευτέρῃ πάντα παρωξύνθη. τρίτῃ 
-Z/17a/486/8	τὰ αὐτά. τετάρτῃ ἀπὸ κοιλίηϲ ὀλίγα, ἄκρητα, χολώδεα 
-Z/17a/486/9	διῆλθε. πέμπτῃ πάντα παρωξύνθη, [τρόμοι παρέμενον,] 
-Z/17a/486/10	ὕπνοι λεπτοί, κοιλίη ἔϲτη. ἕκτῃ πτύελα ποικίλα, ὑπέ-
-Z/17a/486/11	ρυθρα. ἑβδόμῃ ϲτόμα παρειρύϲθη. ὀγδόῃ πάντα παρ-
-Z/17a/486/12	ωξύνθη, τρόμοι [καὶ πάλιν] παρέμενον, οὖρα δὲ κατ' 
-Z/17a/486/13	ἀρχὰϲ μὲν καὶ μέχρι τῆϲ ὀγδόηϲ λεπτά, ἄχροα, ἔχοντα 
-Z/17a/486/14	ἐναιώρημα ἐπινέφελον. δεκάτῃ ἵδρωϲε, πτύελα ὑποπέ-
-Z/17a/486/15	πονα, ἐκρίθη, οὖρα ὑπόλεπτα περὶ κρίϲιν. μετὰ δὲ κρί-
-Z/17a/487/1	ϲιν, | τεϲϲαρακοϲτῇ ἡμέρῃ ὕϲτερον, ἐμπύημα περὶ ἕδρην 
-Z/17a/487/2	καὶ ϲτραγγουριώδηϲ ἐγένετο ἀπόϲταϲιϲ.> 
-Z/17a/487/2	 
-Z/17a/487/3	  Τὰ μὲν ἄλλα 〈τῶν〉 τῆϲ ῥήϲεωϲ ϲυμπτωμάτων ἔχει διήγηϲιν καὶ 
-Z/17a/487/4	τῇ λέξει καὶ τῇ διανοίᾳ ϲαφῆ· πολλάκιϲ γὰρ εἴωθε γίνεϲθαι τοῖϲ ὀξέωϲ 
-Z/17a/487/5	νοϲοῦϲι καὶ μεμαθήκαμεν αὐτῶν τὰϲ δυνάμειϲ κατά τε τὸ Προγνωϲτι-
-Z/17a/487/6	κὸν καὶ τὸ πρῶτον αὐτῶν τούτων τῶν Ἐπιδημιῶν, εἴρηται δ' οὐκ 
-Z/17a/487/7	ὀλίγα κἀν τῷ δευτέρῳ χρήϲιμα πρὸϲ τὴν ἐπὶ τῶν ἀρρώϲτων ἐξήγηϲιν.  
-Z/17a/487/8	ἐπὶ δὲ τῆϲ κατὰ τὴν <ἕκτην> ἡμέραν διηγήϲεωϲ εἰπών· <πτύελα ποι-
-Z/17a/487/9	κίλα, ὑπέρυθρα>, μὴ προϲθεὶϲ δὲ μήτε πλευριτικὸν τὸν <Πυθίωνα> 
-Z/17a/487/10	μήτε περιπνευμονικὸν γεγονέναι, ζήτηϲιν ἡμῖν ὑπέλιπε, πότερον καὶ 
-Z/17a/487/11	ἄλλωϲ δύναται γίνεϲθαι τοιαῦτα πτύϲματα τοῖϲ νοϲοῦϲιν ὀξέωϲ ἢ μό-
-Z/17a/487/12	νοιϲ τοῖϲ περιπνευμονικοῖϲ καὶ πλευριτικοῖϲ. καί μοι φαίνεται καὶ ἄλλωϲ 
-Z/17a/487/13	δύναϲθαι γίγνεϲθαι τοιαῦτα, ῥυέντων μέν τινων εἰϲ τὸν πνεύμονα χυμῶν 
-Z/17a/487/14	μοχθηρῶν, ἀλλ' ὀλίγων παντάπαϲιν, ὡϲ μὴ φλεγμῆναι τὸ ϲπλάγχνον. 
-Z/17a/488/1	ὅτι μὲν γὰρ οὐκ ἦν οὔτε πλευριτικὸϲ οὔτε περιπνευμονικόϲ, εὔ|δηλόν 
-Z/17a/488/2	ἐϲτιν ἐκ τοῦ μὴ μνημονεῦϲαι <τὸν Ἱπποκράτην> μήτ' ὀνομαϲτὶ τῶν 
-Z/17a/488/3	παθῶν τούτων, ἀλλὰ μηδ' ἀπ' 〈αὐτῶν〉 τινοϲ ἀχωρίϲτου ϲυμπτώματοϲ· 
-Z/17a/488/4	εἰρήκει γὰρ ἂν ἢ πλευρᾶϲ ὀδύνην ἢ δύϲπνοιαν. οὐ μὴν οὐδ' ἀπὸ κε-
-Z/17a/488/5	φαλῆϲ πεπονθυίαϲ 〈καταρρυείϲηϲ κακοχυμίαϲ〉 ὤφθη ποτὲ τοιαῦτα 
-Z/17a/488/6	πτυϲθέντα. μετὰ μέντοι βηχὸϲ καὶ δυϲπνοίαϲ καὶ πλευρᾶϲ ἀλγήματοϲ 
-Z/17a/488/7	ὁρᾶταί ποτε τοιαῦτα πτύϲματα. καί τιναϲ δύο καὶ χωρὶϲ πυρετοῦ 
-Z/17a/488/8	πτύϲανταϲ ἐθεαϲάμην ὠχρὰ μετὰ βηχόϲ· ἀλλὰ τῷ μὲν ἑτέρῳ κατὰ 
-Z/17a/488/9	βραχὺ πυρετῶν μικρῶν γενομένων εἰϲ 〈πλείονα〉 χρόνον ἡ διάθεϲιϲ 
-Z/17a/488/10	ἐκταθεῖϲα, παραμεινάντων τῶν πυρετῶν, φθινώδη τὸν ἄνθρωπον 
-Z/17a/488/11	ἀπέδειξε, τῷ δ' ἑτέρῳ χωρὶϲ πυρετοῦ τῶν τοιούτων πτυϲθέντων ἡμέ-
-Z/17a/488/12	ραιϲ ἐφεξῆϲ ὀλίγαιϲ οὐδὲν ἄτοπον ἠκολούθηϲεν. εἰκὸϲ οὖν ἐϲτι κατὰ 
-Z/17a/488/13	τὰ πρῶτα μέρη τοῦ θώρακοϲ, καθ' ἃ ϲυνάπτει τοῖϲ ἐϲχάτοιϲ τοῦ τρα-
-Z/17a/488/14	χήλου ϲπονδύλοιϲ, γεγονέναι τινὸϲ χυμοῦ περιουϲίαν οὐ πολλήν, ἐφ' 
-Z/17a/488/15	ᾗ μηδὲ δύϲπνοιαν ἀπαντῆϲαι διὰ τὸ μὴ ϲυντελεῖν τι ϲαφὲϲ εἰϲ τὴν 
-Z/17a/489/1	τῆϲ ἀναπνοῆϲ ἐνέργειαν τὸ πρῶτον μεϲοπλεύριον, ἐν αὐ|ταῖϲ δὲ ταῖϲ 
-Z/17a/489/2	ῥίζαιϲ τῶν ἐπὶ τὰϲ χεῖραϲ ἀφικνουμένων νεύρων τῆϲ διαθέϲεωϲ γενο-
-Z/17a/489/3	μένηϲ, βαρυνομένων τῶν νεύρων, <τρομώδειϲ> ἐργάϲαϲθαι τὰϲ <χεῖ-
-Z/17a/489/4	ραϲ>. ἐκ γὰρ τοῦ πρώτου μεϲοπλευρίου καὶ τῶν ὑπερκειμένων [δὲ] 
-Z/17a/489/5	ϲπονδύλων τὰ τοὺϲ μῦϲ τῶν χειρῶν κινοῦντα φύεται νεῦρα. μαρτυρεῖ 
-Z/17a/489/6	δὲ τούτοιϲ καὶ τὸ <παραμεῖναι τοὺϲ τρόμουϲ ϲὺν τοῖϲ πτύ-
-Z/17a/489/7	ϲμαϲι> τοῖϲ ἐπιγενομένοιϲ, ἡνίκα δ' ἐν ἐκείνοιϲ ἐφάνη τι πέψεωϲ 
-Z/17a/489/8	ϲημεῖον, οὔτε <τοὺϲ τρόμουϲ> ἔτι γενέϲθαι καὶ παύϲαϲθαι τὸ νόϲημα, 
-Z/17a/489/9	<κρίϲεωϲ> τῆϲ δι' <ἱδρώτων> ἐπιγενομένηϲ. καίτοι γε ἀπέπτων ὄν-
-Z/17a/489/10	<των τῶν οὔρων>, ὅμωϲ ἡ πέψιϲ τῶν ἀναπτυομένων ἤνεγκε τὴν  
-Z/17a/489/11	κρίϲιν, ὥϲθ' ἑκάτερον τῶν ϲημείων ὃ πέφυκε δηλοῦν μὴ διαψεύϲαϲθαι. 
-Z/17a/489/12	διττῆϲ γὰρ διαθέϲεωϲ τῷ νοϲοῦντι γενομένηϲ, μιᾶϲ μὲν τῆϲ πυρετώ-
-Z/17a/489/13	δουϲ ἐπὶ τοῖϲ ἐν ταῖϲ φλεψὶ χυμοῖϲ, ἑτέραϲ δὲ τῆϲ εἰρημένηϲ ἄρτι 
-Z/17a/489/14	κατὰ τὸν θώρακα, τὴν προτέραν ϲυνέβη μὴ παύϲαϲθαι τελέωϲ ἱδρῶϲιν, 
-Z/17a/489/15	ὡϲ ἂν ἔτ' ἄπεπτον οὖϲαν, παύϲαϲθαι δὲ τὴν ἑτέραν τῷ μηδ' ὅλωϲ 
-Z/17a/489/16	ὑπολειφθῆναί τι τοῖϲ περὶ τὸν θώρακα. γράφει γοῦν αὐτὸϲ οὕτωϲ· 
-Z/17a/490/1	<δεκάτῃ ἵδρωϲε, πτύελα | ὑποπέπονα, ἐκρίθη, οὖρα ὑπό-
-Z/17a/490/2	λεπτα περὶ κρίϲιν>, ἐνδεικνύμενοϲ ἃ κατὰ τὸ Προγνωϲτικὸν ἔγραψε 
-Z/17a/490/3	περὶ τῶν λεπτῶν οὔρων ὄντα διττά, πρῶτον μὲν ταυτί· “ἔϲτ' ἂν 
-Z/17a/490/4	πυρρόν τε ᾖ τὸ οὖρον καὶ λεπτόν, ἄπεπτον ϲημαίνει τὸ νόϲημα.” 
-Z/17a/490/5	δεύτερον δὲ τάδε· “ὅϲοι δ' ἂν οὖρα λεπτὰ καὶ ὠμὰ οὐρέωϲι πολὺν 
-Z/17a/490/6	χρόνον, ἢν καὶ τὰ ἄλλα ὡϲ περιεϲομένοιϲιν ᾖ ϲημεῖα, τούτοιϲιν ἀπό-
-Z/17a/490/7	ϲταϲιν δεῖ προϲδέχεϲθαι ἐϲ τὰ κάτω τῶν φρενῶν χωρία.” διὰ τοῦτ' 
-Z/17a/490/8	οὖν ἐπὶ τῇ τελευτῇ τῶν ϲυμβάντων τῷ <Πυθίωνι> κατὰ λέξιν οὕτωϲ 
[0057]  [090]  []  []

-Z/17a/490/9	ἔγραψε· <μετὰ δὲ κρίϲιν τεϲϲαρακοϲτῇ ἡμέρῃ ὕϲτερον ἐμ-
-Z/17a/490/10	πύημα περὶ ἕδρην καὶ ϲτραγγουριώδηϲ ἐγένετο ἀπό-
-Z/17a/490/11	ϲταϲιϲ>. ἐπεὶ δὲ καὶ <τρόμου χειρῶν> καὶ <λήρου> κατὰ τὴν <πρώ-
-Z/17a/490/12	την> εὐθέωϲ ἡμέραν ἐμνημόνευϲε καὶ κατὰ τὰϲ ἑξῆϲ ἔγραψε· <πάντα 
-Z/17a/490/13	παρωξύνθη>, κατὰ δὲ τὴν <ἑβδόμην> ἡμέραν προϲέθηκε <ϲτόμα 
-Z/17a/490/14	παρειρύϲθη>, διορίϲαϲθαι χρή, πότερον αὐξανομένηϲ τῆϲ περὶ τὸν 
-Z/17a/490/15	ἐγκέφαλον κακώϲεωϲ ἢ μεθιϲταμένηϲ κάτω τὸ <ϲτόμα> κατεϲπάϲθη. 
-Z/17a/490/16	φαίνεται δ' ἐκ τῶν ἐφεξῆϲ εἰρημένων μετάϲταϲιϲ εἰϲ τὰ κάτω χωρία 
-Z/17a/491/1	μᾶλλον, οὐ ϲυμπάθεια πρὸϲ τὸν ἐγκέφαλον | αὐτοῖϲ γεγονέναι, τάχα 
-Z/17a/491/2	καὶ φλεβοτομηθέντοϲ τἀνθρώπου καὶ διὰ τοῦτο μεγάλωϲ ὠφεληθέντοϲ. 
-Z/17a/491/3	ἀλλὰ γὰρ κατὰ τὰϲ πρώταϲ ἡμέραϲ οὐδέπω τῶν πτυϲμάτων οὐδὲ 
-Z/17a/491/4	μικρὸν ἐφαίνετο 〈γενομένων ὕϲτερον διὰ τὴν ὀλιγότητα〉 τῆϲ ἐν τῇ 
-Z/17a/491/5	πλευρᾷ διαθέϲεωϲ, οὐ διὰ τὴν κακοήθειαν αὐτῆϲ· ἴϲμεν γὰρ ὅτι χαλε-
-Z/17a/491/6	πώταται περιπνευμονίαι τε καὶ πλευρίτιδέϲ εἰϲιν αἱ ἄπτυϲτοι, καθότι  
-Z/17a/491/7	καὶ αὐτὸϲ ὁ <Ἱπποκράτηϲ> ἐδίδαξεν. ἀλλὰ νῦν οὐ διὰ χαλεπότητα 
-Z/17a/491/8	νομιϲτέον ἐν ταῖϲ πρώταιϲ ἡμέραιϲ πτυϲθῆναι μηδέν, ἀλλὰ διότι περὶ 
-Z/17a/491/9	τὸ πρῶτον μεϲοπλεύριον μόνον ἡ διάθεϲιϲ ἦν. εἰ δὲ καὶ χαλεπὴ καὶ 
-Z/17a/491/10	κατὰ τοῦτο μόνον ἐγεγόνει, καὶ διὰ τοῦτο οὐδὲν 〈ἔδει〉 πτύεϲθαι. τῷ 
-Z/17a/491/11	γοῦν τῆϲ φλεβοτομίαϲ βοηθήματι δυνατόν ἐϲτιν ἀντιϲπαϲθέντων τῶν 
-Z/17a/491/12	ἐνταῦθα πλεονεκτούντων χυμῶν ἀρχὴν πέψεωϲ γεγονέναι τῇ διαθέϲει 
-Z/17a/491/13	κατὰ τὴν <ἕκτην> ἡμέραν, ἐν ᾗ πρῶτον ἐμνημόνευϲε τῶν πτυϲμάτων. 
-Z/17a/491/14	  ὃ δὲ περὶ τῆϲ <δεκάτηϲ> ἡμέραϲ ἀνεβαλόμην ἐρεῖν, ἐϲτὶ τοιοῦ-
-Z/17a/491/15	τον· <οὔτ'> ἐν τοῖϲ τῶν Ἐπιδημιῶν τούτοιϲ βιβλίοιϲ <ἐκρίθη> τιϲ βε-
-Z/17a/491/16	βαίωϲ <δεκαταῖοϲ> οὔτ' αὐτὸϲ ἀπεφήνατό που τὴν <δεκάτην> ἡμέ-
-Z/17a/492/1	ραν | εἶναι <κρίϲιμον>, ὥϲπερ τὴν ἑνδεκάτην εἴρηκεν οὐκ ὀλιγάκιϲ. 
-Z/17a/492/2	ἔχειϲ δὲ τὰϲ ῥήϲειϲ αὐτοῦ πάϲαϲ ἠθροιϲμέναϲ ἐν τοῖϲ Περὶ τῶν κρι-
-Z/17a/492/3	ϲίμων ἡμερῶν ὑπομνήμαϲιν, ἔνθα καὶ ἡ <τεϲϲαρακοϲτὴ> δείκνυται 
-Z/17a/492/4	κρίνουϲα τὰϲ νόϲουϲ, οὐχ ἡ τεϲϲαρακοϲτὴ δευτέρα, καθάπερ ᾠήθηϲαν 
-Z/17a/492/5	ἔνιοι τῶν ὁλοκλήροιϲ ἑβδομάϲι τὰϲ περιόδουϲ γίνεϲθαι τῶν κριϲίμων 
-Z/17a/492/6	ἡμερῶν ὑπολαβόντων. εἰ δὲ διὰ μόνον τοῦτό τιϲ ἡγεῖται τὸ νόϲημα 
-Z/17a/492/7	μὴ τελέωϲ κριθῆναι, διότι <δεκαταῖοϲ ἵδρωϲεν>, οὐχ ἑνδεκαταῖοϲ ὁ 
