
[0057]  [068]  []  []

-Z/11/147/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΦΛΕΒΟΤΟΜΙΑΣ ΠΡΟΣ 
-Z/11/149/12	βοηθήματος τῆς δυνάμεως ἄξια, παντὶ δῆλον. εἰ μὲν μήτε παρ' 
-Z/11/149/13	Ἱπποκράτει μήτε παρὰ Διοκλεῖ μήτε παρ' Εὐρυφῶντι μήθ' 
-Z/11/149/14	ὅλως παρ' ἄλλῳ μηδενὶ τῶν Ἐρασιστράτου πρεσβυτέρων ἦν εὑρεῖν 
-Z/11/149/15	τὸ βοήθημα γεγραμμένον, ἴσως ἄν τις ὑπενόησεν, εἰ μήπω 
-Z/11/149/16	τῆς χρήσεως εὑρημένης ἢ μὴ παρὰ τοῖς εὐδόξοις εὐδοκιμούσης, 
-Z/11/149/17	εὐλόγως αὐτὸν παραλιπεῖν. ἐπεὶ δὲ εὕροιντο ἄλλοι καὶ πολλή  
-Z/11/150/1	τις χρῆσις ἤδη τοῦ βοηθήματος ἦν, οὐκ ἐφ' ἑνὸς μόνον οὐδὲ 
-Z/11/150/2	τοῦ τυχόντος πάθους, ἀλλ' ἐπὶ τῶν πλείστων τε καὶ ὀξυτά-
-Z/11/150/3	των, οὕτως γὰρ ὁ Ἱπποκράτης γε αὐτὸς, ὁ τῶν καλῶν τῆς 
-Z/11/150/4	τέχνης ἁπάντων ἡμῖν ἡγεμὼν, οἵ τ' ἄλλοι παλαιοὶ φαίνονται 
-Z/11/150/5	χρώμενοι. τί δή ποτε παθὼν ὁ Ἐρασίστρατος ἠμέλησε τελέως 
-Z/11/150/6	τὸν ὑπὲρ αὐτῆς διεξελθεῖν λόγον; καὶ γὰρ ἀρεσκόμενον ἐχρῆν 
-Z/11/150/7	ἐπισημαίνεσθαι τοῖς πάθεσιν αὐτὸ προσαναγράψαντα, καθά-
-Z/11/150/8	περ τἄλλα βοηθήματα, καὶ ἀρεσκομένου εἰπεῖν αἰτίαν δι' ἣν 
-Z/11/150/9	ἀρέσκεται. ὁ δὲ τοσοῦτον ἀποδεῖ τὸν λόγον ὑποσχεῖν περὶ 
-Z/11/150/10	τῆς τοῦ βοηθήματος δυνάμεως, ὥστ' οὐδ' ὅτι χρηστέον ἢ μὴ 
-Z/11/150/11	χρηστέον ἐμήνυσεν, οὐδ' ὅλως ἐτόλμησεν ἀποφήνασθαι ἣν 
-Z/11/150/12	ἔχει γνώμην πλὴν ἅπαξ, ὡς εἶπον, ἐφ' ἑνὸς πάθους, καίτοι 
-Z/11/150/13	κᾀξ αὐτῶν ὧν σιωπᾷ κατάφωρον αὐτοῦ τῆς γνώμης τὸ 
-Z/11/150/14	κεφάλαιον. οὐ γὰρ δὴ ἀρεσκόμενόν γ' ἂν αὐτῷ παρέλιπεν, οὐ-
-Z/11/150/15	δὲ τὰ μὲν σμικρὰ τῶν τοῖς πάθεσιν συμφερόντων γραφῆς ᾤετο 
-Z/11/150/16	δεῖσθαι, τὰ δ' οὕτω μεγάλα δύνασθαί τινα καὶ χωρὶς τοῦ 
-Z/11/150/17	παρ' ἐκείνου μαθεῖν αὐτὸν ἐξευρεῖν. 
-Z/11/150/18	  Ἡ δ' αἰτία δι' ἣν οὐκ ἐχρῆτο φλεβοτομίᾳ, 
-Z/11/150/19	τὸ μὲν ἀληθέστατον φάναι, τάχ' ἄν τῳ δόξειε μαντείας δεῖ- 
-Z/11/151/1	σθαι. τί γὰρ ἄν τις εἰδείη πῶς Ἐρασίστρατος ἐγίνωσκεν 
-Z/11/151/2	ὑπὲρ ὧν αὐτὸς οὐδὲν ἐμνημόνευσε διεξοδικῶς; ὅμως δ' οὖν 
-Z/11/151/3	ἐτόλμησάν τινες ἀπομαντεύσασθαι τῆς γνώμης αὐτοῦ. κατά-
-Z/11/151/4	φωροι δ' εἰσὶν ἁμαρτάνοντες οὐχ ἥκιστα ἐξ ὧν πρὸς ἀλλή-
-Z/11/151/5	λους διαφέρονται. δοκεῖ γὰρ αὐτῶν οὐδενὶ τὰ αὐτὰ, καὶ τὸ 
-Z/11/151/6	πάντων δεινότατον, ὅτι μηδ' αὐτοῖς τοῖς συμφοιτηταῖς μὲν 
-Z/11/151/7	τοῦ Ἐρασιστράτου, μαθηταῖς δὲ Χρυσίππου τοῦ Κνιδίου, 
-Z/11/151/8	οὗπερ δὴ πρώτου τὸ δόγμα τοῦτ' ἦν, μὴ χρῆσθαι φλεβοτο-
-Z/11/151/9	μίᾳ· οὐδὲ γὰρ ἐκείνοις ὁμολογεῖται περὶ τῆς Χρυσίππου 
-Z/11/151/10	γνώμης οὐδέν. ἀλλὰ τὰ μὲν ὑπό τε Ἀποιμάντου καὶ Στρά-
-Z/11/151/11	τωνος εἰρημένα καταγέλαστα. καὶ γὰρ τὸ σχάσαι τὴν 
-Z/11/151/12	φλέβα δύσκολον εἶναί φασιν καὶ τὸ διαγνῶναι καὶ τὸ διαιρῆ-
-Z/11/151/13	σαι τὴν ἀρτηρίαν αὐτὴν, μετὰ δ' ἐν τούτῳ κακὸν ἀποβαίνει, 
-Z/11/151/14	εἰ ἀντὶ φλεβὸς ἀρτηρίαν διαιρεῖσθαι συμβαίνει· καὶ ὅτι δείσας 
-Z/11/151/15	τις ἔθανεν, ὁ μὲν καὶ πρὸ τοῦ τμηθῆναι τὸ ἀγγεῖον, ὁ δὲ καὶ 
-Z/11/151/16	τμηθεὶς οὐκ ἀνεκομίσθη· καὶ ὅτι ἡμοῤῥάγησέ τις ἀνεπισχέτως· 
-Z/11/151/17	τὰ δ' ὑφ' ἑτέρων λεγόμενα, τῶν μὲν, ὅτι τοῦ μέτρου τῆς  
-Z/11/152/1	κενώσεως ἐστοχάσθαι χαλεπὸν, ὥστε ἀναγκαῖον ἢ ἐνδεῶς 
-Z/11/152/2	κενώσαντι μηδὲν εἶναι πλέον ἢ τὸ σύμμετρον ὑπερβαλόντι 
-Z/11/152/3	μεγίστην ἀκολουθῆσαι βλάβην. τί γὰρ ἂν ἀποδέοι, φασὶ, σφα-
-Z/11/152/4	γῆς ἄμετρος φλεβοτομία; τῶν δὲ, ὅτι παρέμπτωσις τοῦ 
-Z/11/152/5	πνεύματος ἐκ τῶν ἀρτηριῶν εἰς τὰς φλέβας γένοιτ' ἂν, ἀκολου-
-Z/11/152/6	θήσει γὰρ ἐξ ἀνάγκης κατὰ τὰς συναναστομώσεις τοῦ αἵμα-
-Z/11/152/7	τος κενουμένου τὸ πνεῦμα· τῶν δ', ὅτι τοῦ πάθους τῆς 
-Z/11/152/8	φλεγμονῆς ἐν ἀρτηρίαις συνισταμένου, περιττὸν ἐκκενοῦν 
-Z/11/152/9	τὰς φλέβας. τὰ δὲ τοιαῦτα κᾂν εἴ τινι ἔδοξεν εἶναι πιθανὰ, 
-Z/11/152/10	κατά γε τὴν ἀλήθειαν αὐτὴν οὔτε πιθανὸν οὐδὲν ἔχει καὶ 
-Z/11/152/11	ψευδῆ φανερῶς ἐστι· πολλῷ γὰρ ἂν ἦσαν πιθανώτεροι ταῦτα 
-Z/11/152/12	λέγοντες ἅπερ ἑτέροις τισὶν ἐκ τῆς τῶν χυμῶν φύσεως ὁρμω-
-Z/11/152/13	μένοις εἴρηται. καὶ τάχ' ἂν ἴσως καὶ δέοιτό τις πρὸς ἐκείνους 
-Z/11/152/14	λόγου πλείονος, ἀλλ' οὐ νῦν καιρός· εἰς μακρόν τε γὰρ οὕτω 
-Z/11/152/15	λόγον μῆκος ἐκπεσεῖν ἀνάγκη, καὶ ἄλλως οὐδὲν κατεπείγει τὰ 
-Z/11/152/16	μήθ' ὑπ' Ἐρασιστράτου μήθ' ὑπ' ἄλλου τινὸς τῶν Χρυσίπ-
-Z/11/152/17	που μαθητῶν εἰρημένα νῦν ἐπιχειρεῖν ἐξελέγχειν. 
-Z/11/152/18	  Ἄριστα οὖν μοι δοκῶ διαθέσθαι τὸν  
-Z/11/153/1	λόγον, εἰ τἄλλα παραλιπὼν ἀπ' αὐτῶν ἀρξαίμην τῶν Ἐρασι-
-Z/11/153/2	στράτῳ δοκούντων· εἰρήσεται δ' ὡς ἔνι μάλιστα διὰ βραχυ-
-Z/11/153/3	τάτων. ἀρέσκει δὲ αὐτῷ πνεύματος μὲν ἀγγεῖον εἶναι τὴν 
-Z/11/153/4	ἀρτηρίαν, αἵματος δὲ τὴν φλέβα· σχιζόμενα δ' ἀεὶ τὰ μείζω 
-Z/11/153/5	τῶν ἀγγείων εἰς ἐλάττονα μὲν τὸ μέγεθος, ἀριθμὸν δὲ πλείω 
[0057]  [068]  []  []

-Z/11/153/6	καὶ πάντῃ τοῦ σώματος ἐνεχθέντα, μηδένα γὰρ εἶναι τόπον 
-Z/11/153/7	ἔνθα μὴ πέρας ἀγγείου κείμενον ὑπάρχει, εἰς οὕτω σμικρὰ 
-Z/11/153/8	πέρατα τελευτᾷν, ὥστε τῇ μύσει τῶν ἐσχάτων στομάτων κρα-
-Z/11/153/9	τούμενον ἐντὸς αὐτῶν ἴσχεσθαι τὸ αἷμα· καὶ διὰ τοῦτο καί-
-Z/11/153/10	τοι παρακειμένων ἀλλήλοις τοῦ στόματος τοῦ τε τῆς φλεβὸς 
-Z/11/153/11	καὶ τῆς ἀρτηρίας, ἐν τοῖς ἰδίοις ὅροις μένειν τὸ αἷμα μηδα-
-Z/11/153/12	μόθι τοῖς τοῦ πνεύματος ἐπεμβαῖνον ἀγγείοις. μέχρι μὲν δὴ 
-Z/11/153/13	τοῦδε νόμῳ φύσεως διοικεῖσθαι τὸ ζῶον· ἐπεὶ δέ τις αἰτία 
-Z/11/153/14	βίαιος ἐκ τῶν φλεβῶν εἰς τὰς ἀρτηρίας τὸ αἷμα μεταχθῆναι, 
-Z/11/153/15	αὐτὸ νοσεῖν ἀναγκαῖον ἤδη. αἰτίας δὲ καὶ ἄλλας τινὰς καὶ 
-Z/11/153/16	οὐδεμιᾶς ἐλάττω τὸ πλῆθος εἶναι τοῦ αἵματος, ὑφ' οὗ δια-
-Z/11/153/17	τείνεσθαι μὲν τὸν χιτῶνα τῆς φλεβὸς, ἀναστομοῦσθαι δὲ τὰ 
-Z/11/153/18	πρότερον μεμυκότα πέρατα, μεταχεῖσθαι δὲ εἰς τὰς ἀρτηρίας 
-Z/11/153/19	τὸ αἷμα, κᾀντεῦθεν τῷ παρὰ καρδίας φερομένῳ πνεύματι  
-Z/11/154/1	προσκόπτον καὶ ἐνιστάμενον, ἀλλοιοῦντι τὴν ἐκείνου κίνησιν, 
-Z/11/154/2	ἡνίκ' ἂν ἐγγὺς ᾖ καὶ κατ' εὐθὺ τῆς ἀρχῆς καὶ τοῦτ' εἶναι τὸν 
-Z/11/154/3	πυρετόν· ὠθούμενόν τε ὑπ' αὐτοῦ πρόσω σφηνοῦσθαι κατὰ 
-Z/11/154/4	τὰ πέρατα τῶν ἀρτηριῶν καὶ τοῦτ' εἶναι τὴν φλεγμονήν. 
-Z/11/154/5	οὕτω μὲν ἐπὶ πλήθει φλεγμονὴν ἐργάζεται τῷ λόγῳ τῷδε, ἐπὶ 
-Z/11/154/6	τραύμασι δὲ φλεγμονὴν αἰτιᾶται μὲν, κᾀνταῦθα τὴν παρέμ-
-Z/11/154/7	πτωσιν ἐκ τῶν φλεβῶν εἰς τὰς ἀρτηρίας τοῦ αἵματος, αὐτῆς 
-Z/11/154/8	δὲ τῆς παρεμπτώσεως αἰτίαν εἶναί φησι τὴν πρὸς τὸ κενούμε-
-Z/11/154/9	νον ἀκολουθίαν. ὅταν γὰρ τῶν ἐν τῷ τετρωμένῳ μέρει 
-Z/11/154/10	διαιρεθεισῶν ἀρτηριῶν ἐκχυθῇ, κατὰ τὴν τρῶσιν ἅπαν τὸ 
-Z/11/154/11	πνεῦμα καὶ κίνδυνος ᾖ κενὸν γενέσθαι τόπον, ἕπεσθαι 
-Z/11/154/12	κατὰ τὰς συναναστομώσεις τὸ αἷμα, τοῦ κενουμένου πνεύμα-
-Z/11/154/13	τος τὴν βάσιν ἀναπληροῦντος· ἀνεωγότος μὲν οὖν τοῦ πνεύ-
-Z/11/154/14	ματος ἐκχεῖσθαι, κλεισθέντος δὲ καὶ μύσαντος ἔνδον ὠθού-
-Z/11/154/15	μενον ὑπὸ τοῦ παρὰ καρδίαν ἐπιπεμπομένου πνεύματος 
-Z/11/154/16	ἀθροίζεσθαι πάλιν ἅπαν ἐν τοῖς περὶ τὸ τραῦμα τόποις, καὶ 
-Z/11/154/17	τὴν φλεγμονὴν οὕτως ἐργάζεσθαι. ἄγε δὴ, συγχωρήσομεν γὰρ 
-Z/11/154/18	αὐτὸν κατά γε τὸ παρὸν ἀληθεύειν ἅπαντα περί τε πυρετοὺς 
-Z/11/154/19	καὶ φλεγμονὰς, καίτοι γ' ὅτι μηδὲν αὐτῶν ἀληθές ἐστιν ἐν  
-Z/11/155/1	ἑτέροις ἀπεδείξαμεν, ἐφεξῆς ἡμᾶς διδαξάτω τὰ ἰάματα. φησὶ 
-Z/11/155/2	γοῦν αὐτὸς ἔν τε ἄλλοις πολλοῖς, κᾀν τῷ τρίτῳ περὶ πυρετῶν 
-Z/11/155/3	κατὰ λέξιν οὕτω· περὶ μὲν οὖν τὰς ἀρχὰς τῶν ἀῤῥωστιῶν καὶ 
-Z/11/155/4	τὰς τῶν φλεγμονῶν γενέσεις ἀφαιρετέον ἂν εἴη πᾶσαν προσ-
-Z/11/155/5	φορὰν ῥοφημάτων· καὶ γίνονται ὡς τὸ πολὺ αἱ τοὺς πυρε-
-Z/11/155/6	τοὺς ποιοῦσαι τῶν φλεγμονῶν διὰ πληθώραν. διδομένων οὖν 
-Z/11/155/7	ἐν τοῖς τοιούτοις καιροῖς προσφορῶν καὶ τῆς πέψεως καὶ 
-Z/11/155/8	ἀναδόσεως τὰς καθ' αὑτὰς ἐνεργείας ἀποδιδουσῶν, πληρουμέ-
-Z/11/155/9	νων τῶν ἀγγείων τῆς τροφῆς, ἐπὶ πλέον τε ἰσχυροτέρας συμ-
-Z/11/155/10	βήσεται τὰς φλεγμονὰς γίνεσθαι. ταῦτα μὲν ὑπὲρ τῶν περὶ 
-Z/11/155/11	πλήθει χωρὶς τραύματος γιγνομένων φλεγμονῶν· ὑπὲρ δὲ τῶν 
-Z/11/155/12	ἐπὶ τραύμασιν ἐν πρώτῳ πάλιν περὶ πυρετῶν ὧδέ πώς φη-
-Z/11/155/13	σιν. ἀκόλουθοι δὲ καὶ θεραπεῖαι τούτοις εἰς τὸ ἀφλέγμαντα 
-Z/11/155/14	πάντα γίνεσθαι τὰ τραύματα· καὶ τῶν φαρμάκων τὰ μὲν 
-Z/11/155/15	περιχριόμενα ἐπὶ τοὺς ὑγιεῖς τόπους ἀποστύφοντα καὶ μύοντα 
-Z/11/155/16	κωλύει τὴν συνίωσιν τοῦ ἄνωθεν κεχυμένου αἵματος ἐπὶ τοὺς 
-Z/11/155/17	διῃρημένους τόπους γίνεσθαι. ἐν δὲ τοῖς ἀπαθέσι τόποις πολ-
-Z/11/155/18	λῶν ἀνεστομωμένων ἀρτηριῶν τε καὶ φλεβῶν εἰς τοὺς αὐτοὺς 
-Z/11/155/19	τόπους μετάληψις γίνεται εἰς τὰς φλέβας τοῦ παρεμπεπτωκότος  
-Z/11/156/1	αἵματος εἰς τὰς ἀρτηρίας. εἶτα ἐφεξῆς πάλιν ἀκόλουθον τού-
-Z/11/156/2	τοις καὶ τὸ μηδὲν προσφέρειν τοῖς τετραυματισμένοις ὑπὸ 
-Z/11/156/3	τοὺς τῆς φλεγμονῆς καιρούς. κενούμεναι γὰρ αἱ φλέβες τῆς 
-Z/11/156/4	τροφῆς ῥᾷον παραδέξονται τὸ παρεμπεπτωκὸς αἷμα εἰς τὰς 
-Z/11/156/5	ἀρτηρίας. τούτου δὲ συμβαίνοντος ἧττον αἱ φλεγμοναὶ 
-Z/11/156/6	ἔσονται. οὐκοῦν ὅτι μὲν χρὴ κενῶσαι τὸ πλῆθος καὶ ὅτι δέξα-
-Z/11/156/7	σθαι πάλιν εἰς ἑαυτὰς αἱ φλέβες οὐκ ἂν δύναιντο τὸ αἷμα 
-Z/11/156/8	μεσταὶ τυγχάνουσαι καὶ διατεταμέναι, συμφωνεῖται τοῦτό γε 
-Z/11/156/9	καὶ αὐτῷ τῷ Ἐρασιστράτῳ. τὸ δὲ ὅτῳ χρὴ τρόπῳ κενῶσαι 
-Z/11/156/10	αὐτὰς τὸ ἀμφισβητούμενόν ἐστιν. 
-Z/11/156/11	  Ἐγὼ μὲν οὖν ᾤμην, ἐπειδὴ ἅπαξ τὸ κενού-
-Z/11/156/12	μενον ὡμολόγηται, ῥᾷστόν τε ἤδη καὶ ἑτοιμότατόν ἐστιν 
-Z/11/156/13	τεμεῖν τὴν φλέβα· καὶ γὰρ ἂν τάχιστα οὕτω καὶ αὐτὰς μόνας 
-Z/11/156/14	τὰς φλεγμονὰς ἐξεκενώσαμεν, ὡς αἵ γε ἀσιτίαι πρὸς τῷ χρό-
-Z/11/156/15	νου δεῖσθαι μακροῦ καὶ ὅλην τὴν ἕξιν κενοῦσιν ὁμοίως· τὸ 
-Z/11/156/16	δὲ οὐ χρή. τί γὰρ ἄν τις κενοίη τὸ μὴ δεόμενον κενώσεως ἢ 
-Z/11/156/17	τί τὰς σάρκας ἐκτήκοι, παρὸν ἀποχεῖν τοῦ αἵματος; ἵνα 
-Z/11/156/18	τἄλλα ὅσα ταῖς μακραῖς ἀσιτίαις ἐξ ἀνάγκης ἕπεται κακὰ παρα- 
-Z/11/157/1	λείπω, τήν τε δύναμιν κάμνουσαν καὶ τοὺς χυμοὺς ἐπὶ τὸ 
-Z/11/157/2	χολῶδες καὶ πικρὸν τρεπομένους καὶ καρδιωγμοὺς πολλοὺς 
-Z/11/157/3	καὶ ἄσην καὶ διαχώρημα ἰσχόμενον, καὶ πάνθ' ἁπλῶς τὰ 
-Z/11/157/4	περιττώματα δριμύτερα γιγνόμενα, ὧν οὐδὲν ὁ Ἐρασίστρα-
-Z/11/157/5	τος ἰδὼν, ὥσπερ οἱ τυφλοὶ, λείας ὁδοῦ καὶ πλατείας καὶ 
-Z/11/157/6	εὐθείας ἐγγὺς οὔσης πολλάκις στενὴν καὶ τραχεῖαν καὶ 
-Z/11/157/7	μακρὰν ἑλόμενοι περιέρχονται· καὶ αὐτὸς οὕτω παρακει-
-Z/11/157/8	μένην ὁδὸν σύντομον ἱκανῶς καὶ ἄλυπον παριδὼν ἐπὶ 
-Z/11/157/9	μοχθηρὰν καὶ μακρὰν ἐλήλυθεν, τοῦτο μόνον θεασάμενος, 
-Z/11/157/10	εἰ ἐφ' ὃ βούλεται ἄγει αὐτὸν ἡ ὁδὸς, οὐκ ἔτι δὲ εἰ 
-Z/11/157/11	ταχέως καὶ ἀλύπως. ἄγει μὲν γὰρ ἐπὶ τὴν τοῦ πλήθους 
-Z/11/157/12	κένωσιν καὶ ἡ ἀσιτία, σύμφημι τοῦτο, ἀλλ' ἐν χρόνῳ τε 
-Z/11/157/13	μακρῷ σὺν τῷ λυπῆσαι πολλά. καὶ ὅμως τηλικοῦτον βοή-
-Z/11/157/14	θημα παραλιπὼν ὁ σοφὸς Ἐρασίστρατος, ὃν ἀξιοῦσί τινες 
-Z/11/157/15	Ἱπποκράτει παραβάλλειν, οὐκ αἰδεῖται μηδὲν πιθανόν τι καὶ 
-Z/11/157/16	εὔλογον, ἀλλ' ἀπομνημονεύσας ὥσπερ τινὸς τῶν φαυλοτά-
-Z/11/157/17	των τε καὶ οὐδενὸς ἀξίων. ἀλλ' οὐχ Ἱπποκράτης, ὦ Ἐρα-
-Z/11/157/18	σίστρατε, μηδέν τι χείρων ἰατρός σου περὶ φλεβοτομίας  
-Z/11/158/1	οὕτως ἐπεγίνωσκεν· ἀλλ' ἃ σὺ θαυμάζεις λόγῳ, ταῦτ' ἔργῳ 
-Z/11/158/2	ποιῶν εὑρίσκεται. θαυμάζεις μὲν γὰρ τὴν φύσιν, ὡς τεχνι-
-Z/11/158/3	κήν τε ἅμα καὶ προνοητικὴν τοῦ ζώου, μιμῇ δ' αὐτὴν 
-Z/11/158/4	οὐδαμοῦ· ἢ διὰ τί πολλάκις ἰδὼν αἵματος κενώσει τὴν 
-Z/11/158/5	φύσιν ἰασαμένην πολλὰ νοσήματα, τοῦτο οὐδ' ἐφ' ἑνὸς 
-Z/11/158/6	ἔπραξας οὐδὲ πώποτε; τί δὲ σιγᾷς τὰ τῆς φύσεως ἔργα, 
-Z/11/158/7	ἣν ἐπαινεῖς; διὰ τί παρὰ μὲν Ἱπποκράτει πολλὰ τοιαῦτα 
-Z/11/158/8	εὑρίσκων γεγραμμένα, Γυναικὶ αἷμα ἐμεούσῃ τῶν καταμη-
-Z/11/158/9	νίων ῥαγέντων λύσις· ἀπὸ χολῆς μελαίνης εἰς ὅμοιον αἱμοῤ-
-Z/11/158/10	ῥοΐδες· αἱμοῤῥαγίαι λαῦροι τὰ πολλὰ ῥύονται ἐκ ῥινῶν· 
-Z/11/158/11	παρὰ σοὶ δὲ οὐδὲν τοιοῦτον, ἀλλ' ἄχρι λόγου μόνου ἐπαι-
-Z/11/158/12	νουμένη ἡ φύσις, ἔργον δ' οὐδὲν οὐδαμοῦ φύσεως γεγραμ-
-Z/11/158/13	μένον; ἤρκει μοι τὰ τῆς φύσεως μόνης ἔργα μαθεῖν· ἱκανὸς 
-Z/11/158/14	ἂν ἦν ἐκ τούτου ὁρμώμενος εὑρίσκειν τὸ δέον. ἆρά μοι 
-Z/11/158/15	συγχωρήσουσιν οἱ θαυμάζοντές σε τὸ παριστάμενον εἰπεῖν, 
-Z/11/158/16	ἢ παντάπασιν ἀνόητός μοι δοκεῖς εἶναι ἢ μικρὰ τοῖς τῆς 
-Z/11/158/17	φύσεως ἔργοις ὡμιληκέναι. τὸ γὰρ ἢ μηδ' ὅλως γινώσκειν 
-Z/11/158/18	αὐτὰ ἢ μὴ ζηλοῦν γινώσκοντα θατέρῳ τοῖν δυοῖν ἔνοχόν  
-Z/11/159/1	ἐστιν· ἢ γὰρ ἐν οἴκῳ τινὶ καθειργμένος ἔγραφες ταῦτα, 
-Z/11/159/2	μηδένα μηδεπώποτε θεασάμενος ἄῤῥωστον· ὅθεν εἰκότως 
-Z/11/159/3	ἀγνοεῖς τὰ τῆς φύσεως ἔργα, ἐθαύμασας μὲν ἀεὶ οὐκέτ' 
-Z/11/159/4	ἐμιμήσω δεύτερον ἐσχάτως ἀνόητος. εἶτ' εἰ τοίνυν γράφειν 
-Z/11/159/5	ἐπιχειρεῖς, τὸν νόμον τοῦ γράφειν ὑπερβάς. ἐχρῆν σε πρῶ-
