
[0057]  [101]  []  []

-Z/18b/629/t1	{ΤΟ ΙΠΠΟΚΡΑΤΟΥΣ ΚΑΤ' ΙΗΤΡΕΙΟΝ 
-Z/18b/630/15	χάρτοις, τὰ δὲ ἐν διαφόροις φιλύραις, ὥσπερ τὰ παρ' ἡμῖν 
-Z/18b/630/16	ἐν Περγάμῳ. τάδ' οὖν πάντα παρὰ τοῖς πρώτοις ἐξηγη-
-Z/18b/630/17	σαμένοις κατανοῆσαι προὐθέμην, ὅπως ἐκ τῶν πλείστων τε  
-Z/18b/631/1	καὶ ἀξιοπιστοτάτων εὕροιμεν τὰς γνησίας γραφάς. καί μοι 
-Z/18b/631/2	τὸ πρᾶγμα κρεῖττον τῆς ἐμῆς ἐλπίδος εὑρεθέν. συμφωνοῦντα 
-Z/18b/631/3	γὰρ ἅπαντα ὀλίγου δεῖν εὗρον ἀλλήλοις τά τε συγγράμματα 
-Z/18b/631/4	καὶ τὰ τῶν ἐξηγητῶν ὑπομνήματα, ὥστε θαυμάζειν συνε-
-Z/18b/631/5	πῆλθέ μοι τὴν τόλμαν τῶν χθὲς καὶ πρώην τὰ ὑπομνήματα 
-Z/18b/631/6	γραψάντων ἢ πάντων τῶν Ἱπποκράτους βιβλίων ἰδίαν ἔκδο-
-Z/18b/631/7	σιν πεποιημένων, ἐξ ὧν εἰσι καὶ οἱ περὶ Διοσκορίδην καὶ 
-Z/18b/631/8	Ἀρτεμίδωρον τὸν ἐπικληθέντα Καπίτωνα πολλὰ περὶ τὰς 
-Z/18b/631/9	ἀρχαίας γραφὰς καινοτομήσαντες. καί μοι μακρὸς ὁ λόγος 
-Z/18b/631/10	ἔδοξεν εἶναι τῶν ὑπομνημάτων, εἰ πασῶν τῶν γραφῶν μνη-
-Z/18b/631/11	μονεύοιμεν. βέλτιον οὖν εἶναι ὑπέλαβον τὰς παλαιὰς μόνον 
-Z/18b/631/12	γράψαι, προστιθεὶς ὀλίγας τινὰς αὐταῖς, ὅσαι βραχὺ μετα-
-Z/18b/631/13	κεκίνηνται καὶ τούτων καὶ αὐτῶν ἐκείνας μᾶλλον, ὅσαι παρὰ 
-Z/18b/631/14	τοῖς ἔμπροσθεν ἐξηγησαμένοις τὸ βιβλίον ὡμολόγην-
-Z/18b/631/15	ται, τέτταρες δέ εἰσιν αὐτῶν, δύο μὲν εἰς ἅπαντα βιβλία 
[0057]  [101]  []  []

-Z/18b/631/16	Ἱπποκράτους γράφοντες ὑπομνήματα Ζεῦξίς τε καὶ Ἡρα-
-Z/18b/631/17	κλείδης, οὐκ εἰς πάντα δὲ Βακχεῖος καὶ Ἀσκληπιάδης δυσ- 
-Z/18b/632/1	λόγιστα. καὶ τούτων μὲν ἅλις, ἀναλαβόντες δὲ χάριν σα-
-Z/18b/632/2	φεστέρας ἀρχῆς διὰ βραχέων ἐροῦμεν, ὡς εἰ καὶ μηδὲν 
-Z/18b/632/3	προειρήκαμεν. τὸ κατ' ἰητρεῖον ἐπιγραφόμενον Ἱπποκράτους 
-Z/18b/632/4	βιβλίον ἐν ἀρχῇ μὲν ἔχει κοινὸν ἁπάσης τέχνης προοίμιον, 
-Z/18b/632/5	ὡς ὀλίγον ὕστερον δείξω, καὶ διὰ τοῦτό τινες εἰκότως ἠξίω-
-Z/18b/632/6	σαν αὐτὸ πρῶτον ἁπάντων ἀναγινώσκεσθαι, παραπλησίαν 
-Z/18b/632/7	ἐπαγγελλόμενοι διδασκαλίαν, ἣν ἐς ὕστερον ἐποιήσαντό τινες 
-Z/18b/632/8	ἐν ταῖς ὑπ' αὐτῶν ἐπιγραφομέναις εἰσαγωγαῖς· ἐφεξῆς δὲ 
-Z/18b/632/9	τῷ κοινῷ προοιμίῳ περὶ τῶν κατὰ τὸ ἰατρεῖον ἐνεργεῖσθαι 
-Z/18b/632/10	δυναμένων διδάσκει τὰ χρησιμώτατα τοῖς ἀρχομένοις μαν-
-Z/18b/632/11	θάνειν τὴν ἰατρικὴν τέχνην. ὅτι δ' οὕτω ταῦτα ἔχει φα-
-Z/18b/632/12	νεῖταί σοι προσέχοντι τὸν νοῦν ἀκριβῶς ταῖς ἐξηγήσεσι τῶν 
-Z/18b/632/13	ῥήσεων αὐτῶν. 
-Z/18b/632/14	          — — — 
-Z/18b/632/15	            αʹ. 
-Z/18b/632/16	Ἢ ὅμοια ἢ ἀνόμοια ἐξ ἀρχῆς ἀπὸ τῶν μεγίστων, ἀπὸ 
-Z/18b/632/17	  τῶν ῥηΐστων, ἀπὸ τῶν πάντη πάντως γιγνωσκομένων. 
-Z/18b/632/18	          — — —  
-Z/18b/633/1	    Εἴτε τὸ ὑγιαίνειν εἴτε τὴν ὑγίειαν εἴτε ἄλλο τι τοι-
-Z/18b/633/2	οῦτον τῆς ἰατρικῆς τέχνης τέλος εἶναί τις φαίη, τοῦτο μὲν 
-Z/18b/633/3	αὐτὸ δι' ἑαυτοῦ σπουδάζεται τοῖς μετιοῦσι τὴν τέχνην· καὶ 
-Z/18b/633/4	δῆλον ὅτι θεωρία τίς ἐστιν, ἣν μαθεῖν χρὴ τὸν μέλλοντα 
-Z/18b/633/5	ἐπαναρθοῦσθαι τὴν κατὰ φύσιν ἡμῶν εἴτε διάθεσιν εἴτε 
-Z/18b/633/6	διοίκησιν εἴτε κατασκευὴν εἴτε ἄλλο καλεῖν ἐθέλοι τις. 
-Z/18b/633/7	οὐ δι' ἑαυτὰ δὲ τὰ ἄλλα πάντα τὰ κατὰ τὴν τέχνην ἢ μαν-
-Z/18b/633/8	θάνομεν ἢ διδάσκομεν ἢ ὅλως ἀκούομεν, ἀλλ' ὅτι τῷ τέλει 
-Z/18b/633/9	χρήσιμον ἕκαστον αὐτῶν γίγνεται· οἷον εὐθέως τὸ διαγνω-
-Z/18b/633/10	στικὸν μέρος τῆς τέχνης, ὃ καλοῦσιν οἱ νεώτεροι σημειωτι-
-Z/18b/633/11	κὸν, ἀναγκαῖόν ἐστιν ἠσκῆσθαι, πρότερον τοῦ θεραπευτικοῦ 
-Z/18b/633/12	τοῖς μέλλουσι καλῶς ἰατρεύειν ἕνεκα τοῦ τὰς διαφορὰς τῶν 
-Z/18b/633/13	νοσημάτων ἐπὶ τῶν καμνόντων ἀκριβῶς γνωρίζειν, ἐπειδὰν 
-Z/18b/633/14	ἔχωσι τὸ παραπλήσιον. οὐ διοίσει δ' ἐν τῷ μέλλοντι πε-
-Z/18b/633/15	ραίνεσθαι λόγῳ τὴν ἀντικειμένην τῇ κατὰ φύσιν διοικήσει 
-Z/18b/633/16	τοῦ σώματος ἡμῶν διάθεσιν ὀνομάζειν ἀμφοτέραις ταῖς προσ-
-Z/18b/633/17	ηγορίαις, ὥσπερ γε καὶ δι' ἔθους ἐστὶ πᾶσι τοῖς Ἕλλησι  
-Z/18b/634/1	καὶ ποτὲ μὲν νόσημα καλοῦσιν ὅλον τοῦτο τὸ γένος, ἔστι δ' 
-Z/18b/634/2	ὅτε πάθος. ὁ τοίνυν γενικώτατος αὐτοῦ σκοπὸς νῦν διδάσκε-
-Z/18b/634/3	ται, καθάπερ τοῦ θεραπευτικοῦ μέρους τῆς τέχνης. ὡς 
-Z/18b/634/4	γὰρ ἐπ' ἐκείνου τὰ ἐναντία τῶν ἐναντίων ἰάματα, ἅτε κοι-
-Z/18b/634/5	νὸς ἁπάσης θεραπείας ὑπάρχει σκοπὸς, οὕτως ἐνταῦθα τοῦ 
-Z/18b/634/6	διαγνωστικοῦ μέρους τῆς τέχνης ὁ κοινότατος σκοπός ἐστι, 
-Z/18b/634/7	διαγιγνώσκειν δύνασθαι, κατὰ τί μὲν ὅμοια τὰ περὶ τὸ 
-Z/18b/634/8	σῶμα τοῦ κάμνοντός ἐστι τῶν ὑγιαινόντων ὡς μάλιστα, κα-
-Z/18b/634/9	θάπερ αὐτὸς Ἱπποκράτης ἐν προγνωστικῷ διῆλθε. πρῶτον 
-Z/18b/634/10	μὲν τὸ πρόσωπον τοῦ νοσέοντος εἰ ὅμοιόν ἐστι τοῖσι τῶν 
-Z/18b/634/11	ὑγιαινόντων, μάλιστα δὲ εἰ αὐτῷ ἑωυτῷ τις ὅμοιός ἐστι 
-Z/18b/634/12	κατά τι κράτιστον σκοπεῖσθαι. τὸ αὐτὸ τοῦτο κἀν τῷ περὶ 
-Z/18b/634/13	ἄρθρων ἐδήλωσεν, ἔνθα παραβαλεῖν ἀξιοῖ τῷ κατὰ φύσιν 
-Z/18b/634/14	ἔχοντι μέρει τοῦ σώματος τὸ πεπονθός. οὐ γὰρ ἁπλῶς εἶ-
-Z/18b/634/15	πεν, οὐδὲ ἐκεῖ τὴν παραβολὴν εἶναι χρὴ, ἀλλὰ τοῦ πάσχον-
-Z/18b/634/16	τος ἀνθρώπου τὰ δεξιὰ τοῖς ἀριστεροῖς παραβαλεῖν 
-Z/18b/634/17	ἐκέλευσε, μὴ τἀλλότρια ἄρθρα καθοράοντα, τουτέστι μὴ 
-Z/18b/634/18	τὰ τῶν ἄλλων ἀνθρώπων. αὐτὸ δὴ τοῦτο καὶ νῦν ἀξιοῖ σε  
-Z/18b/635/1	πράττειν εἰπὼν ἢ ὅμοια ἢ ἀνόμοια ἐξ ἀρχῆς ἀπὸ τῶν μεγί-
-Z/18b/635/2	στων, ἀπὸ τῶν ῥηΐστων, ὡς εἰ καὶ οὕτως εἶπε· τὰ τῶν 
-Z/18b/635/3	καμνόντων σώματα προσήκει διαγιγνώσκειν εὐθὺς ἐξ ἀρχῆς, 
-Z/18b/635/4	κατὰ τί μὲν ὅμοια τοῖς τῶν ὑγιαινόντων ἐστὶ, κατὰ τί δὲ 
-Z/18b/635/5	ἀνόμοια. τοῦτο γὰρ ποιοῦντες ἀπὸ τῶν μιγίστων μὲν τῇ 
-Z/18b/635/6	δυνάμει, ῥᾴστων δὲ γνωσθῆναι τὰς σημειώσεις τῶν παθῶν 
-Z/18b/635/7	ποιησόμεθα. χρὴ γὰρ γιγνώσκειν ἡμᾶς ὡς οὐκ ἄλλα μέν 
-Z/18b/635/8	ἐστι μέγιστα, ῥᾷστα δὲ ἄλλα. τοῖς γὰρ αὐτοῖς σημείοις 
-Z/18b/635/9	ὑπάρχει μεγίστοις μὲν εἶναι τῇ δυνάμει, εἰς διάγνωσιν δὲ 
-Z/18b/635/10	ῥᾴστοις, ὡς τοῖς ἐν τῷ προγνωστικῷ κατὰ τὴν ἀρχὴν εὐθὺς 
-Z/18b/635/11	γεγραμμένοις ἐν τῇδε τῇ ῥήσει· ῥὶς ὀξεῖα, ὀφθαλμοὶ κοῖλοι, 
-Z/18b/635/12	κρόταφοι ξυμπεπτωκότες. ὅσα τε τούτων ἐφεξῆς εἴρηται. 
-Z/18b/635/13	ταῦτα γὰρ ὅτι τὴν μεγίστην ἔχει δύναμιν εἰς πρόγνωσιν 
-Z/18b/635/14	οὐδεὶς ἀγνοεῖ τῶν κατὰ τὰ μέτρια τοῖς ἔργοις τῆς τέχνης 
-Z/18b/635/15	ὡμιληκότων· ὅτι δὲ τὴν διάγνωσιν ἔχει ῥᾴστην, ἴσασι 
-Z/18b/635/16	τοῦτο καὶ οἱ τῆς τέχνης ἰδιῶται πάντες. οὐδὲν γὰρ ἄλλο 
-Z/18b/635/17	πρότερον μέρος τοῦ σώματος εἰθὺς εἰσελθών τις ἐπὶ τὸν 
-Z/18b/635/18	ἄῤῥωστον ὁρᾷ τοῦ προσώπου. ἑαυτῷ μὲν οὖν ὁ κάμνων  
-Z/18b/636/1	παραβαλλόμενος, ὡς ἐκέλευσεν, ἀσφαλεστέραν τε ἅμα τὴν 
-Z/18b/636/2	διάγνωσιν ἴσχει καὶ οὕτως ἐπὶ τῶν μεγίστων τε ἅμα καὶ 
-Z/18b/636/3	ῥᾴστων ἀρχόμενος, ἤδη τὸ τῆς τέχνης ἐξετάζοιτο. τάχα δ' 
-Z/18b/636/4	ἄν ποτε καὶ σφαλείη τις ἐπὶ τῶν φύσει μὲν ἐχόντων ὀξεῖαν 
-Z/18b/636/5	τὴν ῥῖνα, τοὺς δ' ὀφθαλμοὺς κοίλους καὶ τοὺς κροτάφους 
-Z/18b/636/6	συμπεπτωκότας· ἀλλ' ἐὰν εὕρωμεν ὅμοιον τῷ τῶν πολλῶν 
-Z/18b/636/7	ἀνθρώπων τὸ τοῦ κάμνοντος σῶμα, σαφὴς ἡ διάγνωσις 
-Z/18b/636/8	ἔσται τοῦ μηδεμίαν νόσον ἐπὶ τοῦτο μοχθηρὰν ἐνυπάρχειν 
-Z/18b/636/9	ἢ διάθεσιν· ἐὰν δὲ κατὰ τὸ γεγραμμένον ὑφ' Ἱπποκράτους 
-Z/18b/636/10	ἐπισκεψόμεθα, τἄλλα τὰ κατὰ τὸ πᾶν σῶμα σημεῖα, κἂν 
-Z/18b/636/11	φαίνηται σωτήρια, τοιοῦτον τῇ φύσει τὸ πρόσωπον τοῦ 
-Z/18b/636/12	κάμνοντος ἐλπίσαντες, ἀκριβεστέρας διαγνώσεως χάριν ἐρη-
-Z/18b/636/13	σόμεθα τῶν ἐπισταμένων αὐτὸν ἔμπροσθεν. ὁμολογήσαντες 
-Z/18b/636/14	δὲ βεβαιοτέραν τὴν πρόγνωσιν ἕξομεν, οὐ μὴν ὁμοίως γε 
-Z/18b/636/15	ἐπιστημονικὴν, ὡς εἰ καὶ γιγνώσκοντες αὐτοὶ τύχωμεν τὸν 
-Z/18b/636/16	κάμνοντα καὶ μᾶλλόν γέ τοι συμφύσαντες αὐτῷ. τὸ γὰρ 
-Z/18b/636/17	ἑωρακέναι πολλάκις ὑγιαίνοντα τὸν νῦν παρὰ φύσιν ἔχοντα, 
-Z/18b/636/18	διαγνωστικωτέρους ἡμᾶς ἐργάζεται τοῦ ποσοῦ τῆς διαφορᾶς  
-Z/18b/637/1	τῶν κατ' αὐτὸ σημείων. ἔστω γὰρ ἀκοῦσαί τε ἡμᾶς καὶ 
-Z/18b/637/2	τεκμηραμένους τὸν κάμνοντα τὴν ῥῖνα μὲν ὀξεῖαν ἔχειν, 
-Z/18b/637/3	τοὺς δὲ ὀφθαλμοὺς κοίλους, ὁ συνήθης γε πόσῳ γινώσκει 
-Z/18b/637/4	μόνος, ἰδίως δὲ καὶ τούτου χρεία τοῖς ἰατροῖς. οὐ γὰρ 
-Z/18b/637/5	μόνον ὅτι παρὰ φύσιν ἔχει τὸ σῶμα, χρήσιμόν ἐστιν ἡμῖν 
-Z/18b/637/6	γινώσκειν, ἀλλὰ καὶ τὸ, πόσῳ μὲν ἡ ῥὶς ὀξυτέρα τῆς κατὰ 
-Z/18b/637/7	φύσιν ἐστὶ, πόσῳ δὲ οἱ ὀφθαλμοὶ κοιλότεροι καὶ οἱ κρότα-
-Z/18b/637/8	φοι συμπεπτωκότες, ἕκαστόν τε τῶν ἄλλων ὧν εἶπεν οὐχ 
-Z/18b/637/9	ἁπλῶς δεινόν ἐστι τὸ ἐναντιώτατον τοῦ ὁμοίου, ἀλλὰ δει-
-Z/18b/637/10	νότατον. ἐναντιώτατον δηλονότι τὸ πλεῖστον ἐκ τοῦ κατὰ 
-Z/18b/637/11	φύσιν κεχωρηκός. ὡς οὖν τοῦτο δεινότατον εἶπεν, οὐχ ἁπλῶς 
-Z/18b/637/12	δεινὸν τὸ ἐναντιώτατον, οὕτω καὶ δεινὸν ἧττον καὶ μᾶλλον 
-Z/18b/637/13	εἰς ὅσον ἂν ἧττόν τε καὶ μᾶλλον ἐναντίον δείκνυται. τὰ 
-Z/18b/637/14	μὲν οὖν ὑπὸ τοῦ προσώπου φαινόμενα σημεῖα καὶ ῥᾷστα 
-Z/18b/637/15	γνωσθήσεται καὶ μεγίστην ἔχοντα δύναμίν ἐστιν, ἅτε κατὰ 
-Z/18b/637/16	τὴν ἀρχὴν εἶπεν εὐθέως, ἅτε περὶ τοὺς ὀφθαλμοὺς ἑξῆς  
-Z/18b/638/1	ἔγραψεν, ἃ δὲ οὐκ ὀλίγα τῶν κατὰ τὸ προγνωστικὸν εἰρη-
-Z/18b/638/2	μένων ὑπ' αὐτοῦ, τὰ μὲν οὐ μέγιστα, τὰ δὲ οὐ ῥᾷστα, 
-Z/18b/638/3	τὰ δὲ συναμφότερον ἔχοντα, μήτε μέγιστα εἶναι μήτε ῥᾷ-
-Z/18b/638/4	στα φανεῖταί σοι σκοποῦντι, περὶ ὧν ἐπὶ πλέον μὲν ἐν τῇ 
-Z/18b/638/5	κατ' ἐκεῖνο τὸ βιβλίον ἐξηγήσει λέλεκται, ῥηθήσεται δὲ νῦν 
-Z/18b/638/6	ὀλίγα παραδείγματος ἕνεκα. τὸ γὰρ ὕπτιον κεῖσθαι καὶ τὰς 
-Z/18b/638/7	χεῖρας ἔχειν καὶ τὰ σκέλη παραπλησίως κείμενα τοῖς παρέ-
-Z/18b/638/8	τοις, οὐ κατὰ διάθεσιν μοχθηρὰν, ἀλλὰ διὰ μαλακίαν ἐγ-
-Z/18b/638/9	γίγνεται τοῦ κάμνοντος ἢ τρυφὴν ὑπερβάλλουσαν· ὥστε εἰ 
-Z/18b/638/10	μὴ τὸ ἦθος εἰδείημεν αὐτοῦ, σφαλησόμεθα. γιγνώσκειν δὲ 
-Z/18b/638/11	ὧν ἐπισκεπτόμεθα πάντων τὰ ἤθη τῶν ἀδυνάτων ἐστὶ καὶ 
-Z/18b/638/12	διὰ τοῦτο ἐπ' ὀλίγου μόλις αὐτὰ διερωτητέον, εὑρί-
-Z/18b/638/13	σκομεν ἐνίοτε μὲν οὐ μέγα δηλοῦντα, καθάπερ ἐπὶ τῆς 
-Z/18b/638/14	κατακλίσεως, ἐνίοτε δὲ μέγιστα, ὡς ἐπὶ τῶν κοσμίων ἤτοι 
-Z/18b/638/15	τὸ βλέμμα θρασύτερον καὶ τὴν φωνὴν ἐχόντων. κατὰ τὰ 
-Z/18b/638/16	αὐτὰ δὲ κἀπὶ τῆς ψοφούσης φύσης· ἢ γὰρ ὀδύνην ἢ παρα-
-Z/18b/638/17	φροσύνην σημαίνει τοῖς αἰδουμένοις τοῦτο πράττειν, ἀκουόν- 
[0057]  [101]  []  []

-Z/18b/639/1	των τινῶν. εἰ δὲ οὐδὲ φροντίζοιεν τῶν παρόντων, οὐδενὸς 
-Z/18b/639/2	ἔσται σημεῖον. ὥστε κἀνταῦθα τὸ ἦθος ἐπίστασθαι χρὴ 
-Z/18b/639/3	τοῦ κάμνοντος, ὥσπερ τὸ μὲν ἔθος τῶν ἐπὶ τὴν γαστέρα 
-Z/18b/639/4	κοιμωμένων, τὴν δὲ φύσιν, ὅσοι πρίουσι κοιμώμενοι τοῦ 
-Z/18b/639/5	ὀδόντος ἢ τοῖς ὀφθαλμοῖς οὐκ ἀκριβῶς μύουσιν. τὰ γὰρ 
-Z/18b/639/6	τοιαῦτα μετὰ τοῦ προεγνωκέναι τὸ ἦθος ἢ τὴν φύσιν τοῦ 
-Z/18b/639/7	κάμνοντος ἢ παρά τινος τῶν ἐπισταμένων αὐτοὺς πυθέσθαι 
-Z/18b/639/8	τὴν διάγνωσιν ἴσχει καὶ ποτὲ μὲν ἀγαθὰ, ποτὲ δὲ φαῦλα 
-Z/18b/639/9	σημεῖα, τὰ μὲν, ὡς τὸ μὲν μέλαν οὖρον ἢ πτύσμα μέλαν 
-Z/18b/639/10	ἢ χολὴν μέλαιναν, νοσημάτων ἀρχομένων φανῆναι καὶ δύ-
-Z/18b/639/11	ναμιν ἔχει μεγίστην καὶ διάγνωσιν ῥᾴστην, ὥσπερ γε πάλιν 
-Z/18b/639/12	ἐξ ὑπεναντίου, τοῖς δὲ μεγίστην δύναμιν εἰς σωτηρίαν ἐν 
-Z/18b/639/13	τοῖς ὀξέσι νοσήμασιν εὔπνοια καὶ οὖρον ὑπόστασιν ἔχον 
-Z/18b/639/14	λευκὴν καὶ λείαν καὶ ὁμαλήν. ταῦτα μὲν οὖν ἐπὶ τῶν κατὰ 
-Z/18b/639/15	διάγνωσιν αὐτάρκως εἴρηται, παραδείγματα ἐσόμενα τῶν 
-Z/18b/639/16	τε μεγάλην ἐχόντων δύναμιν καὶ ῥᾴστων γνωσθῆναι καὶ τῶν 
-Z/18b/639/17	γιγνωσκομένων ἡμῖν πάντη γε καὶ πάντως, ἐάν τε διὰ πεί- 
-Z/18b/640/1	ρας ἴῃ ἐάν τε διὰ λόγου σκοπῶμεν, οὐ μὴν οὔτε δύναμιν 
-Z/18b/640/2	ἐχόντων τηλικαύτην οὔτε διάγνωσιν ἑτοίμην, ἀλλὰ μετὰ τοῦ 
-Z/18b/640/3	προγιγνώσκειν, πυνθάνεσθαι τὰ τῶν νοσούντων ἔθη τε καὶ 
-Z/18b/640/4	ἤθη καὶ φύσεις. ἐφεξῆς δὲ ἐπὶ τῶν κατὰ χειρουργίαν ὁ 
-Z/18b/640/5	λόγος ἔσται μοι προχειρισαμένῳ τι παράδειγμα σαφηνείας 
-Z/18b/640/6	ἕνεκεν, ὃ κατὰ τὴν ἀρχὴν εὐθέως γέγραπται τοῦ περὶ ἄρ-
-Z/18b/640/7	θρων βιβλίου, δεδάσκοντος αὐτοῦ περὶ τῶν βραχίονος ἐξαρ-
-Z/18b/640/8	θρημάτων. ἐπὶ τούτου γὰρ τὸ μέγιστον καὶ ῥᾷστόν ἐστιν εἰς 
-Z/18b/640/9	διάγνωσιν, εἰ στρογγύλος καὶ μικρὸς ἐν τῇ μασχάλῃ φαίνε-
-Z/18b/640/10	ται· οὐ γὰρ ἐνδέχεται γενέσθαι χωρὶς τοῦ τὴν κεφαλὴν 
-Z/18b/640/11	τοῦ βραχίονος ἐκπεσοῦσαν τῆς διαρθρώσεως εἰς τὸ τῆς 
-Z/18b/640/12	μασχάλης ἐνεχθῆναι χωρίον. ἡ δὲ κατὰ τὴν ἐπωμίδα κοι-
-Z/18b/640/13	λότης κοινόν ἐστι σημεῖον, ἐκπτώσεως μὲν βραχίονος, ἀπο-
-Z/18b/640/14	σπάσματος δὲ καὶ ἀκρωμίου, εἰς ὅσον ὕψος ἀνήκει, κἄπειτα 
-Z/18b/640/15	παραβαλεῖν αὐτὸ τὸ πεπονθὸς, εἴθ' ὅταν φαίνηται τὴν ἑαυ-
-Z/18b/640/16	τοῦ φύσιν μὴ ἔχον, ἐκπεπτωκέναι λογίζεσθαι τὸν βραχίονα. 
-Z/18b/640/17	τοῦτ' οὖν τὸ σημεῖον οὐχ ὥσπερ τὸ κατὰ τὴν μασχάλην, 
-Z/18b/640/18	δύναμιν εὐθὺς, ἑτοίμην τὴν διάγνωσιν ἔχει. ἔτι δὲ μᾶλλον  
-Z/18b/641/1	ἀπολείπεται τῇ δυνάμει τὸ κατὰ τὰς κινήσεις· ἀνατείνειν 
-Z/18b/641/2	γὰρ οὐ δύναται τὸν βραχίονα καὶ θλασθέντων καὶ ταθέν-
-Z/18b/641/3	των καὶ φλεγμηνάντων τῶν ἐνταῦθα μυῶν, ὥσπερ γε καὶ 
-Z/18b/641/4	ὅταν ἶνές τινες αὐτῶν ἀποσπασθεῖσαι διὰ βάθους. ἐγὼ δὲ 
-Z/18b/641/5	οἶδά ποτε καὶ τοιοῦτόν τι συμβὰν, ἀποσπάσματος ἐν 
-Z/18b/641/6	ἀκρωμίῳ προϋπάρχοντος, εἶτα ὕστερον ἐξαρθρήσαντος τοῦ 
-Z/18b/641/7	κατὰ τὴν ἑτέραν χεῖρα βραχίονος, ἐν παλαίστρᾳ δὲ τοῦτο 
-Z/18b/641/8	ἐγένετο. θεασάμενος δ' ἰατρὸς, ὁμοίως ἀμφοτέρας τῶν 
-Z/18b/641/9	χειρῶν τὰς ἐπωμίδας ἀπεφήνατο προπετῶς· πληγὴν μέν 
-Z/18b/641/10	τινα γεγονέναι κατὰ τὸ χωρίον ἔφη καὶ τὸν ἄνθρωπον εἰκό-
-Z/18b/641/11	τως ὀδυνᾶσθαι, τὸ δὲ ἄρθρον ἀπαθὲς εἶναι. συνεβούλευ-
-Z/18b/641/12	σεν οὖν εἰς τὸ βαλανεῖον ἀπελθόντα τὴν ταχίστην ἐλαίῳ 
-Z/18b/641/13	πολλῷ χρώμενον ἐνδιατρῖψαι τῷ κατὰ τὸν πύελον ὕδατι καὶ 
-Z/18b/641/14	ἐπειδὴ ἐξέλθῃς, σκεπάσας τὸ πεπληγὸς μόριον ἐρίοις δια-
-Z/18b/641/15	βρόχοις ἐξ ἐλαίου μετὰ βραχέος κηροῦ κατάκλινέ τε καὶ 
-Z/18b/641/16	ἡσυχίαν ἄγε. γενομένων τούτων ὁ μὲν ἄνθρωπος ὠδύνηται 
-Z/18b/641/17	δι' ὅλης νυκτός. ἕωθεν ἐκάλεσεν ἐκεῖνόν τε τὸν ἰατρὸν αὐ-
