
[0057]  [077]  []  []

-Z/13/362/t1	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΣΥΝΘΕΣΕΩΣ ΦΑΡΜΑΚΩΝ 
-Z/13/364/6	φροῖς λίθους θρυπτομένους, ὑφ' ἑτέρων δὲ τὰς ἐκ πνεύμο-
-Z/13/364/7	νός τε καὶ θώρακος ἀναπτύσεις εὐπετεῖς γινομένας, ὥσπερ 
-Z/13/364/8	ὑπ' ἄλλων ἄλλα καθ' ἕν τι μόριον ἐξαιρέτως ἐπιτελούμενα. 
-Z/13/364/9	πολυειδῶς δὲ τοῦτον τὸν λόγον ἐν τῷ πρώτῳ τῶν γεγραμ-
-Z/13/364/10	μένων ἤδη μοι πρόσθεν, ὡς ἔφην, ὑπομνημάτων ἐξειργασά-
-Z/13/364/11	μην, ὥσπερ αὖ κατὰ δεύτερον ἄλλον, οἰομένων τινῶν ἐν τῇ 
-Z/13/364/12	συνθέσει διαφθείρεσθαι παντάπασι τὰς ἐναντίας ἀλλήλαις 
-Z/13/364/13	δυνάμεις τῶν ἁπλῶν φαρμάκων. εἰ γὰρ ὕδωρ, φασὶ, τὸ ζε-
-Z/13/364/14	στότατον τῷ ψυχροτάτῳ μίξεις, οὐδέτερον μενεῖ τῶν μιχθέν-
-Z/13/364/15	των ὁποῖον ἦν ἔμπροσθεν, ἀλλ' ἕν τι γενήσεται τρίτον, ἕτε-
-Z/13/364/16	ρον ἀμφοῖν. ἐδείχθησαν δὲ κᾀνταῦθα ληροῦντες μάταια διὰ 
-Z/13/364/17	τὸ μὴ γινώσκειν ἔνια μὲν τῶν προσφερομένων τῷ σώματι 
-Z/13/364/18	κατὰ τὰς ἐμφύτους δυνάμεις, ἔνια δὲ κατὰ τὰς ἐπικτήτους  
-Z/13/365/1	ποιότητας ἐνεργεῖν. τίς γὰρ οὐκ οἶδε κώνειον ἢ μηκώνειον 
-Z/13/365/2	ψύχοντα; καὶ μὴν εἰ θερμήνας αὐτὰ σφοδρῶς, προσφέροις 
-Z/13/365/3	ζώου σώματι, καυτηρίῳ παραπλησίως ἕλκος ἐργάσῃ. καθάπερ 
-Z/13/365/4	γε πάλιν εἰ νᾶπυ τρίψας ἐν ἀέρι ψυχρῷ, μεθ' ὕδατος ψυ-
-Z/13/365/5	χροτάτου χειμῶνος ὥρᾳ, προσενέγκῃς ἐξαίφνης ἀραιῷ τε καὶ 
-Z/13/365/6	ἀσθενεῖ σώματι, φρίξει οὐδὲν ἧττον ἢ εἰ χιὼν ἢ κρύσταλλος 
[0057]  [077]  []  []

-Z/13/365/7	ἔψαυσεν αὐτοῦ. ἀλλ' ἐὰν ὁμιλήσῃ σώματι ζώου χρόνῳ πλέονι, 
-Z/13/365/8	πρῶτα μὲν αἴσθησιν ἐργάσεται θερμασίας ὀλίγης, εἶτα πλεί-
-Z/13/365/9	ονος, εἶθ' οὕτω πολλῆς, ὡς ὑπὸ πυρὸς καίεσθαι δοκεῖν. 
-Z/13/365/10	ἔμπαλιν δὲ κώνειόν τε καὶ μηκώνειον θερμὰ προσαχθέντα, 
-Z/13/365/11	ἐὰν ὁμιλήσῃ τῷ σώματι χρόνῳ πλέονι, τοσαύτην ἐργάσεται 
-Z/13/365/12	τὴν ψύξιν, ὡς ἀναίσθητα γενέσθαι τὰ σώματα, κᾂν πρότε-
-Z/13/365/13	ρον αἰσθητικώτατα ὑπάρχῃ. διωρισμένων οὖν ἡμῖν τῶν τοι-
-Z/13/365/14	ούτων ἁπάντων ἐν τοῖς περὶ τῆς τῶν ἁπλῶν φαρμάκων δυ-
-Z/13/365/15	νάμεως ὑπομνήμασιν, ἕνδεκα τὸν ἀριθμὸν οὖσιν, ἐπ' αὐτὴν 
-Z/13/365/16	ἤδη τρέψομαι τὴν χρήσιμον διδασκαλίαν, ἐν ᾗ γυμνασάμενός 
-Z/13/365/17	τις, ἐὰν καὶ μηδ' ὅλως ἐπιφέρηται τὰς γραφὰς τῶν πολυ-
-Z/13/365/18	φαρμάκων δυνάμεων, οὐκ ἀπορήσει τῶν ἐπιτηδείων πρὸς ἕκα- 
-Z/13/366/1	στον πάθος, ἐὰν οὗτος, ὡς ἔφην, ἔμπειρος ᾖ τῆς ὕλης 
-Z/13/366/2	τῶν ἁπλῶν φαρμάκων. ἐν παρέργῳ δὲ ὁ λόγος οὗτος ἐπι-
-Z/13/366/3	δείκνυσι καὶ τὴν τῶν ἐμπειρικῶν ἰατρῶν φιλονεικίαν εἰς ὀνεί-
-Z/13/366/4	ρατά τε καὶ τύχην καὶ περίπτωσιν ἀναγόντων τὰ σύνθετα 
-Z/13/366/5	φάρμακα σχεδὸν ἅπαντα, πλὴν ὀλιγίστων τινῶν, ἃ κατὰ τὸν 
-Z/13/366/6	κοινὸν ἁπάντων ἀνθρώπων λόγον, ὃν ἐπιλογισμὸν αὐτοὶ 
-Z/13/366/7	καλοῦσιν, εὑρηκέναι φασί. ὥσπερ ὅταν ἀλλήλοις μίξωμιν φάρ-
-Z/13/366/8	μακα τὴν αὐτὴν ἐπιδεδειγμένα διὰ τῆς πείρας ἐνέργειαν, ἄλλο 
-Z/13/366/9	δ' ἐπ' ἄλλου σώματος ἄμεινον ἢ χεῖρον ἐνηργηκὸς, 
-Z/13/366/10	εὔλογον μὲν ἡμῖν ἔδοξε, φασὶν ἔνιοι τῶν ἐμπειρικῶν, οὐ γὰρ 
-Z/13/366/11	δὴ πάντες γε, συνθεῖναι πλείω τοιαῦτα χάριν τοῦ κᾂν ἓν 
-Z/13/366/12	ἐξ αὐτῶν εὑρεθῆναι τῇ φύσει τοῦ θεραπευομένου σώματος 
-Z/13/366/13	οἰκεῖον. ὅπερ ἐπὶ τούτου δὴ τοῦ καινοτάτου φαρμάκου τοῦ 
-Z/13/366/14	καλουμένου κεφαλικοῦ γεγονέναι φασὶ, μιχθέντων ἐν αὐτῷ 
-Z/13/366/15	πάντων τῶν καὶ κατὰ μόνας ἐγνωσμένων ἕλκη σαρκοῦν. 
-Z/13/366/16	ἀλλὰ κατὰ τίνα γε λόγον ἰὸς μιχθεὶς ἁπλῇ κηρωτῇ σαρ-
-Z/13/366/17	κωτικὸν ἐργάζεται φάρμακον, οὐδετέρου τῶν μιχθέντων σαρ-
-Z/13/366/18	κοῦντος, οὐκέτι λέγουσιν. ὁ μὲν γὰρ ἰὸς ἀναβιβρώσκει τὴν  
-Z/13/367/1	ἡλκωμένην σάρκα, θερμὸν καὶ δριμὺ φάρμακον ὑπάρχον. ἡ 
-Z/13/367/2	κηρωτὴ δὲ πρᾷον μέν ἐστι καὶ ἄδηκτον, ἀντὶ δὲ σαρκὸς 
-Z/13/367/3	νέας ῥύπον ἐπιτρέφει τοῖς ἕλκεσιν. ἐμοὶ δὲ καὶ τοῦθ' ὅπως 
-Z/13/367/4	ἀλλήλοις ἐπιμίγνυται καὶ τἄλλα, ὅσα κατὰ τὸν αὐτὸν τρό-
-Z/13/367/5	πον ἐκ τῶν ἐναντίων σύγκειται, λέλεκται μὲν ἤδη καὶ κατὰ 
-Z/13/367/6	τὸ τρίτον γράμμα τῆς θεραπευτικῆς πραγματείας, εἰρήσεται 
-Z/13/367/7	δὲ καὶ νῦν ἡ κατὰ μέρος γυμνασία μετὰ παραδείγματος ἐφ' 
-Z/13/367/8	ἑκάστου πάθους. 
-Z/13/367/9	  [Τίνα προσεπίστασθαι χρὴ τὸν μέλλοντα 
-Z/13/367/10	καλῶς συντιθέναι τὰ φάρμακα.] Περὶ μὲν τῆς τῶν ἁπλῶν 
-Z/13/367/11	φαρμάκων δυνάμεως εἴρηται δι' ἑτέρας πραγματείας ὅτι 
-Z/13/367/12	χρὴ γινώσκειν ἑκάστου τὴν δύναμιν, οὐ κατὰ γένος μόνον, 
-Z/13/367/13	ὡς ἔγραψάν τινες, ἤτοι θερμαίνειν ἢ ψύχειν ἢ ξηραίνειν ἢ 
-Z/13/367/14	ὑγραίνειν εἰπόντες, ἀλλὰ διωρισμένως τε καὶ διηρθρωμένως, 
-Z/13/367/15	ἐκ τίνος ἐστὶ τάξεως, ὡς ἡμεῖς ἐδηλώσαμεν. ἔνια μὲν γὰρ 
-Z/13/367/16	φάρμακα παντάπασιν ἀμυδρῶς ἐργάζεται τῶν εἰρημένων ἕκα-
-Z/13/367/17	στον, ἔνια δὲ σαφῶς, ἔνια δὲ ἰσχυρῶς, ὥσπερ ἄλλα τελέως. 
-Z/13/367/18	οὔκουν αὐταρκὲς ἐπίστασθαι θερμαίνειν ἢ ψύχειν τόδε τὸ  
-Z/13/368/1	φάρμακον, ἀλλὰ καὶ μέχρι πόσου θερμαίνει καὶ ψύχει προσ-
-Z/13/368/2	διορίσασθαι χρή. θερμαίνουσι γὰρ αἱ ῥητίναι πᾶσαι καὶ 
-Z/13/368/3	τοῦτο κοινὸν αὐταῖς, ἀλλὰ τὸ μᾶλλον καὶ ἧττον οὐκ ὀλί-
-Z/13/368/4	γον ἐν τῇ θερμότητι κέκτηνται. θερμαίνουσι δὲ καὶ ὀποὶ 
-Z/13/368/5	πολλοὶ, διαφέροντες ἀλλήλων οὐ σμικρὰν διαφορὰν ἐν τῷ 
-Z/13/368/6	μᾶλλόν τε καὶ ἧττον. εἰ γὰρ παραβάλλοις ὀπὸν πάνακος τῷ 
-Z/13/368/7	Κυρηναίῳ καὶ Μηδικῷ, δόξει σοι τοῦτο μηδὲν ὡς πρὸς 
-Z/13/368/8	ἐκείνους εἶναι καὶ τί δεῖ πόῤῥω τὸν λόγον ἀπάγειν, αὐτῶν 
-Z/13/368/9	οἷς ὁσημέραι προσφερόμεθα τῆς διαφορᾶς ἀναμνῆσαι δυνα-
-Z/13/368/10	μένους; ἄνηθον γοῦν καὶ πήγανον καὶ κρόμμυον θερμαί-
-Z/13/368/11	νοντα πάντα πολὺ διενήνοχεν ἀλλήλων, ὥστε καὶ κατὰ τὰς 
-Z/13/368/12	θεραπείας τῷ μὲν ἱκανῶς ἐψυγμένῳ μορίῳ τὸ θερμαῖνον 
-Z/13/368/13	ἱκανῶς προσοίσομεν φάρμακον, τῷ δὲ βραχὺ τοῦ κατὰ φύ-
-Z/13/368/14	σιν ἐξηλλαγμένῳ τὸ μετρίως θερμαῖνον, ὥσπερ γε καὶ τῷ 
-Z/13/368/15	πάνυ κατεψυγμένῳ τὸ σφοδρότατα θερμαῖνον. εἰκότως οὖν 
-Z/13/368/16	ἡμεῖς ἐποιησάμεθα τέσσαρας τάξεις ἐν τοῖς θερμαίνουσι, διο-
-Z/13/368/17	ρισάμενοι τῶν ἐπ' ὀλίγον θερμαινόντων τά τε σαφῶς τοῦτο 
-Z/13/368/18	δρῶντα καὶ τὰ πάνυ θερμαίνοντα καὶ τὰ σφόδρα μετὰ τοῦ  
-Z/13/369/1	καίειν. ἐν ἑκάστῃ δὲ τῶν τεσσάρων διαφορῶν ἔνια μὲν οἷον 
-Z/13/369/2	ἀρχομένης τε διαφορᾶς, ἔνια δὲ τελευτώσης τε καὶ πλησια-
-Z/13/369/3	ζούσης τῇ μετὰ ταύτην, ἔνια δὲ ἐν τῷ μεταξύ. τῶν γοῦν 
-Z/13/369/4	ἑλκούντων διὰ θερμότητα, καθάπερ καὶ τῶν σηπτῶν ὀνο-
-Z/13/369/5	μαζομένων, ἔνια μὲν ἅμα τῷ προσαχθῆναι τῷ σώματι τὴν 
-Z/13/369/6	ἑαυτῶν ἐπιδείκνυνται δύναμιν, ἔνια δὲ δυοῖν ἢ τριῶν ἢ τετ-
-Z/13/369/7	τάρων ὡρῶν δεῖται· τινὰ δ' ὅλης ἡμέρας ἢ καὶ τῆς μετ' 
-Z/13/369/8	αὐτὴν νυκτὸς ἢ καὶ πλειόνων ἐφεξῆς. ταῦτ' οὖν, ὥσπερ ἐπὶ 
-Z/13/369/9	τῶν θερμαινόντων, οὕτω καὶ ἐπὶ τῶν ψυχόντων ἐπί-
-Z/13/369/10	στασθαι χρὴ, τὸν μέλλοντα συντίθεσθαί τι φάρμακον. ὡσαύ-
-Z/13/369/11	τως δὲ καὶ ἐπὶ τῶν ὑγραινόντων καὶ ξηραινόντων. αἱ δὲ 
-Z/13/369/12	ὗλαι τῶν φαρμάκων, αἱ μὲν ἀπὸ φυτῶν εἰσιν, αἱ δὲ ἀπὸ 
-Z/13/369/13	μετάλλων, αἱ δ' ἀπὸ ζώων. καὶ πάσας αὐτὰς διωρισμένας 
-Z/13/369/14	ἐν τῇ περὶ τῶν ἁπλῶν φαρμάκων πραγματείᾳ μεμαθήκατε. 
-Z/13/369/15	πρὸς γὰρ τοὺς ἑταίρους ὁ λόγος οὗτός ἐστί μοι μάλιστα, 
-Z/13/369/16	τοὺς ἀξιώσαντάς με δεύτερον νῦν ἐπὶ τοῖς ἀπολωλόσι γρά-
-Z/13/369/17	φειν ταῦτα· καθάπερ δὲ τῶν ἁπλῶν φαρμάκων τὰς δυνά- 
-Z/13/370/1	μεις ἁπάντων ὑμᾶς ἀκριβῶς ἐπίστασθαι προσῆκεν, ἵνα ἐν 
-Z/13/370/2	παντὶ χωρίῳ δύνησθε ῥᾳδίως ἐκ τῶν παρόντων συντιθέναι 
-Z/13/370/3	τὰ λυσιτελοῦντα τοῖς θεραπείας δεομένοις σώμασιν, οὕτω 
-Z/13/370/4	καὶ τῶν παρὰ φύσιν πασῶν διαθέσεων τὰς διαφορὰς ὑπό-
-Z/13/370/5	μνημα· δεύτερον δὲ τὸ περὶ τῆς τῶν συμπτωμάτων, καὶ τρί-
-Z/13/370/6	τον ἐπ' αὐτοῖς, ἐν ᾧ περὶ τῶν τὰς νόσους ἐργαζομένων αἰ-
-Z/13/370/7	τίων διέρχομαι. καὶ πρὸς τούτοις ἄλλα τρία τῶν ἐν τοῖς 
-Z/13/370/8	συμπτώμασιν αἰτίων. ἔχετε δὲ καὶ τὸ περὶ πλήθους ἐμὸν 
-Z/13/370/9	γράμμα καὶ τὸ περὶ τῆς τῶν πυρετῶν διαφορᾶς· ἐπ' αὐτοῖς 
-Z/13/370/10	τε τὰ τῆς θεραπευτικῆς μεθόδου, δι' ὧν ἐμάθετε τάς τε δια-
-Z/13/370/11	θέσεις, ὑφ' ὧν ἐνέργεια βλάπτεται, καὶ ὡς ἡ θεραπεία τού-
-Z/13/370/12	των πρώτων ἐστὶν, ὥσπερ γε πάλιν ἡ προφυλακὴ τῶν ἐρ-
-Z/13/370/13	γαζομένων αὐτὰς αἰτιῶν. ἐμάθετε δὲ καὶ ὅτι πρῶτος σκο-
-Z/13/370/14	πὸς τῆς θεραπείας ἐκ τῶν νοσωδῶν εὑρίσκεται διαθέσεων, 
-Z/13/370/15	ὅτε τε συνενδείκνυται τούτοις ἡ τοῦ πεπονθότος μορίου φύ-
-Z/13/370/16	σις, ἅμα τῇ τοῦ περιέχοντος ἡμᾶς ἀέρος κράσει καὶ κατά-
-Z/13/370/17	στασιν καὶ ἡλικίαν καὶ ὥραν καὶ χώραν, ἐπιτηδεύματά τε 
-Z/13/370/18	καὶ ἔθη συνεπισκέπτονται πολλοὶ τῶν ἀρίστων ἰατρῶν,  
-Z/13/371/1	ὑπὲρ ὧν εἰρήσεταί τινα καὶ νῦν, ἔνθ' ἂν αὐτῶν γένηται 
-Z/13/371/2	χρεία. ταῦτ' οὖν ὑμᾶς οὕτως ἅπαντα διὰ μνήμης ἔχειν χρὴ 
-Z/13/371/3	πρόχειρα, βουλομένους ἐν ἅπαντι χωρίῳ φαρμάκων εὐπο-
-Z/13/371/4	ρεῖν ἁπλῶν τε καὶ συνθέτων, ἔτι τε πρὸς τούτοις, ὡς ἐνίοτε 
-Z/13/371/5	μὲν ἕν τι φάρμακον αὐτοφυὲς ἁπλοῦν, ἱκανόν ἐστι τὴν παρὰ 
-Z/13/371/6	φύσιν ἰάσασθαι διάθεσιν, ἐνίοτε δὲ χρεία γίγνεται συνθέτου 
-Z/13/371/7	καὶ διὰ τί γε πράττομεν τοῦτο λεκτέον ἐφεξῆς. 
-Z/13/371/8	  [Τίς ἡ χρεία τῶν συνθέτων φαρμάκων.] Εἰ 
-Z/13/371/9	διὰ τῶν ἁπλῶν φαρμάκων μόνον ἦν δυνατὸν ἁπάσας ἰάσα-
-Z/13/371/10	σθαι τὰς παρὰ φύσιν διαθέσεις, οὐκ ἂν ἐδεήθημεν οὐδέποτε 
-Z/13/371/11	συνθέτου φαρμάκου, νυνὶ δὲ οὐχ οὕτως ἔχει. πολλάκις γὰρ 
-Z/13/371/12	ἄχρι τοσοῦδέ τινος ἐκθερμανθῆναι τὸ σῶμα βουλόμενοι τῶν 
-Z/13/371/13	ἁπλῶν οὐδὲν ἔχομεν τοιοῦτον. ἀνάλογον γὰρ εἶναι χρὴ τῇ 
-Z/13/371/14	θεραπευομένῃ διαθέσει τὸ θεραπεῦον φάρμακον. ἐὰν οὖν ἡ 
-Z/13/371/15	διάθεσις ᾖ ψυχρὰ, τέτταρσιν ἀριθμοῖς ἀφεστῶσα τῆς κατὰ 
-Z/13/371/16	φύσιν, ὅτι μὲν εἶναι χρὴ τὸ θεραπεῦσον αὐτὴν φάρμακον, 
-Z/13/371/17	ἴσῃ ποσότητι θερμότερον τοῦ συμμέτρου πρόδηλον παντί.  
-Z/13/372/1	μὴ παρόντος δ' ἐνίοτε μηδενὸς τοιούτου τῶν ἁπλῶν 
-Z/13/372/2	ἂν εὐπορῶμεν δυοῖν, ὧν τὸ μὲν ἀριθμοῖς πέντε, τὸ δὲ τρισὶ 
-Z/13/372/3	θερμότερον, μίξαντες αὐτὰ τὸ μέσον ἐργασόμεθα, τέτρασιν 
-Z/13/372/4	ἀριθμοῖς ὑπερέχον τοῦ συμμέτρου. τινὰ δὲ τῶν ἁπλῶν οὐδ' 
[0057]  [077]  []  []

-Z/13/372/5	εἰς χρῆσιν ἀχθῆναι δύναται χωρὶς ἑτέρας μίξεως, οἷον ὅταν 
-Z/13/372/6	ἐμπλαστὸν φάρμακον ἐπιτιθέναι τινὶ βουλώμεθα. τῶν γὰρ 
-Z/13/372/7	ἁπλῶν οὐδὲν ἐπιτήδειον εἰς τὴν τοιαύτην χρείαν. οὔτ' οὖν 
-Z/13/372/8	ἄσφαλτος οὔτε κηρὸς οὔτε ῥητίνη, καθάπερ οὐδὲ πίσσα 
-Z/13/372/9	πρόπολίς τε καὶ λάδανον, ἔτι δὲ μᾶλλον ἰὸς καὶ ψιμύθιον 
-Z/13/372/10	ἢ λιθάργυρος ἢ μολύβδαινα ἢ τῶν ἄλλων τι μεταλλι-
-Z/13/372/11	κῶν φαρμάκων. ὡσαύτως οὐδὲ βοτάναι μόναι φάρμακον 
-Z/13/372/12	ἐμπλαστὸν δύνανται ποιεῖν. εἰκότως οὖν ἐπενόησαν οἱ πρώ-
-Z/13/372/13	τως συνθέντες ἐμπλαστὰ φάρμακα καὶ δι' ἐλαίου μίξεως 
-Z/13/372/14	ἕψειν μὲν τὰ μεταλλικὰ, τήκειν δὲ τὰ τηκτὰ, προσεμβάλλειν 
-Z/13/372/15	δ' αὐτοῖς καὶ βοτάνας ξηρὰς, κεκομμένας τε καὶ διηθημένας. 
-Z/13/372/16	ἐφ' ἑτέρων πάλιν διαθέσεων, χρεία ἑνὸς φαρμάκου μόνου 
-Z/13/372/17	τῶν αὐτοφυῶν ἐστιν, ἐπιμίγνυμεν δ' αὐτῷ τινὰ, ποτὲ μὲν  
-Z/13/373/1	ἀμβλῦναι τὸ σφοδρὸν τῆς δυνάμεως αὐτοῦ βουλευόμενοι, 
-Z/13/373/2	ποτὲ δὲ τὴν ἀηδίαν παραμυθήσασθαι, καθάπερ Ἱπποκράτης 
-Z/13/373/3	ἐν τῷ περὶ διαίτης ὀξέων ἔφη κατὰ τήνδε τὴν ῥῆσιν· ἢν δ' 
-Z/13/373/4	ὑπὸ φρένας ᾖ τὸ ἄλγημα, ἐς δὲ τὴν κληῗδα μὴ σημήνῃ, μαλ-
-Z/13/373/5	θάσσειν χρὴ τὴν κοιλίην ἢ μέλανι ἐλλεβόρῳ ἢ πεπλίῳ, 
-Z/13/373/6	μέλανι μὲν δαῦκον ἢ σέσελι ἢ κύμινον ἢ ἄνισον ἢ ἄλλο τι 
-Z/13/373/7	τῶν εὐωδέων μίσγοντα, πεπλίῳ δὲ ὀπὸν σιλφίου. ἐν ταύτῃ 
-Z/13/373/8	τῇ ῥήσει σαφῶς ὁ Ἱπποκράτης ἐνεδείξατο χρείαν μὲν εἶναι 
-Z/13/373/9	τοῦ καθαίροντος φαρμάκου, τὴν δ' ἀηδίαν αὐτοῦ κατὰ τὴν 
-Z/13/373/10	πόσιν καὶ τὴν ἐν τῇ κοιλίᾳ μόνην ἡδύσματος δεῖσθαι. πολλὰ 
-Z/13/373/11	γάρ τοι τῶν πινομένων φαρμάκων ἐπὶ τοσοῦτον ἀηδῆ τοῖς 
-Z/13/373/12	προσφερομένοις ἐστὶν, ὡς ἀνατρέπεσθαι τὸν στόμαχον, ἐμεῖ-
-Z/13/373/13	σθαί τε παραχρῆμα, τινὰ δὲ κᾂν ἐπ' ὀλίγον ἐν τῇ γαστρὶ 
-Z/13/373/14	μεῖναι δυνηθῇ, μετὰ ταῦτα γοῦν ἐμεῖσθαι μοχθηρὰς ἐρυγὰς 
-Z/13/373/15	κινήσαντα. καθάπερ δὲ τῶν καθαιρόντων οἷον ἡδύσματά 
-Z/13/373/16	ἐστι τὰ τοιαῦτα τῶν φαρμάκων, ὧν Ἱπποκράτης ἐμνημό-
-Z/13/373/17	νευσεν, οὕτως τῶν ἀνωδύνων ὀνομαζομένων, ἕτερα τῆς σφο-
-Z/13/373/18	δρότητος ὑπάρχει πραϋντικὰ, καθάπερ ὅταν ὀπὸν μήκωνος  
-Z/13/374/1	ἢ ὑοσκυάμου σπέρμα παραδιδόαμεν ἢ μανδραγόρου ῥίζης 
-Z/13/374/2	φλοιὸν, ὥστε καὶ αὕτη χρεία συνθέσεως φαρμάκων ἐστί. 
-Z/13/374/3	μεγίστη δ' ἐπὶ τῶν ἐναντίων δυνάμεων ἅμα χρῃζόντων πα-
-Z/13/374/4	θῶν, οἷον ἀποκρουστικῶν τε καὶ διαφορητικῶν ἢ ῥυπτικῶν 
-Z/13/374/5	τε καὶ λεαντικῶν, ἢ παχυνόντων τε ἅμα καὶ λεπτυνόντων 
-Z/13/374/6	χυμοὺς, καθά τε πολυχρηστότατα καὶ κάλλιστα φάρμακα 
-Z/13/374/7	τὰς ἐναντίας ἐν αὐτοῖς ἔχει δυνάμεις, ὡς ἐπιδείξομεν. ἀλλὰ 
-Z/13/374/8	καὶ ἥδε ἡ χρεία συνθέσεως φαρμάκων ἐστὶν, ὅταν ἕν τι 
-Z/13/374/9	φάρμακον ἔχειν βουλώμεθα πρὸς πολλὰ τῶν ἰοβόλων θη-
-Z/13/374/10	ρίων ἢ θανασίμων φαρμάκων ἐπιτήδειον, ἥτις χρεία καὶ τὴν 
-Z/13/374/11	θηριακὴν ὀνομαζομένην ἀντίδοτον ἐσκεύασε καὶ πρὸς αὐτῇ 
-Z/13/374/12	τὴν Μιθριδάτειον ἑτέρας τε πολλάς. εἰσὶ δὲ καὶ ἄλλαι τινὲς 
-Z/13/374/13	χρεῖαι, μικρότεραι μὲν τῶν εἰρημένων, ὅμως δ' οὖν ἀναγκά-
-Z/13/374/14	ζουσαι πολλάκις ἡμᾶς ἐπὶ τὴν σύνθεσιν ἀφικνεῖσθαι τῶν 
-Z/13/374/15	φαρμάκων, ἃς ἐν τῇδε τῇ πραγματείᾳ πάσας μαθήσεσθε. 
-Z/13/374/16	νυνὶ γὰρ ἤδη τῶν προκειμένων ἄρξομαι, πρώτου μνημονεύ-
-Z/13/374/17	σας ἐμπλαστοῦ φαρμάκου πολυχρηστοτάτου συντεθέντος ὑπ' 
-Z/13/374/18	ἐμοῦ.  
