
[0086]  [048]  [Divis]  []

-Z//1col1/8	1. 
-Z//4col1/4	δημοκρατικόν, ἄλλο δὲ ἀρι-
-Z//4col1/5	στοκρατικόν, τρίτον δὲ ὀλι-
-Z//4col1/6	γαρχικόν, τέταρτον βασιλικόν, 
-Z//4col1/7	πέμπτον τυραννικόν. δημο-
-Z//4col1/8	κρατικὸν μὲν οὖν ἐστιν, ἐν 
-Z//4col1/9	αἷς πόλεσι κρατεῖ τὸ πλῆθος 
-Z//4col1/10	καὶ τὰς ἀρχὰς καὶ τοὺς νό-
-Z//4col1/11	μους δι' ἑαυτοῦ αἱρεῖται· ἀρι-
-Z//4col1/12	στοκρατία δέ ἐστιν, ἐν ᾗ μήθ' 
-Z//4col1/13	οἱ πλούσιοι μήθ' οἱ πένητες 
-Z//4col1/14	μήθ' οἱ ἔνδοξοι ἄρχουσιν, 
-Z//4col1/15	ἀλλ' οἱ ἄριστοι τῆς πόλεως  
-Z//5col1/1	προστατοῦσιν. ὀλιγαρχία δέ 
-Z//5col1/2	ἐστιν, ὅταν ἀπὸ τιμημάτων αἱ 
-Z//5col1/3	ἀρχαὶ αἱρῶνται· ἐλάττους γάρ 
-Z//5col1/4	εἰσιν οἱ πλούσιοι τῶν πενή-
-Z//5col1/5	των. τῆς δὲ βασιλείας ἡ μὲν 
-Z//5col1/6	κατὰ νόμον, ἡ δὲ κατὰ γένος 
-Z//5col1/7	ἐστίν. ἡ μὲν οὖν ἐν Καρ-
-Z//5col1/8	χηδόνι κατὰ νόμον· πωλητὴ 
-Z//5col1/9	γάρ ἐστιν. ἡ δὲ ἐν Λακε-
-Z//5col1/10	δαίμονι καὶ Μακεδονίᾳ κατὰ 
-Z//5col1/11	γένος· ἀπὸ γάρ τινος γένους 
-Z//5col1/12	ποιοῦνται τὴν βασιλείαν. τυ-
-Z//5col1/13	ραννὶς δέ ἐστιν, ἐν ᾗ παρα-
-Z//5col1/14	κρουσθέντες ἢ βιασθέντες ὑπό 
-Z//5col1/15	τινος ἄρχονται. τῆς ἄρα πο-
-Z//5col1/16	λιτείας ἡ μέν ἐστι δημοκρα-
-Z//5col1/17	τία, ἡ δὲ ἀριστοκρατία, ἡ δὲ 
-Z//5col1/18	ὀλιγαρχία, ἡ δὲ βασιλεία, ἡ 
-Z//5col1/19	δὲ τυραννίς. 
-Z//5col1/20	4. 
-Z//5col1/21	  τῆς δὲ δικαιοσύνης ἐστὶν 
-Z//5col1/22	εἴδη τρία· ἡ μὲν γὰρ αὐτῆς 
-Z//5col1/23	ἐστι περὶ θεούς, ἡ δὲ περὶ  
-Z//6col1/1	ἀνθρώπους, ἡ δὲ περὶ τοὺς 
-Z//6col1/2	ἀποιχομένους. οἱ μὲν γὰρ 
-Z//6col1/3	θύοντες κατὰ νόμους καὶ τῶν 
-Z//6col1/4	ἱερῶν ἐπιμελούμενοι δῆλον 
-Z//6col1/5	ὅτι περὶ θεοὺς εὐσεβοῦσιν· 
-Z//6col1/6	οἱ δὲ δάνεια ἀποδιδόντες καὶ  
-Z//7col1/1	παρακαταθήκας δικαιοπρα-
-Z//7col1/2	γοῦσι περὶ ἀνθρώπους· οἱ δὲ 
-Z//7col1/3	τῶν μνημείων ἐπιμελούμενοι 
-Z//7col1/4	δῆλον ὅτι περὶ τοὺς ἀποιχο-
-Z//7col1/5	μένους. τῆς ἄρα δικαιοσύνης 
-Z//7col1/6	ἡ μὲν πρὸς τοὺς θεούς ἐστιν, 
-Z//7col1/7	ἡ δὲ περὶ ἀνθρώπους, ἡ δὲ 
-Z//7col1/8	περὶ τοὺς ἀποιχομένους. 
-Z//7col1/11	5. 
-Z//7col1/12	  τῆς ἐπιστήμης ἐστὶν εἴδη 
-Z//7col1/13	τρία· τὸ μὲν γάρ ἐστι πρακτι-
-Z//7col1/14	κόν, τὸ δὲ ποιητικόν, τὸ δὲ  
-Z//8col1/1	θεωρητικόν. ἡ μὲν οἰκοδο-
-Z//8col1/2	μικὴ καὶ ναυπηγικὴ ποιητι-
-Z//8col1/3	καί εἰσιν· ἔστι γὰρ αὐτῶν 
-Z//8col1/4	ἰδεῖν ἔργον πεποιημένον. πο-
-Z//8col1/5	λιτικὴ δὲ καὶ αὐλητικὴ καὶ 
-Z//8col1/6	κιθαριστικὴ καὶ αἱ τοιαῦται 
-Z//8col1/7	πρακτικαί· οὐ γὰρ ἔστιν ἰδεῖν 
-Z//8col1/8	ἔργον αὐτῶν πεποιημένον, 
-Z//8col1/9	ἀλλὰ πράττουσί τι· ὁ μὲν γὰρ 
-Z//8col1/10	αὐλεῖ καὶ κιθαρίζει, ὁ δὲ πο-
-Z//8col1/11	λιτεύεται. ἡ δὲ γεωμετρικὴ 
-Z//8col1/12	καὶ ἁρμονικὴ καὶ ἀστρολογικὴ 
-Z//8col1/13	θεωρητικαί· οὔτε γὰρ πράτ-
-Z//8col1/14	τουσιν οὔτε ποιοῦσιν οὐδέν· 
-Z//8col1/15	ἀλλ' ὁ μὲν γεωμέτρης θεω-
-Z//8col1/16	ρεῖ, πῶς πρὸς ἀλλήλας ἔχου-
-Z//8col1/17	σιν αἱ γραμμαί, ὁ δὲ ἁρμο- 
-Z//9col1/1	νικὸς τοὺς φθόγγους, ὁ δὲ 
-Z//9col1/2	ἀστρολογικὸς τὰ ἄστρα καὶ 
-Z//9col1/3	τὸν κόσμον. τῶν ἄρα ἐπι-
-Z//9col1/4	στημῶν αἱ μέν εἰσι θεωρη-
-Z//9col1/5	τικαί, αἱ δὲ πρακτικαί, αἱ δὲ 
-Z//9col1/6	ποιητικαί. 
-Z//9col1/7	6. 
-Z//9col1/8	  τῆς ἰατρικῆς ἐστιν εἴδη 
-Z//9col1/9	πέντε· ἡ μὲν φαρμακευτική, 
-Z//9col1/10	ἡ δὲ χειρουργική, ἡ δὲ διαι-
-Z//9col1/11	τητική, ἡ δὲ νοσογνωμονική, 
-Z//9col1/12	ἡ δὲ βοηθητική. ἡ μὲν φαρ-
-Z//9col1/13	μακευτικὴ διὰ φαρμάκων ἰᾶ-
-Z//9col1/14	ται τὰς ἀρρωστίας. ἡ δὲ χει-
-Z//9col1/15	ρουργικὴ διὰ τοῦ τέμνειν καὶ 
-Z//9col1/16	καίειν ὑγιάζει, ἡ δὲ διαιτη-
-Z//9col1/17	τικὴ διὰ τοῦ διαιτᾶν ἀπαλ-
-Z//9col1/18	λάττει τῆς ἀρρωστίας, ἡ δὲ 
-Z//9col1/19	νοσογνωμονικὴ διὰ τοῦ γνῶ-
-Z//9col1/20	ναι τὸ ἀρρώστημα, ἡ δὲ βοη-
-Z//9col1/21	θητικὴ διὰ τοῦ βοηθῆσαι εἰς 
-Z//9col1/22	τὸ παραχρῆμα ἀπαλλάττει τῆς 
-Z//9col1/23	ἀλγηδόνος. τῆς ἄρα ἰατρικῆς 
-Z//9col1/24	ἡ μέν ἐστι φαρμακευτική, ἡ  
[0086]  [048]  [Divis]  []

-Z//10col1/1	δὲ χειρουργική, ἡ δὲ διαιτη-
-Z//10col1/2	τική, ἡ δὲ νοσογνωμονική, 
-Z//10col1/3	ἡ δὲ βοηθητική. 
-Z//10col1/4	7. 
-Z//10col1/5	  νόμου διαιρέσεις δύο· ὁ 
-Z//10col1/6	μὲν γὰρ αὐτοῦ γεγραμμένος, 
-Z//10col1/7	ὁ δὲ ἄγραφος. ᾧ μὲν ἐν 
-Z//10col1/8	ταῖς πόλεσι πολιτευόμεθα, γε-
-Z//10col1/9	γραμμένος ἐστίν· ὁ δὲ κατὰ 
-Z//10col1/10	ἔθη γινόμενος οὗτος ἄγραφος 
-Z//10col1/11	καλεῖται· οἷον τὸ μὴ γυμνὸν 
-Z//10col1/12	πορεύεσθαι εἰς τὴν ἀγορὰν 
-Z//10col1/13	μηδὲ γυναικεῖον ἱμάτιον περι-
-Z//10col1/14	βάλλεσθαι. ταῦτα γὰρ οὐθεὶς 
-Z//10col1/15	νόμος κωλύει, ἀλλ' ὅμως οὐ 
-Z//10col1/16	πράττομεν διὰ τὸ ἀγράφῳ 
-Z//10col1/17	νόμῳ κωλύεσθαι. τοῦ ἄρα 
-Z//10col1/18	νόμου ἐστὶν ὁ μὲν γεγραμ-
-Z//10col1/19	μένος, ὁ δὲ ἄγραφος.  
-Z//11col1/1	8. 
-Z//11col1/2	  ὁ λόγος διαιρεῖται εἰς 
-Z//11col1/3	πέντε, ὧν εἷς μέν ἐστιν, ὃν 
-Z//11col1/4	οἱ πολιτευόμενοι λέγουσιν ἐν 
-Z//11col1/5	ταῖς ἐκκλησίαις, ὃς καλεῖται 
-Z//11col1/6	πολιτικός· ἑτέρα δὲ διαίρε-
-Z//11col1/7	σις λόγου ὃν οἱ ῥήτορες γρά-
-Z//11col1/8	φουσι καὶ εἰς ἐπίδειξίν τε 
-Z//11col1/9	προφέρουσι καὶ εἰς 〈δικαστή-
-Z//11col1/10	ριον, οἷον〉 ἐγκώμια καὶ ψό-
-Z//11col1/11	γους καὶ κατηγορίας 〈καὶ 
-Z//11col1/12	ἀπολογίας〉 .... τὸ δὴ τοι-
-Z//11col1/13	οῦτον εἶδός ἐστι ῥητορικόν. 
-Z//11col1/14	τρίτη δὲ διαίρεσις λόγου, ὃν 
-Z//11col1/15	οἱ ἰδιῶται διαλέγονται πρὸς 
-Z//11col1/16	ἀλλήλους· οὗτος δὴ ὁ τρό-
-Z//11col1/17	πος προσαγορεύεται ἰδιωτικός. 
-Z//11col1/18	ἑτέρα δὲ διαίρεσις λόγου, ὃν 
-Z//11col1/19	οἱ κατὰ βραχὺ ἐρωτῶντες καὶ 
-Z//11col1/20	ἀποκρινόμενοι τοῖς ἐρωτῶσι 
-Z//11col1/21	διαλέγονται· οὗτος δὲ καλεῖ-
-Z//11col1/22	ται ὁ λόγος διαλεκτικός. πέμ-
-Z//11col1/23	πτη δὲ διαίρεσις λόγου, ὃν 
-Z//11col1/24	οἱ τεχνῖται περὶ τῆς ἑαυτῶν  
-Z//12col1/1	διαλέγονται τέχνης· ὃς δὴ 
-Z//12col1/2	καλεῖται τεχνικός. τοῦ λόγου 
-Z//12col1/3	ἄρα τὸ μέν ἐστι πολιτικόν, 
-Z//12col1/4	τὸ δὲ ῥητορικόν, τὸ δὲ ἰδιω-
-Z//12col1/5	τικόν, τὸ δὲ διαλεκτικόν, τὸ 
-Z//12col1/6	δὲ τεχνικόν. 
-Z//12col1/7	9. 
-Z//12col1/8	  ἡ μουσικὴ εἰς τρία διαι-
-Z//12col1/9	ρεῖται· ἔστι γὰρ ἡ μὲν διὰ 
-Z//12col1/10	τοῦ στόματος μόνον, οἷον ἡ 
-Z//12col1/11	ᾠδή· δεύτερον δὲ διὰ τοῦ 
-Z//12col1/12	στόματος καὶ τῶν χειρῶν, οἷον 
-Z//12col1/13	ἡ κιθαρῳδία· τρίτον ἀπὸ τῶν 
-Z//12col1/14	χειρῶν μόνον, οἷον ἡ κιθα-
-Z//12col1/15	ριστική. τῆς ἄρα μουσικῆς 
-Z//12col1/16	ἔστι τὸ μὲν ἀπὸ τοῦ στόμα-
-Z//12col1/17	τος μόνον, τὸ δὲ ἀπὸ τοῦ 
-Z//12col1/18	στόματος καὶ τῶν χειρῶν, τὸ 
-Z//12col1/19	δὲ ἀπὸ τῶν χειρῶν. 
-Z//12col1/21	10. 
-Z//12col1/22	  διαιρεῖται δὲ ἡ εὐγένεια 
-Z//12col1/23	εἰς εἴδη τέτταρα. ἓν μέν, ἐὰν 
-Z//12col1/24	ὦσιν οἱ πρόγονοι καλοὶ κἀγα-
-Z//12col1/25	θοὶ καὶ δίκαιοι, τοὺς ἐκ τού- 
-Z//13col1/1	των γεγεννημένους εὐγενεῖς 
-Z//13col1/2	φασιν εἶναι· ἄλλο δέ, ἐὰν 
-Z//13col1/3	ὦσιν οἱ πρόγονοι δεδυναστευ-
-Z//13col1/4	κότες καὶ ἄρχοντες γεγενη-
-Z//13col1/5	μένοι, τοὺς ἐκ τούτων εὐγε-
-Z//13col1/6	νεῖς φασιν εἶναι. ἄλλο δέ, 
-Z//13col1/7	ἐὰν ὦσιν οἱ πρόγονοι ὀνο-
-Z//13col1/8	μαστοί, οἷον ἀπὸ στρατηγίας, 
-Z//13col1/9	ἀπὸ στεφανιτῶν ἀγώνων· καὶ 
-Z//13col1/10	γὰρ τοὺς ἐκ τούτων γεγεννη-
-Z//13col1/11	μένους εὐγενεῖς προσαγορεύο-
-Z//13col1/12	μεν. ἄλλο εἶδος, ἐὰν αὐτός 
-Z//13col1/13	τις ᾖ γεννάδας τὴν ψυχὴν 
-Z//13col1/14	καὶ μεγαλόψυχος, καὶ τοῦτον 
-Z//13col1/15	εὐγενῆ φασὶν εἶναι· καὶ τῆς 
-Z//13col1/16	γε εὐγενείας αὕτη κρατίστη. 
-Z//13col1/17	τῆς ἄρα εὐγενείας τὸ μὲν ἀπὸ 
-Z//13col1/18	προγόνων ἐπιεικῶν, τὸ δὲ δυ-
-Z//13col1/19	ναστῶν, τὸ δὲ ἐνδόξων, τὸ δὲ 
-Z//13col1/20	ἀπὸ τῆς αὐτοῦ καλοκἀγαθίας.  
-Z//14col1/1	11. 
-Z//14col1/2	  τὸ κάλλος διαιρεῖται εἰς 
-Z//14col1/3	τρία· ἓν μὲν γὰρ αὐτοῦ ἐστιν 
-Z//14col1/4	ἐπαινετόν, οἷον ἡ διὰ τῆς 
-Z//14col1/5	ὄψεως εὐμορφία· ἄλλο δὲ 
-Z//14col1/6	χρηστικόν, οἷον ὄργανον καὶ 
-Z//14col1/7	οἰκία καὶ τὰ τοιαῦτα πρὸς 
-Z//14col1/8	χρῆσίν ἐστι καλά· τὰ δὲ πρὸς 
-Z//14col1/9	νόμους καὶ ἐπιτηδεύματα καὶ 
-Z//14col1/10	τὰ τοιαῦτα πρὸς ὠφέλειάν 
-Z//14col1/11	ἐστι καλά. τοῦ ἄρα κάλλους 
-Z//14col1/12	τὸ μέν ἐστι πρὸς ἔπαινον, 
-Z//14col1/13	τὸ δὲ πρὸς χρῆσιν, τὸ δὲ 
-Z//14col1/14	πρὸς ὠφέλειαν.  
-Z//15col1/1	12. 
-Z//15col1/2	  ἡ ψυχὴ διαιρεῖται εἰς 
-Z//15col1/3	τρία· τὸ μὲν γὰρ αὐτῆς ἐστι 
-Z//15col1/4	λογιστικόν, τὸ δὲ ἐπιθυμητι-
-Z//15col1/5	κόν, τὸ δὲ θυμικόν. τούτων 
-Z//15col1/6	δὲ τὸ μὲν λογιστικόν ἐστιν 
-Z//15col1/7	αἴτιον τοῦ βουλεύεσθαί τε 
-Z//15col1/8	καὶ λογίζεσθαι καὶ διανοεῖ-
-Z//15col1/9	σθαι καὶ τῶν τοιούτων πάν-
-Z//15col1/10	των· τὸ δὲ ἐπιθυμητικὸν μέ-
-Z//15col1/11	ρος τῆς ψυχῆς ἐστιν αἴτιον 
-Z//15col1/12	τοῦ ἐπιθυμεῖν φαγεῖν καὶ  
-Z//16col1/1	τοῦ πλησιάσαι καὶ τῶν τοι-
-Z//16col1/2	ούτων πάντων. τὸ δὲ θυ-
-Z//16col1/3	μικὸν μέρος αἴτιόν ἐστι τοῦ 
-Z//16col1/4	θαρρεῖν καὶ ἥδεσθαι καὶ λυ-
-Z//16col1/5	πεῖσθαι καὶ ὀργίζεσθαι. τῆς 
-Z//16col1/6	ἄρα ψυχῆς ἐστι τὸ μὲν λο-
-Z//16col1/7	γιστικόν, τὸ δὲ ἐπιθυμητικόν, 
-Z//16col1/8	τὸ δὲ θυμικόν. 
-Z//16col1/9	13. 
-Z//16col1/10	  τῆς τελείας ἀρετῆς εἴδη 
-Z//16col1/11	ἐστὶ τέτταρα· ἓν μὲν φρόνη-
-Z//16col1/12	σις, ἓν δὲ δικαιοσύνη, ἄλλο  
-Z//17col1/1	δ' ἀνδρεία, τέταρτον σωφρο-
-Z//17col1/2	σύνη. τούτων ἡ μὲν φρό-
-Z//17col1/3	νησις αἰτία τοῦ πράττειν ὀρ-
-Z//17col1/4	θῶς τὰ πράγματα· ἡ δὲ δι-
-Z//17col1/5	καιοσύνη τοῦ ἐν ταῖς κοινω-
-Z//17col1/6	νίαις καὶ τοῖς συναλλάγμασι 
-Z//17col1/7	δικαιοπραγεῖν· ἡ δὲ ἀνδρεία 
-Z//17col1/8	τοῦ ἐν τοῖς κινδύνοις καὶ φο-
-Z//17col1/9	βεροῖς μὴ [ἐξίστασθαι] τρεῖν, 
-Z//17col1/10	ἀλλὰ μένειν· ἡ δὲ σωφρο-
-Z//17col1/11	σύνη τοῦ κρατεῖν τῶν ἐπι-
-Z//17col1/12	θυμιῶν καὶ ὑπὸ μηδεμιᾶς 
-Z//17col1/13	ἡδονῆς δουλοῦσθαι, ἀλλὰ 
-Z//17col1/14	κοσμίως ζῆν. τῆς ἀρετῆς ἄρα 
-Z//17col1/15	τὸ μέν ἐστι φρόνησις, ἄλλο 
-Z//17col1/16	δικαιοσύνη, τρίτον ἀνδρεία, 
-Z//17col1/17	τέταρτον σωφροσύνη. 
-Z//17col1/18	14. 
-Z//17col1/19	  ἡ ἀρχὴ διαιρεῖται εἰς μέρη 
-Z//17col1/20	πέντε· ἓν μὲν εἰς τὸ κατὰ 
-Z//17col1/21	νόμον, ἓν δὲ εἰς τὸ κατὰ φύ- 
-Z//18col1/1	σιν, ἓν δὲ εἰς τὸ κατὰ ἔθος, 
-Z//18col1/2	τέταρτον δὲ εἰς τὸ κατὰ γέ-
-Z//18col1/3	νος, πέμπτον δὲ εἰς τὸ κατὰ 
-Z//18col1/4	βίαν. οἱ μὲν οὖν ἐν ταῖς 
-Z//18col1/5	πόλεσιν ἄρχοντες ὑπὸ τῶν 
-Z//18col1/6	πολιτῶν ἐπὰν αἱρεθῶσι, κατὰ 
-Z//18col1/7	νόμον ἄρχουσιν· οἱ δὲ κατὰ 
-Z//18col1/8	φύσιν, οἷ〈ον οἱ〉 ἄρσενες, οὐ 
-Z//18col1/9	μόνον ἐν τοῖς ἀνθρώποις, 
-Z//18col1/10	ἀλλὰ καὶ ἐν τοῖς ἄλλοις ζῴοις· 
-Z//18col1/11	ἐπὶ πολὺ γὰρ πανταχοῦ τὰ 
-Z//18col1/12	ἄρσενα τῶν θηλειῶν ἄρχει· 
-Z//18col1/13	ἡ δὲ τοῦ κατὰ ἔθος ἀρχὴ 
-Z//18col1/14	τοιαύτη ἐστίν, οἵαν οἱ παιδα-
-Z//18col1/15	γωγοὶ τῶν παίδων ἄρχουσι 
-Z//18col1/16	καὶ οἱ διδάσκαλοι τῶν φοι-
-Z//18col1/17	τώντων. κατὰ γένος δὲ ἀρχὴ 
-Z//18col1/18	τοιαύτη τις λέγεται, οἵαν οἱ 
-Z//18col1/19	Λακεδαιμόνιοι βασιλεῖς ἄρ-
-Z//18col1/20	χουσιν· ἀπὸ γὰρ γένους τινὸς 
-Z//18col1/21	ἡ βασιλεία. καὶ ἐν Μακε-
-Z//18col1/22	δονίᾳ δὲ τὸν αὐτὸν τρόπον 
-Z//18col1/23	ἄρχουσι· καὶ γὰρ ἐκεῖ ἀπὸ 
-Z//18col1/24	γένους ἡ βασιλεία καθίστα-
-Z//18col1/25	ται. οἱ δὲ βιασάμενοι ἢ παρα-
-Z//18col1/26	κρουσάμενοι ἄρχουσιν ἀκόν-
-Z//18col1/27	των τῶν πολιτῶν, ἡ τοιαύτη 
-Z//18col1/28	ἀρχὴ κατὰ βίαν λέγεται εἶναι.  
-Z//19col1/1	τῆς ἀρχῆς ἄρα ἐστὶ τὸ μὲν 
-Z//19col1/2	κατὰ νόμον, τὸ δὲ κατὰ φύ-
-Z//19col1/3	σιν, τὸ δὲ κατὰ ἔθος, τὸ δὲ 
-Z//19col1/4	κατὰ γένος, τὸ δὲ κατὰ βίαν. 
-Z//19col1/18	15. 
-Z//19col1/19	  τῆς ῥητορείας εἴδη ἐστὶν 
-Z//19col1/20	ἕξ. ὅταν μὲν γὰρ κελεύωσι 
-Z//19col1/21	πολεμεῖν ἢ συμμαχεῖν πρός  
-Z//20col1/1	τινα, καλεῖται τὸ τοιοῦτον 
-Z//20col1/2	εἶδος προτροπή· ὅταν δὲ 
-Z//20col1/3	ἀξιῶσι μὴ πολεμεῖν μηδὲ συμ-
-Z//20col1/4	μαχεῖν, ἀλλὰ ἡσυχίαν ἄγειν, 
-Z//20col1/5	τὸ τοιοῦτον εἶδος ἀποτροπή 
-Z//20col1/6	ἐστι. τρίτον εἶδος τῆς ῥη-
-Z//20col1/7	τορείας, ὅταν τις φάσκῃ ἀδι-
-Z//20col1/8	κεῖσθαι ὑπό τινος καὶ πολ-
-Z//20col1/9	λῶν κακῶν αἴτιον ἀποφαίνῃ· 
-Z//20col1/10	τὸ δὴ τοιοῦτον εἶδος κατ-
-Z//20col1/11	ηγορία ὀνομάζεται. τέταρτον 
-Z//20col1/12	εἶδος τῆς ῥητορείας [ἀπολο-
-Z//20col1/13	γία καλεῖται], ὅταν ἀποφαίνῃ 
-Z//20col1/14	τις αὑτὸν μηθὲν ἀδικοῦντα 
-Z//20col1/15	μήτε ἄλλο ἄτοπον μηθὲν 
-Z//20col1/16	πράττοντα· τὸ δὴ τοιοῦτον 
-Z//20col1/17	ἀπολογίαν καλοῦσι. πέμπτον 
-Z//20col1/18	εἶδος ῥητορείας, ὅταν τις εὖ 
-Z//20col1/19	λέγῃ καὶ ἀποφαίνῃ καλὸν 
-Z//20col1/20	κἀγαθόν· τὸ δὴ τοιοῦτον 
-Z//20col1/21	εἶδος καλεῖται ἐγκώμιον. ἕκ-
-Z//20col1/22	τον εἶδος, ὅταν τις ἀποφαίνῃ  
-Z//21col1/1	φαῦλον· τὸ δὴ τοιοῦτον εἶδος 
-Z//21col1/2	καλεῖται ψόγος. τῆς ἄρα ῥη-
-Z//21col1/3	τορείας ἐστὶ τὸ μὲν ἐγκώμιον, 
-Z//21col1/4	τὸ δὲ ψόγος, τὸ δὲ προτροπή, 
-Z//21col1/5	τὸ δὲ ἀποτροπή, τὸ δὲ κατ-
-Z//21col1/6	ηγορία, τὸ δὲ ἀπολογία. 
-Z//21col1/7	16. 
-Z//21col1/8	  τὸ ὀρθῶς λέγειν διαιρεῖ-
-Z//21col1/9	ται εἰς τέτταρα· ἓν μὲν ἃ 
-Z//21col1/10	δεῖ λέγειν, ἓν δὲ ὅσα δεῖ λέ-
-Z//21col1/11	γειν, τρίτον πρὸς οὓς δεῖ 
-Z//21col1/12	λέγειν, τέταρτον δὲ πηνίκα 
-Z//21col1/13	λέγειν δεῖ. ἃ μὲν οὖν δεῖ 
-Z//21col1/14	λέγειν, ἃ μέλλει συμφέρειν 
-Z//21col1/15	τῷ λέγοντι καὶ τῷ ἀκούοντι· 
-Z//21col1/16	τὸ δὲ ὅσα δεῖ λέγειν, μὴ 
-Z//21col1/17	πλείω μηδὲ ἐλάττω τῶν ἱκα-
-Z//21col1/18	νῶν. τὸ δὲ πρὸς οὓς δεῖ 
-Z//21col1/19	λέγειν, ἐάν τε πρὸς πρεσβυ-
-Z//21col1/20	τέρους ἁμαρτάνοντας διαλέγῃ,  
-Z//22col1/1	ἁρμόττοντας δεῖ τοὺς λόγους 
-Z//22col1/2	διαλέγεσθαι ὡς πρεσβυτέροις· 
-Z//22col1/3	ἐάν τε πρὸς νεωτέρους, ἁρ-
-Z//22col1/4	μόττοντας δεῖ λέγεσθαι ὡς 
-Z//22col1/5	νεωτέροις. πηνίκα δὲ λέγειν 
-Z//22col1/6	ἐστὶ μήτε πρότερον μήτε 
-Z//22col1/7	ὕστερον· εἰ δὲ μή, διαμαρ-
-Z//22col1/8	τήσεσθαι καὶ κακῶς ἐρεῖν. 
-Z//22col1/14	17. 
-Z//22col1/15	  ἡ εὐεργεσία διαιρεῖται εἰς 
-Z//22col1/16	τέτταρα· ἢ γὰρ χρήμασιν ἢ 
-Z//22col1/17	σώμασιν ἢ ταῖς ἐπιστήμαις 
-Z//22col1/18	ἢ τοῖς λόγοις. τοῖς μὲν οὖν 
-Z//22col1/19	χρήμασιν, ὅταν δεομένῳ παρα-
-Z//22col1/20	βοηθήσῃ τις εἰς χρημάτων  
-Z//23col1/1	λόγον εὐπορῆσαι· τοῖς δὲ 
-Z//23col1/2	σώμασιν εὖ ποιοῦσιν ἄλλους, 
-Z//23col1/3	ὅταν παραγενόμενοι τυπτο-
-Z//23col1/4	μένοις παραβοηθῶσιν· οἱ 
-Z//23col1/5	δὲ παιδεύοντες καὶ ἰατρεύ-
-Z//23col1/6	οντες καὶ διδάσκοντες ἀγα-
-Z//23col1/7	θόν τι, οὗτοι ταῖς ἐπιστή-
-Z//23col1/8	μαις εὐεργετοῦσιν· ὅταν δὲ 
-Z//23col1/9	εἰσέλθωσιν εἰς δικαστήριον 
-Z//23col1/10	ἄλλος ὑπὲρ ἄλλου βοηθὸς 
-Z//23col1/11	καὶ λόγον τινὰ ἐπιεικῆ εἴπῃ 
-Z//23col1/12	ὑπὲρ αὐτοῦ, οὗτος δὴ λόγῳ 
[0086]  [048]  [Divis]  []

