
[0057]  [009]  []  []

-Z/1/509/t1	    {ΓΑΛΗΝΟΥ ΠΕΡΙ ΚΡΑΣΕΩΝ} 
-Z/1/511/17	  Ὅσοι δὲ τέτταρας εἶναι νομίζουσι, διχῶς τούτοις ἀντι-
-Z/1/511/18	λέγουσιν, ἔνιοι μὲν εὐθὺς τὸ πρῶτον ἀξίωμα μὴ συγχωροῦντες, 
-Z/1/512/1	ὡς ἐξικμάζεσθαι τὴν ὑγρότητα | πρὸς τοῦ θερμοῦ κρατοῦντος 
-Z/1/512/2	ἀναγκαῖόν ἐστιν, ἔνιοι δὲ τοῦτο μὲν συγχωροῦντες, ἀμφι-
-Z/1/512/3	σβητοῦντες δ' ἑτέρως. οἱ μὲν δὴ πρῶτοι τοῦ θερμοῦ μὲν 
-Z/1/512/4	ἔργον εἶναί φασι τὸ θερμαίνειν ὥσπερ τοῦ ψυχροῦ τὸ ψύχειν, 
-Z/1/512/5	τοῦ ξηροῦ δ' αὖ τὸ ξηραίνειν ὥσπερ τοῦ ὑγροῦ τὸ ὑγραίνειν.  
-Z/1/512/6	καὶ διὰ τοῦθ' ὅσα μὲν σώματα θερμὰ τὴν φύσιν ἐστὶν ἅμα 
-Z/1/512/7	καὶ ξηρὰ καθάπερ τὸ πῦρ, ᾗ μὲν θερμά, θερμαίνειν, ᾗ δὲ 
-Z/1/512/8	ξηρά, ξηραίνειν. ὅσα δ' ὑγρὰ καὶ θερμὰ καθάπερ ὕδωρ 
-Z/1/512/9	θερμόν, ὑγραίνειν ταῦτα καὶ θερμαίνειν [πέφυκεν ἀεὶ], ἓν 
-Z/1/512/10	ἑκατέρας κἀνταῦθα ποιότητος ἔργον ἐχούσης ἀχώριστον. 
-Z/1/512/11	οὔκουν συγχωροῦσιν, εἴ τι θερμόν [ἐστιν], εὐθὺς τοῦτο καὶ 
-Z/1/512/12	ξηραίνειν, ἀλλ' εἰ μὲν ὑγρότης προσείη τῇ θερμότητι, θερ-
-Z/1/512/13	μαίνειν ἅμα καὶ ὑγραίνειν ὥσπερ τὰ λουτρὰ τῶν γλυκέων 
-Z/1/512/14	ὑδάτων. εἰ δ' ὥσπερ θερμὸν οὕτω καὶ ξηρὸν εἴη καθάπερ 
-Z/1/512/15	τὸ πῦρ, οὐ θερμαίνειν μόνον, ἀλλὰ καὶ ξηραίνειν εὐθύς, 
-Z/1/512/16	οὐκ ἐκ τῆς θερμότητος τοῦτο λαβόν, ἀλλ' ἐκ τῆς συνούσης 
-Z/1/512/17	αὐτῷ ξηρότητος. ὑπομιμνήσκουσι δ' ἐνταῦθα τῶν ἐν ἡλίῳ 
-Z/1/513/1	θερινῷ διατριψάντων ἐπὶ πλέον, εἶθ', ὡς εἰκός, | αὐανθέν-
-Z/1/513/2	των ὅλον τε τὸ σῶμα καὶ ξηρὸν καὶ αὐχμηρὸν ἐχόντων καὶ 
-Z/1/513/3	διψώντων οὐκ ἀνεκτῶς. ἴασιν γὰρ αὐτοῖς εἶναί φασιν ἑτοί-
-Z/1/513/4	μην τε καὶ ῥᾴστην, οὐκ εἰ πίοιεν μόνον, ἀλλ' εἰ καὶ λού-
-Z/1/513/5	σαιντο θερμοῖς ὕδασι γλυκέσιν, ὡς τῆς ὑγρότητος, εἴτε μετὰ 
-Z/1/513/6	ψυχρότητος εἴτε μετὰ θερμότητος εἴη, τὸ ἑαυτῆς ἀεὶ δρᾶν 
-Z/1/513/7	δυναμένης, ὑγραίνειν τὰ πλησιάζοντα. κατὰ δὲ τὸν αὐτὸν 
-Z/1/513/8	λόγον φασὶ καὶ τὴν ξηρότητα ξηραίνειν ἀεί. τὸν γοῦν βορ-
-Z/1/513/9	ρᾶν ξηρὸν καὶ ψυχρὸν ἄνεμον ὑπάρχοντα ξηραίνειν ἅπαντα. 
-Z/1/513/10	καὶ τοῦτ' εἶναι τὸ πρὸς Ὁμήρου λεγόμενον 
-Z/1/513/11	    Ὡς δ' ὅτ' ὀπωρινὸς Βορέης νεοαρδέ' ἀλωὴν 
-Z/1/513/12	    Αἶψα ξηραίνει. 
-Z/1/513/13	  Κατὰ δὲ τὸν αὐτὸν τρόπον καὶ τὸν τῆς μήκωνος ὀπὸν 
-Z/1/513/14	καὶ ἄλλα μυρία φάρμακα ξηραίνειν ἅμα καὶ ψύχειν. ὥστ'  
-Z/1/513/15	οὐκ ἀναγκαῖον, οὔτ', εἴ τι ψυχρόν, εὐθὺς τοῦτο καὶ ὑγρὸν 
-Z/1/513/16	ὑπάρχειν, οὔτ', εἴ τι θερμόν, εὐθὺς καὶ ξηρόν. οὔκουν | 
-Z/1/514/1	οὐδὲ τὴν θερμὴν κρᾶσιν ἐξ ἀνάγκης εἶναι καὶ ξηράν, ἀλλὰ 
-Z/1/514/2	δύνασθαί ποτε τὸ μὲν θερμὸν τοῦ ψυχροῦ πλεονεκτεῖν ἐν 
-Z/1/514/3	τῇ κράσει τοῦ ζῴου, τὸ δ' ὑγρὸν τοῦ ξηροῦ. καὶ γὰρ δὴ 
-Z/1/514/4	καὶ τὴν γένεσιν καὶ τὴν ἀλλοίωσιν καὶ τὴν μεταβολὴν ἐκ 
-Z/1/514/5	τῶν ἐναντίων εἰς τὰ ἐναντία γίγνεσθαι. τίς γοῦν εἰπών, 
-Z/1/514/6	ὅτι τὸ λευκὸν ἠλλοιώθη τε καὶ μετέβαλεν, ἐγένετο γὰρ θερ-
-Z/1/514/7	μόν, οὐκ ἂν εἴη καταγέλαστος; ἐπιζητεῖ γὰρ ὁ λόγος οὐ τὴν 
[0057]  [009]  []  []

-Z/1/514/8	κατὰ τὸ θερμὸν καὶ τὸ ψυχρὸν ἀντίθεσιν, ἀλλὰ τὴν κατὰ 
-Z/1/514/9	τὸ χρῶμα· μεταβάλλει γὰρ τὸ μὲν λευκὸν εἰς τὸ μέλαν, 
-Z/1/514/10	ὥσπερ γε καὶ τὸ μέλαν εἰς τὸ λευκόν, τὸ δὲ θερμὸν εἰς τὸ 
-Z/1/514/11	ψυχρόν, ὥσπερ αὖ καὶ τὸ ψυχρὸν εἰς τὸ θερμόν· οὕτω δὲ 
-Z/1/514/12	καὶ τὸ μὲν ὑγρὸν εἰς τὸ ξηρόν, τὸ δ' αὖ ξηρὸν εἰς τὸ ὑγρόν. 
-Z/1/514/13	εἰ γὰρ δὴ φάσκοι τις ἠλλοιῶσθαι τὸ σῶμα τῷ τέως ὑγρὸν 
-Z/1/514/14	ὑπάρχον εἶναι τανῦν λευκὸν ἢ τῷ τέως ξηρὸν ὂν τανῦν 
-Z/1/514/15	φαίνεσθαι μέλαν, οὐκ ἂν ὑγιαίνειν δόξειεν. εἰ δέ γε τὸ 
-Z/1/514/16	τέως ὑγρὸν νῦν ξηρὸν φαίη γεγονέναι ἢ τὸ πρότερον ὑπάρχον 
-Z/1/515/1	μέλαν νῦν εἶναι λευκὸν ἢ | ἐκ θερμοῦ ψυχρὸν ἢ ἐκ ψυχροῦ 
-Z/1/515/2	θερμὸν γεγονέναι, σωφρονεῖν τ' ἂν δόξειεν ὁ τοιοῦτος καὶ 
-Z/1/515/3	λέγειν τὰ εἰκότα. τὸ γὰρ μεταβάλλον, ᾗ μεταβάλλει, ταύτῃ 
-Z/1/515/4	μεταχωρεῖν δεῖ πρὸς τοὐναντίον. ἐγένετο γοῦν ἢ γίγνεται 
-Z/1/515/5	μουσικὸς ὅδε, φαμέν, ἐξ οὐ μουσικοῦ δηλονότι, καὶ γραμ-
-Z/1/515/6	ματικὸς ἐξ οὐ γραμματικοῦ καὶ ῥητορικὸς ἐξ οὐ ῥητορικοῦ· 
-Z/1/515/7	τὸ δ' ἐκ μουσικοῦ γραμματικὸν ἢ ἐκ γραμματικοῦ μουσικὸν 
-Z/1/515/8	ἢ ἐξ ἄλλου τινὸς τῶν ἑτερογενῶν γίγνεσθαί τι λέγειν ἄτοπον.  
-Z/1/515/9	ἐγχωρεῖ γὰρ τὸν τέως γραμματικὸν νῦν μουσικὸν εἶναι 
-Z/1/515/10	προσκτησάμενον τῇ γραμματικῇ τὴν μουσικήν, οὐκ ἀπο-
-Z/1/515/11	βαλόντα τὴν γραμματικήν. καὶ μὴν εἰ προσεκτήσατό τι 
-Z/1/515/12	παραμένοντος τοῦ προτέρου, παντί που δῆλον, ὡς οὐκ ἠλ-
-Z/1/515/13	λοιώθη κατὰ τὸ μένον· ὥστ' οὐκ ἐκ γραμματικοῦ μουσικὸς 
-Z/1/515/14	ἐγένετο· καὶ γὰρ καὶ νῦν ἔτι γραμματικός ἐστιν· ἀλλ' ἐξ 
-Z/1/515/15	ἀμούσου μουσικός· οὐ γὰρ ἔτ' ἐγχωρεῖ μένειν αὐτὸν ἄμου-
-Z/1/515/16	σον μουσικὸν ἤδη γεγονότα. πασῶν οὖν τῶν μεταβολῶν 
-Z/1/515/17	ὑπὸ τῶν ἐναντίων τε κἀκ τῶν ἐναντίων εἰς τὰ ἐναντία 
-Z/1/516/1	γιγνομένων δηλονότι καὶ τὸ ὑγρόν, | εἰ μεταβάλλοι ποτέ, 
-Z/1/516/2	καθ' ὅσον ὑγρόν, αὐτό τε ξηρανθήσεται καὶ τὸ ξηραῖνον 
-Z/1/516/3	αὐτὸ ξηρὸν λεχθήσεται. 
-Z/1/516/4	  Μὴ τοίνυν λεγέτωσαν, φασίν, ὡς θερμὴν ἅμα καὶ ὑγρὰν 
-Z/1/516/5	κρᾶσιν οὐκ ἐγχωρεῖ γενέσθαι. θερμὴν μὲν γὰρ ἅμα καὶ 
-Z/1/516/6	ψυχρὰν εἶναι τὴν αὐτὴν ἢ ὑγρὰν ἅμα καὶ ξηρὰν οὐκ ἐγ-
-Z/1/516/7	χωρεῖ· συνυπάρχειν γὰρ ἀλλήλαις οὐχ οἷόν τε καθ' ἓν καὶ 
-Z/1/516/8	ταὐτὸν σῶμα τὰς ἐναντίας ποιότητας· ἅμα δ' ὑγρόν τι καὶ 
-Z/1/516/9	θερμὸν καὶ ψυχρὸν ἅμα καὶ ξηρὸν εἶναι δυνατόν, ὡς ὅ τε 
-Z/1/516/10	λόγος ἀπέδειξε καὶ τὰ μικρῷ πρόσθεν εἰρημένα παραδείγματα. 
-Z/1/516/11	τοιοῦτος μὲν ὁ τῶν προτέρων λόγος. ὁ δὲ τῶν δευτέρων 
-Z/1/516/12	οὐδὲν ἄτοπον εἶναί φησιν, ὑποκειμένου τοῦ θερμοῦ δραστι-
-Z/1/516/13	κωτάτου τῶν τεττάρων, ὡς μὴ μόνον εἰς τὸ ψυχρὸν ἀλλὰ 
-Z/1/516/14	καὶ εἰς τὸ ὑγρὸν ἐνεργεῖν, εἶναι κρᾶσιν ὑγρὰν καὶ θερμήν, 
-Z/1/516/15	ὅταν εἰς ταὐτὸν ἅμα συνέλθῃ πλῆθος ὑγρότητός τε καὶ 
-Z/1/516/16	θερμότητος εὐθὺς ἐν τῇ πρώτῃ γενέσει τοῦ ζῴου. ὁ δέ γ' 
-Z/1/517/1	ἐκείνων λόγος οὐχ ὡς οὐκ ἄν ποτε γένοιτο καθ' ἓν | καὶ 
-Z/1/517/2	ταὐτὸν σῶμα τὸ μὲν ὑγρὸν τοῦ ξηροῦ πλέον, τὸ δὲ θερμὸν 
-Z/1/517/3	τοῦ ψυχροῦ δείκνυσιν, ἀλλ' ὡς οὐκ ἂν διαμείναι τοιοῦτον 
-Z/1/517/4	ἄχρι παντός· ἀεὶ γὰρ ἐξικμαζόμενον ὑπὸ τοῦ θερμοῦ τὸ  
-Z/1/517/5	ὑγρὸν ἐν τῷ χρόνῳ ξηρὸν ἀποδείξει τὸ σῶμα καὶ οὕτως 
-Z/1/517/6	οὐκ ἂν ἔτι θερμὸν καὶ ὑγρόν, ἀλλὰ θερμὸν εἴη καὶ ξηρόν· 
-Z/1/517/7	αὐτὸ δ' αὖ πάλιν τοῦτο τὸ θερμὸν καὶ τὸ ξηρὸν ἐπὶ προ-
-Z/1/517/8	ήκοντι τῷ χρόνῳ ψυχρὸν ἔσται καὶ ξηρόν. ἐπειδὰν γὰρ 
-Z/1/517/9	ἐκβοσκήσηται τὴν ἰκμάδα πᾶσαν αὐτοῦ τὸ θερμόν, ἄρχεσθαι 
-Z/1/517/10	τοὐντεῦθεν ἤδη φασὶ καὶ αὐτὸ μαραίνεσθαι μηκέτ' εὐποροῦν 
-Z/1/517/11	τροφῆς, ὅθεν ἐξήπτετο. θαυμαστὸν οὖν οὐδὲν εἶναι νομί-
-Z/1/517/12	ζουσι καὶ κατ' ἀρχὰς εὐθὺς ἐν τῇ πρώτῃ γενέσει τοῦ ζῴου 
-Z/1/517/13	συνδραμεῖν εἰς ταὐτὸν ἢ τὸ ὑγρὸν τοῦ ξηροῦ πλέον ἢ τὸ 
-Z/1/517/14	θερμὸν τοῦ ψυχροῦ. δυνατὸν δὲ κἀν τῷ χρόνῳ προϊόντι 
-Z/1/517/15	γενέσθαι τὴν τέως ὑγρὰν καὶ θερμὴν κρᾶσιν αὖθις ξηρὰν 
-Z/1/517/16	καὶ θερμήν, ὥσπερ αὖ πάλιν τὴν ξηρὰν καὶ θερμὴν ἀπο-
-Z/1/517/17	σβεννυμένου τοῦ θερμοῦ ψυχρὰν καὶ ξηρὰν ἀποτελεσθῆναι. 
-Z/1/517/18	  Ὅτι μὲν οὖν ἐγχωρεῖ θερμὴν ἅμα καὶ ὑγρὰν εἶναί τινα 
-Z/1/518/1	καὶ ψυχρὰν | καὶ ξηρὰν ἑτέραν τῆσδε κρᾶσιν, ἐκ τούτων 
-Z/1/518/2	ἐπιδεικνύουσιν. ὅτι δὲ πλείους τῶν τεττάρων διαφορὰς κρά-
-Z/1/518/3	σεων ἀδύνατον ὑπάρχειν, ἐκ τῶνδε πειρῶνται διδάσκειν. 
-Z/1/518/4	ὑποκειμένων γάρ, φασί, τεττάρων ποιοτήτων εἰς ἀλλήλας τὸ 
-Z/1/518/5	δρᾶν τε καὶ πάσχειν ἐχουσῶν, θερμότητός τε καὶ ψυχρότητος 
-Z/1/518/6	καὶ ξηρότητος καὶ ὑγρότητος, ἀντιθέσεις γίγνεσθαι δύο, τὴν 
-Z/1/518/7	μὲν ἑτέραν, ἐν ᾗ τὸ θερμὸν ἀντίκειται τῷ ψυχρῷ, τὴν δ' 
-Z/1/518/8	ἑτέραν, ἐν ᾗ τὸ ξηρὸν τῷ ὑγρῷ, καὶ διὰ τοῦτο τέτταρας 
-Z/1/518/9	ἀποτελεῖσθαι τὰς πάσας συζυγίας. ἓξ μὲν γὰρ γίγνεσθαι 
-Z/1/518/10	τῶν τεττάρων ἀλλήλαις ἐπιπλεκομένων τὰς συζεύξεις, ἀλλὰ 
-Z/1/518/11	τὰς δύο τούτων ἀδυνάτους ὑπάρχειν. οὔτε γὰρ ὑγρὸν ἅμα 
-Z/1/518/12	καὶ ξηρὸν οὔτε θερμὸν ἅμα καὶ ψυχρὸν δύναται γενέσθαι 
-Z/1/518/13	σῶμα. λείπεται δὴ τέτταρας εἶναι συζυγίας κράσεων, ὑγρὰς  
-Z/1/518/14	μὲν δύο, ξηρὰς δὲ δύο θερμότητι καὶ ψυχρότητι διῃρη-
-Z/1/518/15	μένας. 
-Z/1/518/16	  Ἃ μὲν οὖν οἱ χαριέστατοι τῶν πρὸ ἡμῶν 
-Z/1/518/17	ἰατρῶν τε καὶ φιλοσόφων εἰρήκασι, ταῦτ' ἐστίν. ἃ δ' ἐγὼ 
-Z/1/519/1	παραλιπεῖν αὐτοὺς νομίζω, λέγειν ἤδη καιρός. | ἓν μὲν δὴ καὶ 
-Z/1/519/2	πρῶτον, ὅτι τὴν εὔκρατον, ὥσπερ οὐχ ἁπασῶν τῶν εἰρημένων 
-Z/1/519/3	ἀρετῇ θ' ἅμα καὶ δυνάμει προὔχουσαν, ἐπελάθοντό τε καὶ 
-Z/1/519/4	τελέως παρέλιπον, ὥσπερ οὐδ' ὅλως οὖσαν, καίτοι μηδὲ φθέγ-
-Z/1/519/5	ξασθαί τι χωρὶς ἐκείνης ὑπὲρ τῶν ἄλλων δυνάμενοι. τὸ γοῦν 
-Z/1/519/6	ἐν τῇ θερμῇ κράσει πλεονεκτεῖν τὸ θερμὸν ἔν τε τῇ ψυχρᾷ 
-Z/1/519/7	τὸ ψυχρὸν οὐδ' ἐπινοῆσαι δυνατὸν ἄνευ τοῦ προτέραν ὑπο-
-Z/1/519/8	θέσθαι τὴν εὔκρατον. οὐδὲ γὰρ οὐδὲ τὴν ὑγιεινὴν δίαιταν 
-Z/1/519/9	εἰς ἄλλο τι βλέποντες ἐξευρίσκουσιν ἢ εἰς τὴν εὔκρατον 
-Z/1/519/10	ἐκείνην φύσιν, τὸ μὲν θερμότερον τοῦ δέοντος σῶμα κελεύ-
-Z/1/519/11	οντες ἐμψύχειν, τὸ δ' αὖ ψυχρότερον θερμαίνειν, ὡσαύτως 
-Z/1/519/12	τὸ μὲν ὑγρότερον ξηραίνειν, τὸ δὲ ξηρότερον ὑγραίνειν, 
-Z/1/519/13	ἀντεισάγοντες ἀεὶ δηλονότι τῷ πλεονάζοντι τὸ λεῖπον, ὡς 
-Z/1/519/14	εὔκρατόν τινα καὶ μέσην ἐργάσασθαι κατάστασιν. ἣν οὖν 
-Z/1/519/15	ἀεὶ μεταδιώκουσι καὶ πρὸς ἣν ἀποβλέποντες ἐπανορθοῦνται 
-Z/1/519/16	τὰς δυσκράτους, ἐγὼ μὲν ἠξίουν ἁπασῶν πρώτην λέγεσθαι 
-Z/1/519/17	πρὸς αὐτῶν. οἱ δ' ἄρα τοσοῦτον ἀποδέουσι τοῦ μεμνῆσθαι 
-Z/1/520/1	πρώτης, ὥσθ' | ὅλως παραλείπουσιν αὐτήν. ἀλλ' οὐ παρα-
-Z/1/520/2	λέλειπται, φασί τινες ἐξ αὐτῶν, ἐν γὰρ τῇ θερμῇ καὶ ὑγρᾷ 
-Z/1/520/3	περιέχεται. καὶ πῶς οὐχὶ πέντε λέγετε τὰς πάσας εἶναι κρά-
-Z/1/520/4	σεις, ἀλλὰ τέτταρας, εἴπερ τῆς ἀρίστης μέμνησθε; δυοῖν 
-Z/1/520/5	γὰρ θάτερον, ἢ τῶν δυσκράτων ἀνάγκη παραλελεῖφθαι μίαν 
-Z/1/520/6	ἢ τὴν εὔκρατον. ἐγὼ μὲν δὴ σαφῶς οἶδα τὴν εὔκρατον 
-Z/1/520/7	αὐτοὺς παραλιπόντας ἐξ ὧν ἀξιοῦσιν. ἐπειδὰν γὰρ θερμὴν 
-Z/1/520/8	καὶ ξηρὰν ἢ ψυχρὰν καὶ ὑγρὰν ἤ τιν' ἄλλην λέγωσι κρᾶσιν,  
-Z/1/520/9	οὐ τῶν ἄκρων ἡμᾶς ἀκούειν χρῆναι ποιοτήτων, ἀλλὰ κατὰ 
-Z/1/520/10	τὴν πλεονεκτοῦσαν ἀεὶ γίγνεσθαι τὴν προσηγορίαν. 
-Z/1/520/11	  Εἰ δ' οὐ βούλονται τὴν εὔκρατον παραλελεῖφθαι, τῶν 
-Z/1/520/12	ἄλλων τινὰ δειχθήσονται παραλιπόντες. ἔστω γὰρ εὔκρατον 
-Z/1/520/13	εἶναι τὴν ὑγρὰν καὶ θερμήν, ὥσπερ αὐτοὶ βούλονται. 
-Z/1/520/14	παραλελοίπασιν ἄρα τὴν ἀντικειμένην τῇ ψυχρᾷ καὶ ξηρᾷ 
-Z/1/520/15	δυσκρασίᾳ, ἐν ᾗ τὸ ὑγρὸν πλεονεκτεῖ καὶ τὸ θερμόν. ἀλλ' 
-Z/1/520/16	αὐτή, φασίν, ἐστὶν ἥδε. καὶ πῶς ἐνδέχεται καὶ πλεονεκτεῖν 
-Z/1/521/1	ἅμα καὶ μὴ πλεονεκτεῖν τὸ θερμὸν | καὶ κρατεῖσθαι καὶ μὴ 
-Z/1/521/2	κρατεῖσθαι τὸ ψυχρόν; εἰ μὲν γὰρ εὔκρατός ἐστιν, οὐδὲν 
-Z/1/521/3	οὐδενὸς ἀμέτρως ἐπικρατεῖ, εἰ δὲ δύσκρατος, ἀνάγκη πλεο-
-Z/1/521/4	νεκτεῖν τι τῶν ἐκ τῆς ἀντιθέσεως. ἀλλ' αὐτὸ τοῦτο, φασίν, 
-Z/1/521/5	ἴδιόν ἐστι τῆς εὐκράτου τὸ κρατεῖν ἐν αὐτῇ τὸ μὲν θερμὸν 
-Z/1/521/6	τοῦ ψυχροῦ, τὸ δ' ὑγρὸν τοῦ ξηροῦ. κρατήσαντος γὰρ δὴ 
-Z/1/521/7	τοῦ ψυχροῦ μετρίως μέν, οὐκ ἀγαθὴν εἶναι τὴν κρᾶσιν, ἔτι 
-Z/1/521/8	δὲ μᾶλλον, νόσον ἤδη γίγνεσθαι, καθάπερ, εἰ καὶ σφοδρῶς 
-Z/1/521/9	κρατήσειε, θάνατον. οὕτω δὲ κἀπὶ τοῦ ξηροῦ συμπίπτειν 
-Z/1/521/10	ἐν ἀρχῇ μὲν δυσκρασίαν, ἐπὶ πλέον δὲ νόσον, ἐπὶ πλεῖστον 
-Z/1/521/11	δὲ κρατήσαντος θάνατον, ὥσπερ οὐχὶ κἀπὶ τῆς ὑγρᾶς καὶ 
[0057]  [009]  []  []

-Z/1/521/12	θερμῆς ταῦτα συμπίπτοντα. τίς γὰρ οὐκ ἂν ὁμολογήσειεν, 
-Z/1/521/13	ἐπειδὰν μὲν ἐπ' ὀλίγον ἢ τὸ θερμὸν τοῦ ψυχροῦ τύχῃ 
-Z/1/521/14	πλεονεκτῆσαν ἢ τὸ ὑγρὸν τοῦ ξηροῦ, δυσκρασίαν οὕτω 
-Z/1/521/15	γιγνομένην, ἐπειδὰν δ' ἐπὶ πλέον, νόσον, ἐπειδὰν δ' ἐπὶ 
-Z/1/521/16	πλεῖστον, θάνατον; ὁ γὰρ αὐτὸς ἐπ' ἀμφοῖν λόγος. ἢ μηδὲ 
-Z/1/521/17	τὰς ἀμέτρως ὑγρὰς καὶ θερμὰς καταστάσεις αἰτιώμεθα μηδ' 
-Z/1/521/18	ὅσα μεθ' ὑγρότητος ἀμέτρου νοσήματα συνίσταται θερμά, 
-Z/1/522/1	| μηδὲ ταῦθ' ὁμολογῶμεν εἶναι νοσήματα. 
-Z/1/522/2	  Πρὸς δὴ τοὺς τοιούτους λόγους ἀπομαχόμενοί τινες τῶν  
