
[0057]  [025]  []  []

-Z/4/750/t	      {ΓΑΛΗΝΟΥ ΠΕΡΙ ΕΥΕΞΙΑΣ.} 
-Z/4/752/8	ἥκειν, τὸ πασῶν τοῦ σώματος τῶν διαθέσεων ὑπάρχειν 
-Z/4/752/9	ἀσφαλεστάτην. ἀλλ' ἡ τῶν ἀθλητῶν ἢ γυμναστικῶν ἢ ὅπως 
-Z/4/752/10	ἂν ἐθέλῃ τις ὀνομάζειν εὐεξία, διότι μὴ ἁπλῶς ἐστιν εὐεξία 
-Z/4/752/11	ἡ ἀρίστη διάθεσις σώματος, εὐλόγως εἰς ἄκρον ἰοῦσα 
-Z/4/752/12	σφαλερωτάτη γίνεται. ”Διάθεσις γάρ, φησίν, ἀθλητικὴ οὐ 
-Z/4/752/13	φύσει, ἕξις ὑγιεινὴ κρείσσων.“ τῆς μὲν οὖν ὑγιεινῆς ἕξεως 
-Z/4/752/14	ἡ τελειότης εὐεξία ἐστί. τῆς δὲ τῶν ἀθλητῶν διαθέσεως 
-Z/4/752/15	οὐχ ἁπλῶς, ἀλλὰ μετὰ προσθήκης, ὡς εὔμορφος πίθηκος 
-Z/4/752/16	καὶ πῆχυς μέγας καὶ ἄδικος χοῖνιξ καὶ ἀδόκιμος δραχμή. 
-Z/4/753/1	εἴτε γὰρ ὁ πῆχυς μέγας, οὐκέθ' ‖ ἁπλῶς πῆχυς, ἀλλ' ὅλον 
-Z/4/753/2	τοῦτο μέγας πῆχυς, εἴθ' ἡ χοῖνιξ ἄδικος, οὐκέθ' ἁπλῶς 
-Z/4/753/3	χοῖνιξ, ἀλλ' ὅλον τοῦτο χοῖνιξ ἄδικος. ὡσαύτως δὲ κἀπὶ 
-Z/4/753/4	τῶν ἄλλων ἁπάντων τὸ [χωρὶς τῆς προσθήκης] ἁπλῶς 
-Z/4/753/5	ὀνομαζόμενον οὐ τῆς αὐτῆς ἐστι φύσεως τῷ μετὰ προσθήκης 
-Z/4/753/6	λεγομένῳ, ἀλλ' ἐνίοτε τὸ μὲν ἄκρως ἐπαινετόν ἐστι, τὸ δ', 
-Z/4/753/7	εἰ οὕτως ἔτυχε, ψεκτόν, ὥσπερ γε καὶ ἡ τῶν ἀθλητῶν εὐεξία. 
-Z/4/753/8	τοσοῦτον γὰρ ἐνδεῖ τὸ ἐπαινετὸν ἔχειν, ὥστε καὶ ψέγεσθαι  
-Z/4/753/9	δεόντως, οὐχ ὑφ' Ἱπποκράτους μόνον ἢ τῶν ἄλλων ἰατρῶν 
-Z/4/753/10	τῶν παλαιῶν, ἀλλὰ καὶ πρὸς τῶν ἀρίστων φιλοσόφων, 
-Z/4/753/11	ὥσπερ καὶ Πλάτωνος ἐν τῷ τρίτῳ τῆς Πολιτείας τήν τ' 
-Z/4/753/12	ἀχρηστίαν αὐτῆς ἅπασαν εἰς τὰς κατὰ φύσιν ἐνεργείας ἐπι-
-Z/4/753/13	δεικνύντος καὶ ὡς σφαλερὰ πρὸς ὑγίειάν ἐστι διεξιόντος· 
-Z/4/753/14	οὐ γὰρ εὐκρασίαν ἁπλῶς τοῦ σώματος, ἀλλὰ καὶ μέγεθος 
-Z/4/753/15	ὄγκου μεταδιώκοντες, ὃ χωρὶς ἀμέτρου πληρώσεως οὐκ ἂν 
-Z/4/753/16	γένοιτο, οὕτω καὶ σφαλερὰν αὐτὴν ἀπεργάζονται καὶ πρὸς 
-Z/4/753/17	τὰς πολιτικὰς ἐνεργείας ἄχρηστον. ἵνα τοίνυν τῆς ὄντως 
-Z/4/754/1	εὐεξίας εἰς ἀκριβῆ ‖ γνῶσιν ἀφικώμεθα, παραβάλλειν αὐτῇ 
-Z/4/754/2	χρὴ τὴν ὁμώνυμον εὐεξίαν τὴν ἀθλητικὴν καὶ σκέψασθαι, 
-Z/4/754/3	τί ταὐτὸν ἑκατέραις ὑπάρχει τί τ' ἐναντίον. ἡ μὲν δὴ τῶν 
-Z/4/754/4	μορίων ἁπάντων τοῦ σώματος εὐκρασία κοινὸν ἀμφοῖν. 
-Z/4/754/5	οὕτω δὲ καὶ ἡ τῶν ἐνεργειῶν ἀρετὴ καὶ εἴπερ ταῦτα, καὶ 
-Z/4/754/6	ἡ εὐχυμία. ταυτὶ μὲν τὰ κοινά. τὰ δ' ἐναντία συμμετρία 
-Z/4/754/7	μὲν αἵματός τε καὶ τοῦ τῶν στερεῶν σωμάτων ὄγκου παν-
-Z/4/754/8	τὸς ἐν ταῖς ὄντως εὐεξίαις, ἀμετρία δὲ τῶν αὐτῶν τούτων 
-Z/4/754/9	καὶ μάλιστα τοῦ σαρκώδους γένους ἐν ταῖς ἀθλητικαῖς, αἷς 
-Z/4/754/10	ἐξ ἀνάγκης ἕπεται τὸ σφαλερόν, ἐπειδὰν εἰς ἄκρον ἀφίκηται. 
-Z/4/754/11	ὅταν γὰρ ἐσθίωσι μὲν πρὸς ἀνάγκην, πέττῃ δ' ἡ γαστὴρ 
-Z/4/754/12	ἐρρωμένως καὶ ἡ ἀνάδοσις ἐπὶ τῇ πέψει γίνηται ῥᾳδίως 
-Z/4/754/13	αἱμάτωσίς τε καὶ πρόσθεσις καὶ πρόσφυσις καὶ θρέψις 
-Z/4/754/14	ἕπηται τοῖσδε, κίνδυνος ὑπερπληρωθῆναι τὴν ἕξιν, ὡς  
-Z/4/754/15	μηκέτ' εἶναι τῇ φύσει χώραν προσθέσεως κἀν τῷδε πλη-
-Z/4/754/16	ροῦνται μὲν αἵματος αἱ φλέβες ἀμέτρως, καταπνίγεται δὲ 
-Z/4/755/1	καὶ σβέννυται τὸ ἔμφυτον θερμὸν ἀποροῦν τῆς ‖ διαπνοῆς. 
-Z/4/755/2	εἴπερ δ' ἔτ' ἀντέχει τοῦτο, ῥήγνυταί τι τῶν ἐπικαίρων 
-Z/4/755/3	ἀγγείων, ἃ δὴ καθ' ἧπάρ τε καὶ πνεύμονα καὶ θώρακα 
-Z/4/755/4	τέτακται. καὶ γὰρ δὴ καὶ μαλακώτερα τοῖς χιτῶσι τῶν ἐν 
-Z/4/755/5	τοῖς κώλοις ὑπάρχει ταῦτα καὶ πρότερα τὴν τροφὴν δέχεται 
-Z/4/755/6	καὶ διὰ τὸ πλῆθος τῆς ἐν αὐτοῖς φυσικῆς θερμασίας ἔτι τε 
-Z/4/755/7	τῶν ἐνεργειῶν τὸ διηνεκὲς ὅμοιόν τι τῇ ζέσει πάσχον τὸ 
-Z/4/755/8	αἷμα τοὺς χιτῶνας αὐτῶν ἀναρρήγνυσιν, ὥσπερ ὁ γλευκίνης 
-Z/4/755/9	οἶνος τοὺς πίθους. ταῦτά τ' οὖν οὕτω γίνεται πάντα ταῖς 
-Z/4/755/10	ἀμέτροις πληρώσεσιν ἐξ ἀνάγκης ἑπόμενα καὶ αἱ περὶ 
-Z/4/755/11	αὐτῶν ἀποδείξεις τοῖς φυσικοῖς ἕπονται λόγοις. ὅτι δὲ 
-Z/4/755/12	σβέννυται τὸ ἔμφυτον θερμὸν ὑπερπληρωθεισῶν αἵματος 
-Z/4/755/13	τῶν φλεβῶν, ἐν τοῖς Περὶ χρείας ἀναπνοῆς εἴρηται, ὅτι δ' 
-Z/4/755/14	αἱ φλέβες ῥήγνυνται ἐν τοῖς Ἀνατομικοῖς. οὕτω δ' ἂν 
-Z/4/755/15	καὶ ὁ Ἱπποκράτης φανείη γινώσκων, οὐ μόνον ἐπειδὰν φῇ 
-Z/4/755/16	τὴν ἐν τοῖς γυμναστικοῖς ἐπ' ἄκρον εὐεξίαν εἶναι σφα-
-Z/4/755/17	λεράν, ἀλλὰ κἀπειδὰν ἑτέρωθι γράφῃ· „Τὸ δὲ ἐξαίφνης 
-Z/4/756/1	ἄφωνον γενέσθαι, φλεβῶν ἀπολήψιες ‖ λυπέουσι.” τὰς γὰρ 
-Z/4/756/2	αἰφνιδίους παραλύσεις τῶν ἐνεργειῶν ἁπασῶν διὰ μιᾶς 
-Z/4/756/3	ἐπικαιροτάτης ἐδήλωσεν. ἀπολήψεις δὲ φλεβῶν τὰς ὑπερ-
-Z/4/756/4	πληρώσεις εἶπεν, ἐπειδὰν ἀπορῶσιν εἰς ἀνάψυξιν διαπνοῆς.  
