
[0086]  [035]  [Pol]  []

-Z//1252a/t	                {ΠΟΛΙΤΙΚΩΝ Α} 
-Z//1252a/19	θετον μέχρι τῶν ἀσυνθέτων ἀνάγκη διαιρεῖν (ταῦτα γὰρ ἐλά-
-Z//1252a/20	χιστα μόρια τοῦ παντός), οὕτω καὶ πόλιν ἐξ ὧν σύγκειται 
-Z//1252a/21	σκοποῦντες ὀψόμεθα καὶ περὶ τούτων μᾶλλον, τί τε δια-
-Z//1252a/22	φέρουσιν ἀλλήλων καὶ εἴ τι τεχνικὸν ἐνδέχεται λαβεῖν περὶ 
-Z//1252a/23	ἕκαστον τῶν ῥηθέντων. 
-Z//1252a/24	  Εἰ δή τις ἐξ ἀρχῆς τὰ πράγματα φυόμενα βλέψειεν, 
-Z//1252a/25	ὥσπερ ἐν τοῖς ἄλλοις, καὶ ἐν τούτοις κάλλιστ' ἂν οὕτω 
-Z//1252a/26	θεωρήσειεν. ἀνάγκη δὴ πρῶτον συνδυάζεσθαι τοὺς ἄνευ 
-Z//1252a/27	ἀλλήλων μὴ δυναμένους εἶναι, οἷον θῆλυ μὲν καὶ ἄρρεν τῆς  
-Z//1252a/28	γεννήσεως ἕνεκεν (καὶ τοῦτο οὐκ ἐκ προαιρέσεως, ἀλλ' ὥσπερ 
-Z//1252a/29	καὶ ἐν τοῖς ἄλλοις ζῴοις καὶ φυτοῖς φυσικὸν τὸ ἐφίεσθαι, 
-Z//1252a/30	οἷον αὐτό, τοιοῦτον καταλιπεῖν ἕτερον), ἄρχον δὲ φύσει καὶ 
-Z//1252a/31	ἀρχόμενον διὰ τὴν σωτηρίαν. τὸ μὲν γὰρ δυνάμενον τῇ 
-Z//1252a/32	διανοίᾳ προορᾶν ἄρχον φύσει καὶ δεσπόζον φύσει, τὸ δὲ 
-Z//1252a/33	δυνάμενον [ταῦτα] τῷ σώματι πονεῖν ἀρχόμενον καὶ φύσει 
-Z//1252a/34	δοῦλον· διὸ δεσπότῃ καὶ δούλῳ ταὐτὸ συμφέρει. φύσει μὲν 
-Z//1252b/1	οὖν διώρισται τὸ θῆλυ καὶ τὸ δοῦλον (οὐθὲν γὰρ ἡ φύσις 
-Z//1252b/2	ποιεῖ τοιοῦτον οἷον οἱ χαλκοτύποι τὴν Δελφικὴν μάχαιραν, 
-Z//1252b/3	πενιχρῶς, ἀλλ' ἓν πρὸς ἕν· οὕτω γὰρ ἂν ἀποτελοῖτο κάλ-
-Z//1252b/4	λιστα τῶν ὀργάνων ἕκαστον, μὴ πολλοῖς ἔργοις ἀλλ' ἑνὶ 
-Z//1252b/5	δουλεῦον)· ἐν δὲ τοῖς βαρβάροις τὸ θῆλυ καὶ τὸ δοῦλον τὴν 
-Z//1252b/6	αὐτὴν ἔχει τάξιν. αἴτιον δ' ὅτι τὸ φύσει ἄρχον οὐκ ἔχου-
-Z//1252b/7	σιν, ἀλλὰ γίνεται ἡ κοινωνία αὐτῶν δούλης καὶ δούλου. διό 
-Z//1252b/8	φασιν οἱ ποιηταὶ “βαρβάρων δ' Ἕλληνας ἄρχειν εἰκός”, 
-Z//1252b/9	ὡς ταὐτὸ φύσει βάρβαρον καὶ δοῦλον ὄν. ἐκ μὲν οὖν τού-
-Z//1252b/10	των τῶν δύο κοινωνιῶν οἰκία πρώτη, καὶ ὀρθῶς Ἡσίοδος 
-Z//1252b/11	εἶπε ποιήσας “οἶκον μὲν πρώτιστα γυναῖκά τε βοῦν τ' ἀρο-
-Z//1252b/12	τῆρα”· ὁ γὰρ βοῦς ἀντ' οἰκέτου τοῖς πένησίν ἐστιν. ἡ μὲν 
-Z//1252b/13	οὖν εἰς πᾶσαν ἡμέραν συνεστηκυῖα κοινωνία κατὰ φύσιν 
-Z//1252b/14	οἶκός ἐστιν, οὓς Χαρώνδας μὲν καλεῖ ὁμοσιπύους, Ἐπιμενίδης 
-Z//1252b/15	δὲ ὁ Κρὴς ὁμοκάπους· ἡ δ' ἐκ πλειόνων οἰκιῶν κοινωνία 
-Z//1252b/16	πρώτη χρήσεως ἕνεκεν μὴ ἐφημέρου κώμη. μάλιστα δὲ 
-Z//1252b/17	κατὰ φύσιν ἔοικεν ἡ κώμη ἀποικία οἰκίας εἶναι, οὓς κα-
-Z//1252b/18	λοῦσί τινες ὁμογάλακτας, παῖδάς τε καὶ παίδων παῖδας. 
-Z//1252b/19	διὸ καὶ τὸ πρῶτον ἐβασιλεύοντο αἱ πόλεις, καὶ νῦν ἔτι τὰ 
-Z//1252b/20	ἔθνη· ἐκ βασιλευομένων γὰρ συνῆλθον· πᾶσα γὰρ οἰκία  
-Z//1252b/21	βασιλεύεται ὑπὸ τοῦ πρεσβυτάτου, ὥστε καὶ αἱ ἀποικίαι, διὰ 
-Z//1252b/22	τὴν συγγένειαν. καὶ τοῦτ' ἐστὶν ὃ λέγει Ὅμηρος “θεμιστεύει 
-Z//1252b/23	δὲ ἕκαστος παίδων ἠδ' ἀλόχων”. σποράδες γάρ· καὶ οὕτω 
-Z//1252b/24	τὸ ἀρχαῖον ᾤκουν. καὶ τοὺς θεοὺς δὲ διὰ τοῦτο πάντες φασὶ 
-Z//1252b/25	βασιλεύεσθαι, ὅτι καὶ αὐτοὶ οἱ μὲν ἔτι καὶ νῦν οἱ δὲ τὸ 
-Z//1252b/26	ἀρχαῖον ἐβασιλεύοντο, ὥσπερ δὲ καὶ τὰ εἴδη ἑαυτοῖς ἀφ-
-Z//1252b/27	ομοιοῦσιν οἱ ἄνθρωποι, οὕτω καὶ τοὺς βίους τῶν θεῶν. 
-Z//1252b/27	                                                ἡ δ' ἐκ 
-Z//1252b/28	πλειόνων κωμῶν κοινωνία τέλειος πόλις, ἤδη πάσης ἔχουσα 
-Z//1252b/29	πέρας τῆς αὐταρκείας ὡς ἔπος εἰπεῖν, γινομένη μὲν τοῦ 
-Z//1252b/30	ζῆν ἕνεκεν, οὖσα δὲ τοῦ εὖ ζῆν. διὸ πᾶσα πόλις φύσει ἔστιν, 
[0086]  [035]  [Pol]  []

-Z//1252b/31	εἴπερ καὶ αἱ πρῶται κοινωνίαι. τέλος γὰρ αὕτη ἐκείνων, 
-Z//1252b/32	ἡ δὲ φύσις τέλος ἐστίν· οἷον γὰρ ἕκαστόν ἐστι τῆς γενέσεως 
-Z//1252b/33	τελεσθείσης, ταύτην φαμὲν τὴν φύσιν εἶναι ἑκάστου, ὥσπερ 
-Z//1252b/34	ἀνθρώπου ἵππου οἰκίας. ἔτι τὸ οὗ ἕνεκα καὶ τὸ τέλος βέλ-
-Z//1253a/1	τιστον· ἡ δ' αὐτάρκεια καὶ τέλος καὶ βέλτιστον. ἐκ τούτων οὖν 
-Z//1253a/2	φανερὸν ὅτι τῶν φύσει ἡ πόλις ἐστί, καὶ ὅτι ὁ ἄνθρωπος 
-Z//1253a/3	φύσει πολιτικὸν ζῷον, καὶ ὁ ἄπολις διὰ φύσιν καὶ οὐ διὰ 
-Z//1253a/4	τύχην ἤτοι φαῦλός ἐστιν, ἢ κρείττων ἢ ἄνθρωπος· ὥσπερ 
-Z//1253a/5	καὶ ὁ ὑφ' Ὁμήρου λοιδορηθεὶς “ἀφρήτωρ ἀθέμιστος ἀνέστιος”· 
-Z//1253a/6	ἅμα γὰρ φύσει τοιοῦτος καὶ πολέμου ἐπιθυμητής, ἅτε περ 
-Z//1253a/7	ἄζυξ ὢν ὥσπερ ἐν πεττοῖς. διότι δὲ πολιτικὸν ὁ ἄνθρωπος 
-Z//1253a/8	ζῷον πάσης μελίττης καὶ παντὸς ἀγελαίου ζῴου μᾶλλον, 
-Z//1253a/9	δῆλον. οὐθὲν γάρ, ὡς φαμέν, μάτην ἡ φύσις ποιεῖ· λόγον 
-Z//1253a/10	δὲ μόνον ἄνθρωπος ἔχει τῶν ζῴων· ἡ μὲν οὖν φωνὴ τοῦ 
-Z//1253a/11	λυπηροῦ καὶ ἡδέος ἐστὶ σημεῖον, διὸ καὶ τοῖς ἄλλοις ὑπ-
-Z//1253a/12	άρχει ζῴοις (μέχρι γὰρ τούτου ἡ φύσις αὐτῶν ἐλήλυθε, τοῦ  
-Z//1253a/13	ἔχειν αἴσθησιν λυπηροῦ καὶ ἡδέος καὶ ταῦτα σημαίνειν 
-Z//1253a/14	ἀλλήλοις), ὁ δὲ λόγος ἐπὶ τῷ δηλοῦν ἐστι τὸ συμφέρον καὶ 
-Z//1253a/15	τὸ βλαβερόν, ὥστε καὶ τὸ δίκαιον καὶ τὸ ἄδικον· τοῦτο γὰρ 
-Z//1253a/16	πρὸς τὰ ἄλλα ζῷα τοῖς ἀνθρώποις ἴδιον, τὸ μόνον ἀγαθοῦ 
-Z//1253a/17	καὶ κακοῦ καὶ δικαίου καὶ ἀδίκου καὶ τῶν ἄλλων αἴσθησιν 
-Z//1253a/18	ἔχειν· ἡ δὲ τούτων κοινωνία ποιεῖ οἰκίαν καὶ πόλιν. καὶ 
-Z//1253a/19	πρότερον δὲ τῇ φύσει πόλις ἢ οἰκία καὶ ἕκαστος ἡμῶν ἐστιν. 
-Z//1253a/20	τὸ γὰρ ὅλον πρότερον ἀναγκαῖον εἶναι τοῦ μέρους· ἀναιρου-
-Z//1253a/21	μένου γὰρ τοῦ ὅλου οὐκ ἔσται ποὺς οὐδὲ χείρ, εἰ μὴ ὁμ-
-Z//1253a/22	ωνύμως, ὥσπερ εἴ τις λέγοι τὴν λιθίνην (διαφθαρεῖσα γὰρ ἔσται 
-Z//1253a/23	τοιαύτη), πάντα δὲ τῷ ἔργῳ ὥρισται καὶ τῇ δυνάμει, ὥστε 
-Z//1253a/24	μηκέτι τοιαῦτα ὄντα οὐ λεκτέον τὰ αὐτὰ εἶναι ἀλλ' ὁμ-
-Z//1253a/25	ώνυμα. ὅτι μὲν οὖν ἡ πόλις καὶ φύσει καὶ πρότερον ἢ ἕκα-
-Z//1253a/26	στος, δῆλον· εἰ γὰρ μὴ αὐτάρκης ἕκαστος χωρισθείς, ὁμοίως 
-Z//1253a/27	τοῖς ἄλλοις μέρεσιν ἕξει πρὸς τὸ ὅλον, ὁ δὲ μὴ δυνάμε-
-Z//1253a/28	νος κοινωνεῖν ἢ μηδὲν δεόμενος δι' αὐτάρκειαν οὐθὲν μέρος 
-Z//1253a/29	πόλεως, ὥστε ἢ θηρίον ἢ θεός. 
-Z//1253a/29	                          φύσει μὲν οὖν ἡ ὁρμὴ ἐν 
-Z//1253a/30	πᾶσιν ἐπὶ τὴν τοιαύτην κοινωνίαν· ὁ δὲ πρῶτος συστήσας 
-Z//1253a/31	μεγίστων ἀγαθῶν αἴτιος. ὥσπερ γὰρ καὶ τελεωθεὶς βέλτι-
-Z//1253a/32	στον τῶν ζῴων ἄνθρωπός ἐστιν, οὕτω καὶ χωρισθεὶς νόμου καὶ 
-Z//1253a/33	δίκης χείριστον πάντων. χαλεπωτάτη γὰρ ἀδικία ἔχουσα 
-Z//1253a/34	ὅπλα· ὁ δὲ ἄνθρωπος ὅπλα ἔχων φύεται φρονήσει καὶ 
-Z//1253a/35	ἀρετῇ, οἷς ἐπὶ τἀναντία ἔστι χρῆσθαι μάλιστα. διὸ ἀνοσιώ-
-Z//1253a/36	τατον καὶ ἀγριώτατον ἄνευ ἀρετῆς, καὶ πρὸς ἀφροδίσια 
-Z//1253a/37	καὶ ἐδωδὴν χείριστον. ἡ δὲ δικαιοσύνη πολιτικόν· ἡ γὰρ 
-Z//1253a/38	δίκη πολιτικῆς κοινωνίας τάξις ἐστίν, ἡ δὲ δικαιοσύνη τοῦ 
-Z//1253a/39	δικαίου κρίσις. 
-Z//1253b/1	  Ἐπεὶ δὲ φανερὸν ἐξ ὧν μορίων ἡ πόλις συνέστηκεν,  
-Z//1253b/2	ἀναγκαῖον πρῶτον περὶ οἰκονομίας εἰπεῖν· πᾶσα γὰρ σύγ-
-Z//1253b/3	κειται πόλις ἐξ οἰκιῶν. οἰκονομίας δὲ μέρη ἐξ ὧν πάλιν οἰκία 
-Z//1253b/4	συνέστηκεν· οἰκία δὲ τέλειος ἐκ δούλων καὶ ἐλευθέρων. ἐπεὶ 
-Z//1253b/5	δ' ἐν τοῖς ἐλαχίστοις πρῶτον ἕκαστον ζητητέον, πρῶτα δὲ 
-Z//1253b/6	καὶ ἐλάχιστα μέρη οἰκίας δεσπότης καὶ δοῦλος, καὶ πόσις 
-Z//1253b/7	καὶ ἄλοχος, καὶ πατὴρ καὶ τέκνα, περὶ τριῶν ἂν τούτων 
-Z//1253b/8	σκεπτέον εἴη τί ἕκαστον καὶ ποῖον δεῖ εἶναι. ταῦτα δ' ἐστὶ 
-Z//1253b/9	δεσποτικὴ καὶ γαμική (ἀνώνυμον γὰρ ἡ γυναικὸς καὶ ἀν-
-Z//1253b/10	δρὸς σύζευξις) καὶ τρίτον τεκνοποιητική (καὶ γὰρ αὕτη οὐκ 
-Z//1253b/11	ὠνόμασται ἰδίῳ ὀνόματι). ἔστωσαν δὴ αὗται 〈αἱ〉 τρεῖς ἃς εἴπο-
-Z//1253b/12	μεν. ἔστι δέ τι μέρος ὃ δοκεῖ τοῖς μὲν εἶναι οἰκονομία, 
-Z//1253b/13	τοῖς δὲ μέγιστον μέρος αὐτῆς· ὅπως δ' ἔχει, θεωρητέον· 
-Z//1253b/14	λέγω δὲ περὶ τῆς καλουμένης χρηματιστικῆς. πρῶτον δὲ 
-Z//1253b/15	περὶ δεσπότου καὶ δούλου εἴπωμεν, ἵνα τά τε πρὸς τὴν 
-Z//1253b/16	ἀναγκαίαν χρείαν ἴδωμεν, κἂν εἴ τι πρὸς τὸ εἰδέναι περὶ 
-Z//1253b/17	αὐτῶν δυναίμεθα λαβεῖν βέλτιον τῶν νῦν ὑπολαμβανομέ-
-Z//1253b/18	νων. τοῖς μὲν γὰρ δοκεῖ ἐπιστήμη τέ τις εἶναι ἡ δεσποτεία, 
-Z//1253b/19	καὶ ἡ αὐτὴ οἰκονομία καὶ δεσποτεία καὶ πολιτικὴ καὶ βα-
-Z//1253b/20	σιλική, καθάπερ εἴπομεν ἀρχόμενοι· τοῖς δὲ παρὰ φύσιν 
-Z//1253b/21	τὸ δεσπόζειν (νόμῳ γὰρ τὸν μὲν δοῦλον εἶναι τὸν δ' ἐλεύ-
-Z//1253b/22	θερον, φύσει δ' οὐθὲν διαφέρειν)· διόπερ οὐδὲ δίκαιον· βίαιον 
-Z//1253b/23	γάρ. 
-Z//1253b/23	  Ἐπεὶ οὖν ἡ κτῆσις μέρος τῆς οἰκίας ἐστὶ καὶ ἡ κτητικὴ 
-Z//1253b/24	μέρος τῆς οἰκονομίας (ἄνευ γὰρ τῶν ἀναγκαίων ἀδύνατον 
-Z//1253b/25	καὶ ζῆν καὶ εὖ ζῆν), ὥσπερ δὴ ταῖς ὡρισμέναις τέχναις 
-Z//1253b/26	ἀναγκαῖον ἂν εἴη ὑπάρχειν τὰ οἰκεῖα ὄργανα, εἰ μέλλει  
-Z//1253b/27	ἀποτελεσθήσεσθαι τὸ ἔργον, οὕτω καὶ τῷ οἰκονομικῷ. τῶν 
-Z//1253b/28	δ' ὀργάνων τὰ μὲν ἄψυχα τὰ δὲ ἔμψυχα (οἷον τῷ κυ-
-Z//1253b/29	βερνήτῃ ὁ μὲν οἴαξ ἄψυχον ὁ δὲ πρῳρεὺς ἔμψυχον· ὁ 
-Z//1253b/30	γὰρ ὑπηρέτης ἐν ὀργάνου εἴδει ταῖς τέχναις ἐστίν)· οὕτω καὶ 
-Z//1253b/31	τὸ κτῆμα ὄργανον πρὸς ζωήν ἐστι, καὶ ἡ κτῆσις πλῆθος 
-Z//1253b/32	ὀργάνων ἐστί, καὶ ὁ δοῦλος κτῆμά τι ἔμψυχον, καὶ ὥσπερ 
-Z//1253b/33	ὄργανον πρὸ ὀργάνων πᾶς ὑπηρέτης. εἰ γὰρ ἠδύνατο 
-Z//1253b/34	ἕκαστον τῶν ὀργάνων κελευσθὲν ἢ προαισθανόμενον ἀπο-
-Z//1253b/35	τελεῖν τὸ αὑτοῦ ἔργον, 〈καὶ〉 ὥσπερ τὰ Δαιδάλου φασὶν ἢ τοὺς 
-Z//1253b/36	τοῦ Ἡφαίστου τρίποδας, οὕς φησιν ὁ ποιητὴς αὐτομάτους θεῖον 
-Z//1253b/37	δύεσθαι ἀγῶνα, οὕτως αἱ κερκίδες ἐκέρκιζον αὐταὶ καὶ τὰ 
-Z//1253b/38	πλῆκτρα ἐκιθάριζεν, οὐδὲν ἂν ἔδει οὔτε τοῖς ἀρχιτέκτοσιν 
-Z//1254a/1	ὑπηρετῶν οὔτε τοῖς δεσπόταις δούλων. τὰ μὲν οὖν λεγόμενα 
-Z//1254a/2	ὄργανα ποιητικὰ ὄργανά ἐστι, τὸ δὲ κτῆμα πρακτικόν· ἀπὸ 
-Z//1254a/3	μὲν γὰρ τῆς κερκίδος ἕτερόν τι γίνεται παρὰ τὴν χρῆσιν 
-Z//1254a/4	αὐτῆς, ἀπὸ δὲ τῆς ἐσθῆτος καὶ τῆς κλίνης ἡ χρῆσις μό-
-Z//1254a/5	νον. ἔτι δ' ἐπεὶ διαφέρει ἡ ποίησις εἴδει καὶ ἡ πρᾶξις, 
-Z//1254a/6	καὶ δέονται ἀμφότεραι ὀργάνων, ἀνάγκη καὶ ταῦτα τὴν 
-Z//1254a/7	αὐτὴν ἔχειν διαφοράν. ὁ δὲ βίος πρᾶξις, οὐ ποίησις, ἐστιν· 
-Z//1254a/8	διὸ καὶ ὁ δοῦλος ὑπηρέτης τῶν πρὸς τὴν πρᾶξιν. τὸ δὲ 
-Z//1254a/9	κτῆμα λέγεται ὥσπερ καὶ τὸ μόριον. τό τε γὰρ μόριον οὐ 
-Z//1254a/10	μόνον ἄλλου ἐστὶ μόριον, ἀλλὰ καὶ ὅλως ἄλλου· ὁμοίως δὲ 
-Z//1254a/11	καὶ τὸ κτῆμα. διὸ ὁ μὲν δεσπότης τοῦ δούλου δεσπότης μό-
-Z//1254a/12	νον, ἐκείνου δ' οὐκ ἔστιν· ὁ δὲ δοῦλος οὐ μόνον δεσπότου δοῦ-
-Z//1254a/13	λός ἐστιν, ἀλλὰ καὶ ὅλως ἐκείνου. 
-Z//1254a/13	                            τίς μὲν οὖν ἡ φύσις τοῦ 
-Z//1254a/14	δούλου καὶ τίς ἡ δύναμις, ἐκ τούτων δῆλον· ὁ γὰρ μὴ αὑτοῦ φύ-
-Z//1254a/15	σει ἀλλ' ἄλλου ἄνθρωπος ὤν, οὗτος φύσει δοῦλός ἐστιν, ἄλλου  
-Z//1254a/16	δ' ἐστὶν ἄνθρωπος ὃς ἂν κτῆμα ᾖ ἄνθρωπος ὤν, κτῆμα δὲ 
-Z//1254a/17	ὄργανον πρακτικὸν καὶ χωριστόν. 
-Z//1254a/17	                              Πότερον δ' ἔστι τις φύσει 
-Z//1254a/18	τοιοῦτος ἢ οὔ, καὶ πότερον βέλτιον καὶ δίκαιόν τινι δουλεύειν 
-Z//1254a/19	ἢ οὔ, ἀλλὰ πᾶσα δουλεία παρὰ φύσιν ἐστί, μετὰ ταῦτα 
-Z//1254a/20	σκεπτέον. οὐ χαλεπὸν δὲ καὶ τῷ λόγῳ θεωρῆσαι καὶ ἐκ 
-Z//1254a/21	τῶν γινομένων καταμαθεῖν. τὸ γὰρ ἄρχειν καὶ ἄρχεσθαι 
-Z//1254a/22	οὐ μόνον τῶν ἀναγκαίων ἀλλὰ καὶ τῶν συμφερόντων ἐστί, 
-Z//1254a/23	καὶ εὐθὺς ἐκ γενετῆς ἔνια διέστηκε τὰ μὲν ἐπὶ τὸ ἄρχεσθαι 
-Z//1254a/24	τὰ δ' ἐπὶ τὸ ἄρχειν. καὶ εἴδη πολλὰ καὶ ἀρχόντων καὶ 
-Z//1254a/25	ἀρχομένων ἔστιν (καὶ ἀεὶ βελτίων ἡ ἀρχὴ ἡ τῶν βελτιόνων 
-Z//1254a/26	ἀρχομένων, οἷον ἀνθρώπου ἢ θηρίου· τὸ γὰρ ἀποτελούμενον 
-Z//1254a/27	ὑπὸ τῶν βελτιόνων βέλτιον ἔργον· ὅπου δὲ τὸ μὲν ἄρχει 
-Z//1254a/28	τὸ δ' ἄρχεται, ἔστι τι τούτων ἔργον)· ὅσα γὰρ ἐκ πλειόνων 
-Z//1254a/29	συνέστηκε καὶ γίνεται ἕν τι κοινόν, εἴτε ἐκ συνεχῶν εἴτε ἐκ 
-Z//1254a/30	διῃρημένων, ἐν ἅπασιν ἐμφαίνεται τὸ ἄρχον καὶ τὸ ἀρχό-
-Z//1254a/31	μενον, καὶ τοῦτο ἐκ τῆς ἁπάσης φύσεως ἐνυπάρχει τοῖς 
-Z//1254a/32	ἐμψύχοις· καὶ γὰρ ἐν τοῖς μὴ μετέχουσι ζωῆς ἔστι τις 
-Z//1254a/33	ἀρχή, οἷον ἁρμονίας. ἀλλὰ ταῦτα μὲν ἴσως ἐξωτερικωτέ-
-Z//1254a/34	ρας ἐστὶ σκέψεως· τὸ δὲ ζῷον πρῶτον συνέστηκεν ἐκ ψυχῆς 
-Z//1254a/35	καὶ σώματος, ὧν τὸ μὲν ἄρχον ἐστὶ φύσει τὸ δ' ἀρχό-
-Z//1254a/36	μενον. δεῖ δὲ σκοπεῖν ἐν τοῖς κατὰ φύσιν ἔχουσι μᾶλλον 
[0086]  [035]  [Pol]  []

-Z//1254a/37	τὸ φύσει, καὶ μὴ ἐν τοῖς διεφθαρμένοις· διὸ καὶ τὸν βέλ-
-Z//1254a/38	τιστα διακείμενον καὶ κατὰ σῶμα καὶ κατὰ ψυχὴν ἄν-
-Z//1254a/39	θρωπον θεωρητέον, ἐν ᾧ τοῦτο δῆλον· τῶν γὰρ μοχθηρῶν ἢ 
-Z//1254b/1	μοχθηρῶς ἐχόντων δόξειεν ἂν ἄρχειν πολλάκις τὸ σῶμα 
-Z//1254b/2	τῆς ψυχῆς διὰ τὸ φαύλως καὶ παρὰ φύσιν ἔχειν. 
-Z//1254b/2	                                                  ἔστι 
-Z//1254b/3	δ' οὖν, ὥσπερ λέγομεν, πρῶτον ἐν ζῴῳ θεωρῆσαι καὶ δε- 
-Z//1254b/4	σποτικὴν ἀρχὴν καὶ πολιτικήν· ἡ μὲν γὰρ ψυχὴ τοῦ σώ-
-Z//1254b/5	ματος ἄρχει δεσποτικὴν ἀρχήν, ὁ δὲ νοῦς τῆς ὀρέξεως πολι-
-Z//1254b/6	τικὴν ἢ βασιλικήν· ἐν οἷς φανερόν ἐστιν ὅτι κατὰ φύ-
-Z//1254b/7	σιν καὶ συμφέρον τὸ ἄρχεσθαι τῷ σώματι ὑπὸ τῆς ψυ-
-Z//1254b/8	χῆς, καὶ τῷ παθητικῷ μορίῳ ὑπὸ τοῦ νοῦ καὶ τοῦ μορίου τοῦ 
-Z//1254b/9	λόγον ἔχοντος, τὸ δ' ἐξ ἴσου ἢ ἀνάπαλιν βλαβερὸν πᾶσιν. 
-Z//1254b/10	πάλιν ἐν ἀνθρώπῳ καὶ τοῖς ἄλλοις ζῴοις ὡσαύτως· τὰ 
-Z//1254b/11	μὲν γὰρ ἥμερα τῶν ἀγρίων βελτίω τὴν φύσιν, τούτοις δὲ 
-Z//1254b/12	πᾶσι βέλτιον ἄρχεσθαι ὑπ' ἀνθρώπου· τυγχάνει γὰρ σω-
-Z//1254b/13	τηρίας οὕτως. ἔτι δὲ τὸ ἄρρεν πρὸς τὸ θῆλυ φύσει τὸ μὲν 
-Z//1254b/14	κρεῖττον τὸ δὲ χεῖρον, καὶ τὸ μὲν ἄρχον τὸ δ' ἀρχόμενον. τὸν 
-Z//1254b/15	αὐτὸν δὲ τρόπον ἀναγκαῖον εἶναι καὶ ἐπὶ πάντων ἀνθρώ-
-Z//1254b/16	πων. ὅσοι μὲν οὖν τοσοῦτον διεστᾶσιν ὅσον ψυχὴ σώματος 
-Z//1254b/17	καὶ ἄνθρωπος θηρίου (διάκεινται δὲ τοῦτον τὸν τρόπον ὅσων 
-Z//1254b/18	ἐστὶν ἔργον ἡ τοῦ σώματος χρῆσις, καὶ τοῦτ' ἐστ' ἀπ' αὐτῶν 
-Z//1254b/19	βέλτιστον), οὗτοι μέν εἰσι φύσει δοῦλοι, οἷς βέλτιόν ἐστιν 
-Z//1254b/20	ἄρχεσθαι ταύτην τὴν ἀρχήν, εἴπερ καὶ τοῖς εἰρημένοις. ἔστι 
-Z//1254b/21	γὰρ φύσει δοῦλος ὁ δυνάμενος ἄλλου εἶναι (διὸ καὶ ἄλλου 
-Z//1254b/22	ἐστίν), καὶ ὁ κοινωνῶν λόγου τοσοῦτον ὅσον αἰσθάνεσθαι ἀλλὰ 
-Z//1254b/23	μὴ ἔχειν. τὰ γὰρ ἄλλα ζῷα οὐ λόγῳ [αἰσθανόμενα] ἀλλὰ 
-Z//1254b/24	παθήμασιν ὑπηρετεῖ. καὶ ἡ χρεία δὲ παραλλάττει μικρόν· 
-Z//1254b/25	ἡ γὰρ πρὸς τἀναγκαῖα τῷ σώματι βοήθεια γίνεται παρ' 
-Z//1254b/26	ἀμφοῖν, παρά τε τῶν δούλων καὶ παρὰ τῶν ἡμέρων ζῴων. 
-Z//1254b/27	βούλεται μὲν οὖν ἡ φύσις καὶ τὰ σώματα διαφέροντα 
-Z//1254b/28	ποιεῖν τὰ τῶν ἐλευθέρων καὶ τῶν δούλων, τὰ μὲν ἰσχυρὰ 
