
[0057]  [050]  []  []

-Z/7/513/t	{ΓΑΛΗΝΟΥ ΠΕΡΙ ΠΛΗΘΟΥΣ ΒΙΒΛΙΟΝ.} 
-Z/7/516/18	περὶ μιᾶς ἀεὶ διαλέγονται τῆς τὸ ζῶον διοικούσης δυνάμεως,  
-Z/7/517/1	οὐδένα λογισμὸν προστιθέντες· ἔνιοι δὲ ἀποδεικνύειν ἐπιχει-
-Z/7/517/2	ροῦσι, καὶ πλείους μιᾶς οὐκ εἶναί φασιν. ὥστ' ἀναγκαῖον 
-Z/7/517/3	ὅστις ἀποφαίνεται πλῆθος εἶναι κατὰ τὸ σῶμα τοῦ κάμνοντος, 
-Z/7/517/4	ἀποκεχωρηκέναι μὲν ἤδη τοῦτον ἀπό τε τῶν ἐμπειρικῶν ὀνο-
-Z/7/517/5	μαζομένων ἰατρῶν ἀπό τε τῶν μεθοδικῶν· ἤτοι δ' ὡς πρὸς 
-Z/7/517/6	τὴν δύναμιν, ἢ ὡς τὰ ἀγγεῖα λέγειν τὸ πολύ. 
-Z/7/517/7	  Καὶ τοίνυν καὶ ἡμῖν ὁ μὲν πρὸς τοὺς ἐμ-
-Z/7/517/8	πειρικούς τε καὶ μεθοδικοὺς ἀναβεβλήσθω λόγος, ἐπὶ δὲ τοὺς 
-Z/7/517/9	ἑτέρους ἴωμεν, ὅσοι σὺν λογισμῷ φασι τὴν τέχνην μεταχειρί-
-Z/7/517/10	ζεσθαι. καίτοι γε ἔνιοι τῶν νῦν εἰς τοσοῦτον ἥκουσι τόλ-
-Z/7/517/11	μης, ὡς ἐπιγράφεσθαι μὲν ἑαυτοῖς αἱρέσεως ὀνόματα, γινώ-
-Z/7/517/12	σκειν δὲ οὐδὲν οὐδὲ ἐκείνων (ἐστὶν) αὐτῶν. ἀκοῦσαι γοῦν 
-Z/7/517/13	ἔστι πολλάκις πολλῶν ἐπὶ μὲν τῶν ἀῤῥώστων λεγόντων, ὡς 
-Z/7/517/14	μεστὸς ὁ ἄνθρωπός ἐστι καὶ φλεβοτομητέον αὐτόν· αὖθις 
-Z/7/517/15	δ' ἐμπεσόντος λόγου, μεθοδικοὺς ἢ ἐμπειρικοὺς ὀνομαζόντων 
-Z/7/517/16	ἑαυτούς. ἀλλ' ὅπερ ἔλεγον, ἐπὶ τοὺς ἀναλογισμῷ χρωμένους 
-Z/7/517/17	ἐλθόντες, τοῖς ἐξ αὐτῶν πρώτοις διαλεχθῶμεν, ὅσοι πρὸς 
-Z/7/517/18	τὴν δύναμιν ἀεὶ ἐννοοῦσι τὸ πολύ. κινδυνεύουσι γὰρ οὗτοι  
-Z/7/518/1	μήτ' ἀσκοὺς ἑωρακέναι, μήτε θυλάκους ἀμέτρως πεπληρωμέ-
-Z/7/518/2	νους, ἀλλὰ μηδὲ σιτίου ποτὲ προσενηνέχθαι πλείω τοῦ δέον-
-Z/7/518/3	τος, ὡς διατείνειν τὴν γαστέρα, μηδ' οὖρον ἠθροικέναι ποτὲ 
-Z/7/518/4	ἐν τῇ κύστει περαιτέρω τοῦ προσήκοντος, ἢ κόπρον ἐν ἀπευ-
-Z/7/518/5	θυσμένῳ διατείνεται γὰρ ἐναργῶς ἐν πάσαις ταῖς τοιαύταις 
-Z/7/518/6	περιστάσεσιν ἕκαστον τῶν εἰρημένων ὀργάνων, ὡς ἀνιᾶσθαι 
-Z/7/518/7	τὸν ἄνθρωπον, ἢν μὴ θᾶττον ἐκκρίνῃ τὸ πλεονάζον. οὐ μὴν 
-Z/7/518/8	οὐδ' ἡ αὐτή γε αἴσθησις γίνεται τοῦ βαρύνοντος ἢ δάκνοντος, 
-Z/7/518/9	ἢ ἀῤῥήτῳ τινὶ ποιότητι λυποῦντος. ἀκοῦσαι γοῦν ἔστι καὶ 
-Z/7/518/10	τῶν ἰδιωτῶν αὐτὸ τὸ συμβαῖνον αὐτοῖς ἐναργῶς ἑρμηνευόν-
-Z/7/518/11	των, ἄνευ τῆς περὶ τὸ δόγμα φιλονεικίας, ἐνίοτε μὲν ὡς ὑπὸ 
-Z/7/518/12	τροφῆς βαρυνομένων καὶ θλιβομένων, καίτοι γε ἐλάχιστα 
-Z/7/518/13	προσενηνεγμένων· ἐνίοτε δ' ὡς δάκνοιντό τε καὶ διαβιβρώ-
-Z/7/518/14	σκοιντο· πολλάκις δ' οὐκ ἔχοντες ἀκριβῶς ἑρμηνεῦσαι τὸ συμ-
-Z/7/518/15	βαῖνον, ἀσᾶσθαί φασιν. οὐδεμία γὰρ τῶν αἰσθήσεων τού-
-Z/7/518/16	των ἡ αὐτὴ πρὸς τοῖς ἀνθρώποις γίγνεται, διὰ πλῆθος ἄμε-
-Z/7/518/17	τρον ἐδεσμάτων ἐπὶ πλεῖστον ἐκτεταμένης τε καὶ διατεταμένης 
-Z/7/518/18	τῆς γαστρός. ἐπὶ μὲν οὖν τῶν τοιούτων καταστάσεων κινδυ- 
-Z/7/519/1	νεύειν ῥαγῆναί φασιν αὐτῶν τὴν κοιλίαν, σὺν τῷ καὶ ἡμᾶς 
-Z/7/519/2	ὁρᾷν ἐπὶ πλεῖστον αὐτὴν τεταμένην· ἔνθα δὲ βαρύ-
-Z/7/519/3	νεσθαι λέγουσι, προσεσταλμένην ὁρῶμεν ἐνίοτε τὴν γαστέρα. 
-Z/7/519/4	οὕτω δὲ κᾀπὶ τῆς κύστεως ἄλλη μὲν διάθεσίς ἐστι πλεῖστον 
-Z/7/519/5	ὑγρὸν περιεχούσης, ἄλλη δὲ ὀλίγον, ἢ βαρυνομένης. καὶ τοί-
-Z/7/519/6	νυν καὶ τὴν ἔκκρισιν ἐπὶ μὲν τῆς διὰ τὸ πεπληρῶσθαι τει-
-Z/7/519/7	νομένης παμπόλλην ἔστιν ἰδεῖν, ἐπὶ δὲ τῆς βαρυ-
-Z/7/519/8	νομένης ὀλιγίστην μὲν, ἀλλὰ πυκνοτάτην· οὐ γὰρ ἀνα-
-Z/7/519/9	μένει τὸν τῆς πληρώσεως χρόνον, ἀλλὰ εὐθὺς ἀποῤῥῖψαι 
-Z/7/519/10	ποθεῖ τὸ λυποῦν, ὥσπερ κᾀπειδὰν ὑπὸ τῆς ποιότητος 
-Z/7/519/11	αὐτοῦ δάκνηται. καὶ γὰρ τότε συνεχῆ ποιεῖται τὴν ἔκκρισιν. 
-Z/7/519/12	καὶ γὰρ οὖν καὶ ὁπότε βαρύνεται καθάπερ ὑπὸ φορτίου 
-Z/7/519/13	τοῦ περιεχομένου, τότε οὐκ ἄν τις ὀρθῶς φαίη φαύλως μὲν 
-Z/7/519/14	διακεῖσθαι, εἶναι δὲ αὐτῇ τὸ βαρῦνον πολὺ, κᾂν μηδ' ὅλως 
-Z/7/519/15	διατείνει τὸν χιτῶνα. ταῦτα πάντως δ' εἴ τί φασιν οἱ ταύτης 
-Z/7/519/16	τῆς δόξης ἡγεμόνες, ἀρνουμένων τῶν τἀναντία γιγνωσκόν-
-Z/7/519/17	των, αὖθις ἐρωτητέον ἀμφοτέρους, εἰ τὴν αὐτὴν ἀνίαν ἡ 
-Z/7/519/18	κύστις ἀνιᾶται διατεινομένη πανταχόσε καὶ κινδυνεύουσα  
[0057]  [050]  []  []

-Z/7/520/1	ῥαγῆναι, τῷ μηκέτι στέγειν τὸ περιεχόμενον, καὶ βαρυνομένη 
-Z/7/520/2	τε καὶ δακνομένη. ἐνταῦθα γὰρ πάλιν οἱ μὲν πρὸς τὰς εὐρυ-
-Z/7/520/3	χωρίας τῶν ἀγγείων ἀεὶ τὸ πλῆθος νοοῦντες ἑτοίμως συγχω-
-Z/7/520/4	ροῦσιν· οἱ δ' ὡς πρὸς τὴν δύναμιν, ἄχθονταί τε πρὸς τοῖς 
-Z/7/520/5	τοιούτοις ἐρωτήμασιν, ὀργίζονταί τε πολυειδῶς ἀντιτείνον-
-Z/7/520/6	τες ἄνω καὶ κάτω, διὰ τὸ μὴ βούλεσθαι συγχωρῆσαι καὶ τοῦτ' 
-Z/7/520/7	εἶναι πλῆθος. ἡμεῖς οὖν ἀμφοτέρους τε εὐξάμενοι παύσασθαι 
-Z/7/520/8	τῆς φιλονεικίας, εἰς ὁμόνοιαν παρεκαλέσαμεν τοὺς ὅσοι μὲν 
-Z/7/520/9	οὐχ ἡγοῦνται λέγεσθαι τὸ πλῆθος οὐδέποτε πρὸς τὴν χώραν 
-Z/7/520/10	τοῦ περιέχοντος, οἷς δὴ καὶ πρώτοις ὑπηρξάμεθα διαλέγεσθαι, 
-Z/7/520/11	συγχωρῆσαι τοῖς ἀληθέσι παρακαλοῦντες, ἀναμνησθέντας τοῦ 
-Z/7/520/12	ἐν τῷ διατείνεσθαι τὰ πεπληρωμένα μόρια λυπεῖσθαι· ὅσοι δὲ 
-Z/7/520/13	οὕτω μόνον συνίστασθαι πλῆθος νομίζουσι, συγχωρῆσαι τὸ 
-Z/7/520/14	βαρῦνον εἶναι τῷ βαρυνομένῳ πολύ. πάλιν δὲ ἑκατέρους τοῖς 
-Z/7/520/15	ἐναργῶς φαινομένοις δυσωποῦντες, ἀναμνήσωμεν ἰδίᾳ μὲν 
-Z/7/520/16	τοὺς ὡς πρὸς τὴν δύναμιν μόνον νοεῖσθαι φάσκοντας τὸ πολὺ, 
-Z/7/520/17	τοῦ περιτοναίου ῥαγέντος ἢ ἀνευρυνθέντες ὑπὸ πλήθους ἐδε-
-Z/7/520/18	σμάτων, ὑποδείξωμέν τε κᾀπὶ τῶν ἐκτὸς ἀσκοὺς καὶ κύστεις  
-Z/7/521/1	τοῦτο πάσχοντας, ἐνίοτε δὲ καὶ τοὺς πίθους αὐτοὺς, ὅταν 
-Z/7/521/2	πνευματικὸν βίαιον ᾖ τὸ πλῆθος. ἐρωτήσωμεν δὲ περὶ τῶν 
-Z/7/521/3	ἀναβηξάντων ἐκ πνεύμονος αἷμα καὶ διὰ ῥῆξιν ἀγγείου, χωρὶς 
-Z/7/521/4	πληγῆς, ἢ καταπτώσεως, ἤ τινος ἑτέρας ἔξωθεν βίας τοιαύ-
-Z/7/521/5	της, εἰ μηδὲ οὗτοι δοκοῦσιν αὐτοῖς ὑπὸ πλήθους παμπόλλου 
-Z/7/521/6	διατείνοντος τὸ ἀγγεῖον οὕτω παθεῖν. ἰδίᾳ δ' αὖ πάλιν 
-Z/7/521/7	ἀναμνήσωμεν τοὺς ἑτέρους, ὡς οὐ ταὐτὸ δύναται βάρος βα-
-Z/7/521/8	στάζειν εὐέκτης νεανίσκος καὶ παιδίον κομιδῇ μικρόν· ὃ γὰρ 
-Z/7/521/9	ἂν, οἶμαι, βαρύτατον ᾖ τῷ παιδίῳ, κουφότατόν ἐστι τῷ 
-Z/7/521/10	νεανίσκῳ· πότερον οὖν οὔτε φορτίον ὅλως ἐροῦμεν, ὃ μὴ 
-Z/7/521/11	δύναταί τις βαστάζειν, οὐδὲ πολὺ τὸ οὕτως βαρῦνον; ἢ φορ-
-Z/7/521/12	τίον μὲν καὶ βαρὺ, πλῆθος δ' ὀνομάζειν οὐ συγχωρήσομεν; 
-Z/7/521/13	ἀλλ' οὕτως μὲν οὐχ ὑπὲρ πράγματος, ἀλλ' ὑπὲρ ὀνόματος ἡ 
-Z/7/521/14	ἀμφισβήτησις ἔσται. κατὰ δὲ τὸν ἕτερον τρόπον οὐδ' ἄν-
-Z/7/521/15	θρωπος εἶναί σοι δόξειεν ὁ μηδ' ὅλως φάσκων βαρύνεσθαι 
-Z/7/521/16	μηδέποτε, μηδ' ἂν εἴκοσι τάλαντα κατὰ τὸν ὦμον ἐπιθῇς 
-Z/7/521/17	αὐτοῦ. πρὸς δὲ τοὺς ἑαυτοὺς ὑποθέντας δουλείῳ δόγματι 
-Z/7/521/18	οὐδὲν ἱκανόν. ἐάσαντες οὖν ἤδη τούτους, μᾶλλον δ', εἰ χρὴ  
-Z/7/522/1	τἀληθὲς εἰπεῖν, ἀπαλλάττεσθαι παρακελεύσαντες, ὅστις ἂν 
-Z/7/522/2	ἐλεύθερος ᾖ καὶ ἀληθείας ἑταῖρος, ἐκείνω διαλεξώμεθα. 
-Z/7/522/3	  Δύο γὰρ ἐννοίας τε καὶ σχέσεις ὑπε-
-Z/7/522/4	θέμεθα τοῦ πλήθους, τὴν μὲν ὡς πρὸς ἰσχὺν καὶ δύναμιν 
-Z/7/522/5	τοῦ βαστάζοντος αὐτὸ, τὴν δὲ ὡς πρὸς τὴν ὑποδεχομένην 
-Z/7/522/6	χώραν. καὶ ὑποθέμενοι δὲ ταῦτα, ὁπόσαι τέ εἰσιν ἅπασαι 
-Z/7/522/7	τοῦ ζώου δυνάμεις, ὅπως τε τὸ καθ' ἑκάστην αὐτῶν πλῆθος 
-Z/7/522/8	ἢ γνωριοῦμεν, ἢ θεραπεύσομεν, ἐπισκεψώμεθα· πρὸς τού-
-Z/7/522/9	τοις δ' ἔτι πόσα τὰ σύμπαντά ἐστιν εἴδη τῶν ὑγρῶν αὐτῶν, 
-Z/7/522/10	ἤτοι τῶν βαρυνόντων τὴν δύναμιν, ἢ μὴ στεγόντων ἐν τοῖς 
-Z/7/522/11	ἀγγείοις. ἐν τούτοις γὰρ εἶναι χρὴ φιλόπονόν τε καὶ μέγαν 
-Z/7/522/12	τὸν ἰατρὸν, οὐκ ἐν τῷ καταφρονεῖν τῶν ἐναργῶν, ἃ πάσης 
-Z/7/522/13	ἀποδείξεώς εἰσιν ἀρχαί. ἀλλ' οὐδὲν ἴσως θαυμαστὸν ἀγνοεῖ-
-Z/7/522/14	σθαι καὶ αὐτὸ τοῦτο τοῖς μηδὲν ὑπὲρ ἀποδείξεως ἐξητακόσι, 
-Z/7/522/15	μήτε εὑροῦσι, μήτε μαθοῦσι, μήτε ἀσκήσασιν. οὕτω γοῦν 
-Z/7/522/16	εὐήθεις εἰσὶν, ὥστε καὶ νῦν ὁμιλῶν τις τοῖσδε τοῖς γράμμα-
-Z/7/522/17	σιν ἐλπίζει πρῶτον μὲν ἀποδεῖξαί με κατὰ τόνδε τὸν λόγον 
-Z/7/522/18	ἃ χρὴ πάντως ἐπίστασθαι τὸν μέλλοντά τι περὶ πλήθους  
-Z/7/523/1	ἀκριβῶς ἐπισκέψασθαι· δεύτερον δὲ διάγνωσίν τε καὶ θερα-
-Z/7/523/2	πείαν ἑκάστου πλήθους εὑρεῖν· μὴ γινώσκων, ὡς εἴπερ οὕτω 
-Z/7/523/3	μεγάλα πράγματα δι' ἑνὸς γράμματος ἀποδείκνυσθαι φύσεως 
-Z/7/523/4	εἶχεν, οὐκ ἂν ἦν ἡ τέχνη μακρά. ἐγὼ δὲ, ὅτι μὲν ἑτέρα τίς 
-Z/7/523/5	ἐστιν ἡ κατὰ τὰς ἀρτηρίας δύναμις τῆς κατὰ τὰ νεῦρά τε καὶ 
-Z/7/523/6	φλέβας, ἐν τοῖς περὶ τῶν Ἱπποκράτους καὶ Πλάτωνος δογμά-
-Z/7/523/7	των ἀπέδειξα. διὰ δὲ τῆς αὐτῆς πραγματείας ἐδίδαξα καὶ ὅτι 
-Z/7/523/8	τῆς μὲν τῶν ἀρτηριῶν δυνάμεως οἷον πηγή τίς ἐστιν ἡ καρδία, 
-Z/7/523/9	τῆς δὲ τῶν νεύρων ὁ ἐγκέφαλος, τῆς δὲ τῶν φλεβῶν τὸ ἧπαρ. 
-Z/7/523/10	ἐν δὲ τῷ περὶ τῶν καθ' Ἱπποκράτην στοιχείων ἀπέδειξα, τὴν 
-Z/7/523/11	ὑποβεβλημένην οὐσίαν γενέσει καὶ φθορᾷ δι' ὅλης αὐτῆς ἀλ-
-Z/7/523/12	λοιοῦσθαι, κατὰ τὰς τέτταρας ποιότητας, ὑγρότητα καὶ ξη-
-Z/7/523/13	ρότητα, θερμότητά τε καὶ ψυχρότητα, καὶ εἶναι τὴν ἑκάστου 
-Z/7/523/14	τῶν σωμάτων ἴδιον οὐσίαν ἐν τῇ ποιᾷ τούτων κράσει, καὶ 
-Z/7/523/15	διὰ τοῦτο καὶ τῶν διοικουσῶν αὐτὰ δυνάμεων ἡ τῆς κρά-
-Z/7/523/16	σεως ἰδιότης ἐστὶν οὐσία. δέδεικται δέ μοι καὶ ἐν τῷ περὶ φυ-
-Z/7/523/17	σεκῶν δυνάμεων, ἰδίᾳ δὲ διά τινος ἑτέρας πραγματείας. εἴ-
-Z/7/523/18	ρηται δὲ καὶ διαγνωστικὰ σημεῖα πολλάκις ἐν πολλαῖς ἤδη  
-Z/7/524/1	πραγματείαις, ἑκατέρου τε τοῦ κατὰ τὸ πλῆθος γένους, ἑκά-
-Z/7/524/2	στου δὲ τῶν καθ' ἑκάτερον ἰδία. ἑκατέρου μὲν οὖν λέγω, τοῦ 
-Z/7/524/3	τε πρὸς τὴν δύναμιν καὶ τοῦ κατὰ τὸ ἔγχυμα· καλοῦσι γὰρ 
-Z/7/524/4	οὕτω τὸ ἕτερον γένος τοῦ πλήθους, ὃ τῇ περιεχούσῃ χώρᾳ 
-Z/7/524/5	μετρεῖται, συνιστάμενον οὐκ ἐν τοῖς ζώοις μόνον, ἀλλὰ καὶ 
-Z/7/524/6	ἐν τοῖς ἀψύχοις οὐδὲν ἧττον, ὑφάσμασί τε καὶ πλοκάμοις, 
-Z/7/524/7	καὶ δέρμασι, καὶ ἀγγείοις κεραμέοις τε καὶ χαλκέοις καὶ σι-
-Z/7/524/8	δηροῖς, ὅσα τ' ἐκ χαλκοῦ καὶ ἀργύρου καὶ κασσιτέρου γίγνε-
-Z/7/524/9	ται. καὶ γὰρ καὶ ταῦτα ῥήγνυται, κατακλεισθείσης ἐν αὐτοῖς 
-Z/7/524/10	πνευματώδους οὐσίας πολλῆς, εἰ μὴ ἄρα τις ἐθέλοι καὶ τὸ 
-Z/7/524/11	τοιοῦτον πλῆθος ὡς πρὸς τὴν συνεκτικὴν συνίστασθαι δύνα-
-Z/7/524/12	μιν, ἐπιλαθόμενος ἧς κατ' ἀρχὰς ἐννοίας ἐμνημονεύσαμεν ἐπὶ 
-Z/7/524/13	τῷ τῆς δυνάμεως ὀνόματι, φάσκοντες αὐτὴν αἰτίαν εἶναι δρα-
-Z/7/524/14	στικὴν, ὡς οὐδὲν διαφέρον εἰπεῖν ἤτοι δραστικὴν, ἢ ποιητι-
-Z/7/524/15	κήν. οὐδ' εἴ τις οὐσίαν ἐθέλοι λέγειν οὐκ αἰτίαν εἶναι 
-Z/7/524/16	ποιητικὴν τὴν δύναμιν, ἀντιλέγομεν, ἀλλ' ἐκεῖνο μόνον 
-Z/7/524/17	ἐν τῷ λόγῳ φυλάττεσθαι βουλόμεθα τὸ δραστικήν τε καὶ 
-Z/7/524/18	ποιητικὴν λέγεσθαι, μὴ παθητικήν τε καὶ ὑλικὴν ἤτοι γε  
-Z/7/525/1	αἰτίαν ἢ οὐσίαν εἶναι τὴν δύναμιν. εἰ γὰρ δὴ τοῦτό γε φυ-
-Z/7/525/2	λάττοιτο, πρόδηλον, ὡς ἐνεργείας τινὸς ἡ δύναμις αἰτία γε-
-Z/7/525/3	νήσεται· τὴν δ' ἐνέργειαν ἀνάγκη δήπου καὶ αὐτὴν εἶναι 
-Z/7/525/4	κίνησιν ἐκ τοῦ ποιοῦντος εἰς τὸ πάσχον, ὥσπέρ γε καὶ τὸ πά-
-Z/7/525/5	θος τὴν ἐν τῷ πάσχοντι κίνησιν ἐκ τοῦ ποιοῦντος· (εἰς τὸ 
-Z/7/525/6	πάσχον) ὥσθ' ἥ γε νόησις ἐν τῷ πρὸς τὶ τῆς δυνάμεως, ἥ θ' 
