
[0057]  [036]  []  []

-Z/6/1/t	        {ΓΑΛΗΝΟΥ ΥΓΙΕΙΝΩΝ ΛΟΓΟϹ Α} 
-Z/6/3/13	ϲπέρματι πλέον ἐνυπάρχει πυρώδουϲ τε καὶ ἀερώδουϲ οὐϲίαϲ, τῷ δ' 
-Z/6/4/1	αἵματι γεώδουϲ τε καὶ ὑδατώδουϲ· ἐπικρατεῖ γε μὴν ἔτι κἀν | τούτῳ τὸ 
-Z/6/4/2	μὲν θερμὸν τοῦ ψυχροῦ, τὸ δὲ ὑγρὸν τοῦ ξηροῦ, καὶ διὰ τὴν ἐπι-
-Z/6/4/3	κράτειαν ταύτην οὐ ξηρόν, ὥϲπερ ὀϲτοῦν 〈καὶ ὄνυξ〉 καὶ θρίξ, ἀλλ' 
-Z/6/4/4	ὑγρὸν εἶναι λέγεται, τὸ δὲ ϲπέρμα ξηρότερον μέν ἐϲτιν ἢ κατὰ τὸ αἷμα, 
-Z/6/4/5	ῥυτὸν μὴν καὶ ὑγρὸν ὑπάρχει καὶ αὐτό. καὶ οὕτωϲ ἑκατέρωθεν ἡμῖν ἡ 
-Z/6/4/6	ἀρχὴ τῆϲ γενέϲεωϲ ἐξ ὑγρᾶϲ οὐϲίαϲ ἐϲτίν, ἣν οὐχ ὑγρὰν δήπου φυλάτ-
-Z/6/4/7	τεϲθαι προϲήκει, μέλλουϲάν γε νεῦρα καὶ ἀρτηρίαϲ καὶ φλέβαϲ καὶ ὀϲτᾶ 
-Z/6/4/8	καὶ χόνδρουϲ καὶ ὑμέναϲ ὅϲα τ' ἄλλα τοιαῦτα γενήϲεϲθαι. ϲυγκατα-
-Z/6/4/9	βεβλῆϲθαι τοίνυν ἀναγκαῖόν ἐϲτιν εὐθὺϲ ἀπὸ τῆϲ πρώτηϲ γενέϲεωϲ 
-Z/6/4/10	ἰϲχυρότερον ἐν τῇ κράϲει τὸ ξηραντικὸν ϲτοιχεῖον. ἔϲτι δὲ τῇ φύϲει 
-Z/6/4/11	τοιοῦτον μάλιϲτα μὲν τὸ πῦρ, ἤδη δὲ καὶ ἡ γῆ· ξηρὸν γάρ τι χρῆμα 
-Z/6/4/12	καὶ ἥδε. ἀλλὰ τῆϲ μὲν γῆϲ οὐχ οἷόν τε ἦν μίγνυϲθαι πλεῖον, ὑγρῶν 
-Z/6/4/13	εἶναι δεομένων τῶν ἀρχῶν· τοῦ πυρὸϲ δ' οὔτε κωλύει τι πλέον μι-
-Z/6/4/14	χθῆναι καὶ κέκραται τοϲούτῳ πλέον ἐν ἀμφοῖν, ὡϲ μήτε φρύγειν ἤδη 
-Z/6/5/1	καὶ καίειν αὐτάρκωϲ τε ξηραίνειν. καὶ γὰρ αὖ καὶ τὴν | πρὸϲ τὰϲ κινή-
-Z/6/5/2	ϲειϲ ἑτοιμότητα τοϲοῦτον ὑπάρχον τὸ θερμὸν ἱκανὸν ἦν παραϲχεῖν. 
-Z/6/5/3	ὑπὸ τούτου δὴ τὰ μὲν πρῶτα ϲυνίϲταταί τε καὶ βραχεῖάν τινα πῆξιν 
-Z/6/5/4	λαμβάνει τὸ κύημα· μετὰ δὲ ταῦτα ἐπὶ μᾶλλον ἤδη ξηραινόμενον οἷον 
-Z/6/5/5	ὑπογραφάϲ τιναϲ ἴϲχει καὶ τύπουϲ ἀμυδροὺϲ ἑκάϲτου τῶν μορίων· εἶτ' 
-Z/6/5/6	ἐπὶ πλέον ξηρανθὲν οὐχ ὑπογραφὰϲ μόνον οὐδ' ἀμυδροὺϲ τοὺϲ τύπουϲ, 
-Z/6/5/7	ἀλλ' ἀκριβὲϲ ἑκάϲτου τὸ εἶδοϲ ἴϲχει. καὶ δὴ καὶ ἀποκυηθὲν ἀεὶ καὶ  
-Z/6/5/8	μᾶλλον ἑαυτοῦ γίνεται ξηρότερόν τε καὶ ῥωμαλεώτερον, ἄχριπερ ἂν 
-Z/6/5/9	εἰϲ ἀκμὴν ἀφίκηται. τηνικαῦτα δὲ τά τε τῆϲ αὐξήϲεωϲ ἵϲταται μηκέτι 
-Z/6/5/10	ἐπιδιδόντων τῶν ὀϲτῶν διὰ τὴν ϲκληρότητα, καὶ τῶν ἀγγείων δ' ἕκα-
-Z/6/5/11	ϲτον εἰϲ εὖροϲ διαφυϲᾶται, καὶ ϲύμπανθ' οὕτω τὰ μόρια κρατύνεται 
-Z/6/5/12	καὶ εἰϲ τὴν ἀκροτάτην αὐτῶν ἰϲχὺν ἀφικνεῖται. τὸ δὲ ἀπὸ τοῦδε πε-
-Z/6/5/13	ραιτέρω τοῦ προϲήκοντοϲ ἤδη ξηροτέρων ἁπάντων τῶν ὀργάνων γινο-
-Z/6/5/14	μένων αἵ τε ἐνέργειαι χεῖρον ἀποτελοῦνται καὶ ἀϲαρκότερόν τε καὶ 
-Z/6/5/15	ἰϲχνότερον ἑαυτοῦ γίνεται τὸ ζῷον. ἐπὶ πλέον δὴ ἀναξηραινόμενον 
-Z/6/6/1	οὐκ ἀϲαρκότερόν γε μόνον, ἀλλὰ καὶ ῥυϲὸν ἀπο|τελεῖται, καὶ τὸ κῶλον 
-Z/6/6/2	ἀκρατὲϲ καὶ ϲφαλερὸν ἐν ταῖϲ κινήϲεϲι. καὶ καλεῖται μὲν ἡ τοιαύτη 
-Z/6/6/3	διάθεϲιϲ γῆραϲ, ἀνὰ λόγον δ' ἐϲτὶ τῇ τῶν φυτῶν αὐάνϲει. καὶ γὰρ αὖ 
-Z/6/6/4	κἀκείνη γῆράϲ ἐϲτι φυτῶν, δι' ὑπερβάλλουϲαν ξηρότητα γινομένη. μία 
-Z/6/6/5	μὲν οὖν ἥδε ϲύμφυτοϲ ἀνάγκη φθορᾶϲ ἅπαντι τῷ γεννητῷ ϲώματι, 
-Z/6/6/6	δευτέρα δὲ τοῖϲ ζῴοιϲ μάλιϲθ' ὑπάρχουϲα τῆϲ ὅληϲ αὐτῶν οὐϲίαϲ ἡ 
-Z/6/6/7	ῥύϲιϲ ἐκ τῆϲ ἐμφύτου θερμότητοϲ ἀποτελουμένη. 
-Z/6/6/8	  ταύταϲ μὲν οὖν τὰϲ βλάβαϲ οὐδενὶ γεννητῷ ϲώματι φυγεῖν ἐγχω-
-Z/6/6/9	ρεῖ, τὰϲ δ' ἄλλαϲ βλάβαϲ, ὅϲαι ταύταιϲ ἕπονται, δυνατὸν φυλάξαϲθαι 
-Z/6/6/10	προμηθούμενον. ἡ γένεϲιϲ δὲ κἀκείνων ἐκ τοῦ τὰϲ ἀναγκαίαϲ βλάβαϲ 
-Z/6/6/11	ἐπανορθοῦϲθαι πειρᾶϲθαι. ῥεούϲηϲ γὰρ τῆϲ οὐϲίαϲ ϲυϲτάϲεωϲ ἁπάντων 
-Z/6/6/12	τῶν ζῴων, εἰ μή τιϲ ἕτερον ὅμοιον ἀντειϲάγοι τῷ ἀπορρέοντι, δια-
-Z/6/6/13	φορηθήϲεταί τε καὶ ϲκεδαϲθήϲεται ϲύμπαν οὕτω τὸ ϲῶμα. καὶ διὰ 
-Z/6/6/14	τοῦτο οἶμαι τὴν φύϲιν οὐ τοῖϲ ζῴοιϲ μόνον, ἀλλὰ καὶ φυτοῖϲ εὐθὺϲ 
-Z/6/6/15	ἐξ ἀρχῆϲ ϲυμφύτουϲ δοῦναι δυνάμειϲ ἐφιεμέναϲ τῶν ἀεὶ ἐλλειπόντων. | 
-Z/6/7/1	οὔτε γὰρ ἐϲθίειν οὔτε πίνειν οὔτε ἀναπνεῖν διδαϲκόμεθα πρόϲ τινοϲ, 
-Z/6/7/2	ἀλλ' ἐξ ἀρχῆϲ ἔχομεν ἁπάντων τούτων ἐν ἡμῖν αὐτοῖϲ τὰϲ δυνάμειϲ 
-Z/6/7/3	ἄνευ διδαχῆϲ ἐπιτελούϲαϲ ἅπαντα. διὰ μὲν οὖν τῆϲ ἐδωδῆϲ ἀναπλη-
-Z/6/7/4	ροῦμεν, ὅϲον ἀπερρύη τῆϲ ξηροτέραϲ οὐϲίαϲ, διὰ δὲ τοῦ πόματοϲ τὸ 
-Z/6/7/5	κενωθὲν τῆϲ ὑγροτέραϲ ἀντειϲάγομεν, εἰϲ τὴν ἀρχαίαν ἐπανάγοντεϲ 
-Z/6/7/6	ἄμφω ϲυμμετρίαν. οὕτω δὲ καὶ τῆϲ ἀερώδουϲ τε καὶ πυρώδουϲ οὐϲίαϲ 
-Z/6/7/7	τὴν ϲυμμετρίαν ἀναπνοαῖϲ τε καὶ ϲφυγμοῖϲ διαϲῴζομεν. ἀποδέδεικται 
-Z/6/7/8	δὲ καὶ περὶ τούτων ἁπάντων ἰδίᾳ καθ' ἕκαϲτον ἐν ἑτέροιϲ γράμμαϲι, 
-Z/6/7/9	καὶ προϲήκειν ἡγοῦμαι τῷ λόγῳ τῷ νῦν, ὅϲα δέδεικται δι' ἐκείνων 
-Z/6/7/10	ὑποθέϲειϲ ποιηϲάμενον πρὸϲ τὴν ὑγιεινὴν πραγματείαν, οὕτωϲ ἔχεϲθαι 
-Z/6/7/11	τῶν ἐφεξῆϲ. 
-Z/6/7/12	  Ἐπειδὴ γὰρ ἀπορρεῖ μὲν ἁπάντων τῶν ζῴων ὁϲημέραι πολὺ 
-Z/6/7/13	μέροϲ τῆϲ οὐϲίαϲ διὰ τὴν ἔμφυτον θερμότητα, δεόμεθα δὲ ὑπὲρ τοῦ  
-Z/6/7/14	τὴν ϲυμμετρίαν αὐτῆϲ διαφυλάττεϲθαι ϲιτίων τε καὶ πομάτων, ἀνα-
-Z/6/7/15	πνοῆϲ τε καὶ ϲφυγμῶν, ἐξ ἀνάγκηϲ ἀκολουθήϲει τοῖϲδε περιττωμάτων 
-Z/6/7/16	γένεϲιϲ. εἰ μὲν γάρ, οἷόνπερ ἦν τὸ κενωθέν, ἕτερον ἀκριβῶϲ τοιοῦτον | 
-Z/6/8/1	εἴχομεν αὐτῷ προϲφῦϲαι δι' ὅλου, κάλλιϲτον ἂν ἦν τοῦτο καὶ ὑγιεινό-
-Z/6/8/2	τατον. ἐπεὶ δὲ τὸ μὲν ἀπορρέον ἑκάϲτου τῶν μορίων τοιοῦτον τὴν 
-Z/6/8/3	φύϲιν ἐϲτίν, οἷόνπερ αὐτὸ τὸ μόριον, οὐδὲν δὲ τῶν ἐϲθιομένων ἢ 
-Z/6/8/4	πινομένων ἀκριβῶϲ ἐϲτι τοιοῦτον, ἀναγκαῖον ἐγένετο τῇ φύϲει προ-
-Z/6/8/5	μεταβάλλειν τε καὶ προπέττειν αὐτὰ καὶ ὡϲ ἔνι μάλιϲτα προπαραϲκευ-
-Z/6/8/6	άζειν ὅμοια τῷ θρεψομένῳ ϲώματι. κἀν τούτῳ τὸ μὴ κατεργαϲθὲν 
-Z/6/8/7	ἀκριβῶϲ μηδ' ἐξομοιωθὲν οὔτε προϲφύεται τῷ ϲώματι καὶ περιττὸν 
-Z/6/8/8	ὂν ἀλᾶται κατὰ τὰϲ ἔνδον εὐρυχωρίαϲ, ὅθενπερ αὐτῷ καὶ τοὔνομα 
-Z/6/8/9	πρὸϲ τῶν ἔμπροϲθεν ὀρθῶϲ ἐτέθη περίττωμα. ἐπειδὴ οὖν τὸ μὲν ἐϲθί-
-Z/6/8/10	ειν τε καὶ πίνειν ἀναγκαῖα τοῖϲ ζῴοιϲ ὑπάρχει, ἀκολουθεῖ δὲ τούτοιϲ 
-Z/6/8/11	ἡ τῶν περιττωμάτων γένεϲιϲ, ὄργανά τε πρὸϲ τὴν ἀπόκριϲιν αὐτῶν 
-Z/6/8/12	ἡ φύϲιϲ παρεϲκεύαϲεν καὶ δυνάμειϲ αὐτοῖϲ ἐνέθηκε, δι' ὧν κινούμενα 
-Z/6/8/13	τὰ μὲν ἕλκει, τὰ δὲ παραπέμπει, τὰ δὲ ἐκκρίνει τὰ περιττώματα. καὶ 
-Z/6/8/14	χρὴ δήπου μήτ' ἐμφράττεϲθαι κατά τι μήτε ἀρρωϲτεῖν κατὰ τὰϲ ἐνερ-
-Z/6/9/1	γείαϲ ὑπὲρ τοῦ καθαρὸν ἀεὶ καὶ ἀπέριττον διαφυλάττεϲθαι | τὸ ϲῶμα. 
-Z/6/9/2	καί ϲοι δύο μὲν ἤδη ϲκοποὺϲ τούϲδε πρὸϲ δίαιταν ὑγιεινὴν ὁ λόγοϲ 
-Z/6/9/3	ὑφηγήϲατο, τὸν μὲν ἕτερον ἀναπλήρωϲιν τῶν κενουμένων, τὸν δ' ἕτε-
-Z/6/9/4	ρον ἀπόκριϲιν τῶν περιττωμάτων. ὁ γὰρ δὴ τρίτοϲ ὁ περὶ τοῦ μὴ 
-Z/6/9/5	ταχύγηρον γίνεϲθαι τὸ ζῷον ἐξ ἀνάγκηϲ ἕπεται τοῖϲ εἰρημένοιϲ. εἰ 
-Z/6/9/6	γὰρ μηδὲν ἁμαρτάνοιτο μήτε ἐν τῷ τὸ κενούμενον ἀναπληροῦϲθαι μήτε 
-Z/6/9/7	ἐν τῷ τὰ περιττώματα 〈μὴ〉 μένειν ἔνδον, ὑγιαίνοι τ' ἂν ἐν τῷδε τὸ 
[0057]  [036]  []  []

-Z/6/9/8	ζῷον ἀκμάζοι τε μέχρι παμπόλλου. περὶ μὲν δὴ τοῦδε καὶ αὖθιϲ εἰρή-
-Z/6/9/9	ϲεται τοῦ λόγου προϊόντοϲ. 
-Z/6/9/10	  Τὸ δ' ὑπόλοιπον ὧν ἐξ ἀρχῆϲ διελέϲθαι προὐθέμεθα προϲθῶμεν 
-Z/6/9/11	ὑπὲρ τοῦ διωρίϲθαι ϲαφῶϲ ἤδη τοὺϲ ὑγιεινοὺϲ ϲκοπούϲ, ὁποῖοί τέ εἰϲι 
-Z/6/9/12	καὶ ὁπόϲοι. ἔφαμεν γάρ, ὡϲ, εἰ μὲν ἀπαθὲϲ ἦν ἡμῶν τὸ ϲῶμα, καθάπερ 
-Z/6/9/13	ἀδάμαϲ ἤ τι τοιοῦτον, οὐδεμιᾶϲ ἂν ἐδεῖτο τέχνηϲ ἐπιϲτατούϲηϲ αὐτῷ· 
-Z/6/9/14	ἐπειδὴ δὲ διττὰϲ ἔχει τῆϲ φθορᾶϲ αἰτίαϲ, τὰϲ μὲν ἔνδοθεν καὶ ἐξ ἑαυ-
-Z/6/9/15	τοῦ, τὰϲ δὲ ἐκ τῶν ἔξωθεν προϲπιπτόντων, ἀναγκαῖον αὐτὸ δεῖϲθαι 
-Z/6/10/1	προνοίαϲ οὐ μικρᾶϲ. | ἐξ ἑαυτοῦ μὲν οὖν ἐδείχθη κατὰ διττὸν τρόπον  
-Z/6/10/2	διαφθειρόμενον, ἢ διὰ γῆραϲ ἐπὶ θάνατον προϊὸν ἢ διὰ τὸ ῥεῖν ἀεὶ 
-Z/6/10/3	τὴν οὐϲίαν αὐτοῦ, καθ' ἕτερον δὲ τὸν ἑπόμενον οἷϲ ἐϲθίει τε καὶ πίνει 
-Z/6/10/4	τὸν ἐκ τῆϲ τῶν περιττωμάτων γενέϲεωϲ. ἐξ ἑαυτοῦ μὲν οὖν ὧδέ πωϲ 
-Z/6/10/5	φθείρεται, τῶν δὲ ἔξωθεν αὐτῷ προϲπιπτόντων ἓν μὲν ἀχώριϲτόν τέ 
-Z/6/10/6	ἐϲτι καὶ διαπαντὸϲ ὑπάρχον αὐτῷ καὶ ὡϲ ἂν εἴποι τιϲ ϲύμφυτον, ὁ 
-Z/6/10/7	περιέχων ἀήρ, τὰ δ' ἄλλα οὔτ' ἀναγκαῖα καὶ κατὰ χρόνουϲ τινὰϲ ἀτά-
-Z/6/10/8	κτωϲ ὁμιλοῦντα, τὰ μὲν ὥϲπερ ὁ περιέχων ἀὴρ ἢ τῷ θερμαίνειν ἀμέ-
-Z/6/10/9	τρωϲ ἢ τῷ ψύχειν ἢ τῷ ξηραίνειν ἢ τῷ ὑγραίνειν βλάπτοντα, τὰ δὲ 
-Z/6/10/10	τῷ θλᾶν ἢ διαϲπᾶν ἢ τιτρώϲκειν ἢ ἔξαρθρόν τι ποιεῖν. ἔϲτι μὲν οὖν 
-Z/6/10/11	τιϲ ἐνταῦθα λογικὴ ζήτηϲιϲ εἰϲ ἑκάτερον ἐπιχειρεῖϲθαι δυναμένη, τινῶν 
-Z/6/10/12	μὲν τῆϲ περὶ τὸ ϲῶμα τέχνηϲ ἁπάντων τούτων τὴν φυλακὴν εἶναι 
-Z/6/10/13	λεγόντων, τινῶν δὲ τῶν θερμαινόντων τε καὶ ψυχόντων, ὑγραινόν-
-Z/6/10/14	των καὶ ξηραινόντων μόνον· εἰ γὰρ τὸ θλῶν ἢ τὸ τιτρῶϲκον ἤ τι 
-Z/6/11/1	τοιοῦθ' ἕτερον ἐργαζόμενον ἐξίϲτηϲι τοῦ | κατὰ φύϲιν ἡμᾶϲ, οὐδεμιᾶϲ 
-Z/6/11/2	εἶναι τέχνηϲ οὔτε γινώϲκειν οὔτε φυλάττειν τὰ τοιαῦτα. ἐμοὶ δὲ περὶ 
-Z/6/11/3	μὲν τῶν τοιούτων προβλημάτων οὐ πρόκειται νῦν διαιρεῖν· ὅπερ δ' 
-Z/6/11/4	ὁμολογούμενόν ἐϲτι παρ' ἀμφοῖν ἐξ ἑτοίμου λαβὼν ἐπὶ τὸ προκείμε-
-Z/6/11/5	νον ἐπάνειμι. τὸ γὰρ ἅπαϲι μὲν τοῖϲ ἀνθρώποιϲ γινώϲκεϲθαι τὰ τῷ 
-Z/6/11/6	τιτρώϲκειν ἢ θλᾶν ἤ τι τοιοῦτον ἕτερον ἐργάζεϲθαι βλάπτοντά τε καὶ 
-Z/6/11/7	διαφθείροντα τὴν ὑγείαν, οὐχ ἅπαϲι δὲ ὅϲα τῷ θερμαίνειν ἢ ψύχειν 
-Z/6/11/8	ἢ ξηραίνειν ἢ ὑγραίνειν, ὡμολόγηται παρ' ἀμφοῖν. οὐκοῦν οὐδ' ἡμεῖϲ 
-Z/6/11/9	αὐτοῖϲ παρὰ μέλοϲ τι πράττειν δόξομεν, εἰ τὰ γινωϲκόμενα ἅπαϲιν 
-Z/6/11/10	ὑπερβάντεϲ ἐπὶ τὰ μὴ γινωϲκόμενα τὸν λόγον ἄγοιμεν. οὐ γάρ μοι 
-Z/6/11/11	πρόκειται τό γε νῦν εἶναι ϲοφιϲτικὰ ζητήματα διελθεῖν, ἀλλ' ὡϲ ἄν 
-Z/6/11/12	τιϲ ἥκιϲτα νοϲήϲειεν ὑφηγεῖϲθαι. 
-Z/6/11/13	  πάλιν οὖν ἐπὶ τὴν οἰκείαν ἀρχὴν ἀναγάγωμεν τὸν λόγον ἀνα-
-Z/6/11/14	μνήϲομέν τ' ἀκριβέϲτερον ἔτι τῶν ὑποθέϲεων αὐτοῦ. τό τε γὰρ εἶναι 
-Z/6/11/15	τὴν ὑγείαν οὐχ ἁπλῶϲ εὐκραϲίαν ἢ ϲυμμετρίαν τῶν ϲτοιχείων, ἐξ ὧν | 
-Z/6/12/1	ἐγενόμεθα, καθάπερ οἱ πρὸ ἡμῶν ὀλίγου δεῖν ἅπαντεϲ ἐνόμιζον, ἀλλὰ 
-Z/6/12/2	μόνον τὴν τῶν ὁμοιομερῶν ϲωμάτων, ἀποδεδειγμένον ἡμῖν ἐν ἑτέροιϲ, 
-Z/6/12/3	ὑπόθεϲιϲ ἔϲτω πρὸϲ τὰ παρόντα· τό τε τῶν ὀργανικῶν ϲωμάτων τὴν 
-Z/6/12/4	ὑγείαν ἐν διαπλάϲει τε καὶ ἀριθμῷ καὶ πηλικότητι καὶ ϲυνθέϲει τῶν 
-Z/6/12/5	ὁμοιομερῶν ϲυνίϲταϲθαι καὶ τοῦθ' ὡϲαύτωϲ ὑποκείϲθω πρὸϲ τὰ παρ-
-Z/6/12/6	όντα δεδειγμένον ἑτέρωθι. καὶ μὴν καὶ ὅτι ταῖϲ κατὰ φύϲιν ἐνερ-
-Z/6/12/7	γείαιϲ ἡ ὑγιεινὴ καταϲκευὴ κρίνεται, καὶ ὅτι τῆϲ ὑγείαϲ ἡ μὲν ἀρίϲτη τίϲ  
-Z/6/12/8	ἐϲτι καὶ ὡϲ ἂν οὕτω τιϲ εἴποι τελεία τε καὶ ἀκριβήϲ, ἡ δ' οἷον ἐλλι-
-Z/6/12/9	πήϲ τε καὶ οὐκ ἀκριβὴϲ οὐδὲ τελεία, ἥνπερ δὴ καὶ πλάτοϲ ἔχειν πάμ-
-Z/6/12/10	πολύ φαμεν, ὑποκείϲθω καὶ ταῦθ' ἡμῖν ἐν τῷδε, δι' ἑτέρων τε ἤδη 
-Z/6/12/11	προαποδεδειγμένα καὶ νῦν οὐχ ἥκιϲτα δειχθηϲόμενα. μάλιϲτα δ' ἀνε-
-Z/6/12/12	γνωκέναι βούλομαι τὸν ὁμιλήϲοντα τοῖϲδε τοῖϲ γράμμαϲι τὸ βιβλίον, 
-Z/6/12/13	ἐν ᾧ ϲκέπτομαι, τίνοϲ ἐϲτὶ τέχνηϲ μέροϲ τὸ ὑγιεινόν (ἐπιγράφεται δὲ 
-Z/6/13/1	Θραϲύβουλοϲ), ἔτι δὲ καὶ τὸ | Περὶ τῆϲ ἀρίϲτηϲ καταϲκευῆϲ τοῦ ϲώ-
-Z/6/13/2	ματοϲ ἡμῶν, ἔτι δὲ τὸ Περὶ τῆϲ εὐεξίαϲ. ἔϲτι δ' ἄμφω μικρὰ βιβλί-
-Z/6/13/3	δια, ἃ προαναγνοὺϲ εἴ τιϲ ἐπὶ τόνδε τὸν λόγον ἀφίκοιτο, ῥᾷϲτα ἂν 
-Z/6/13/4	ἀκολουθήϲειε τοῖϲ νῦν λεγομένοιϲ. ὅτι δὲ καὶ τὸ Περὶ τῶν καθ' Ἱππο-
-Z/6/13/5	κράτη ϲτοιχείων ἀναγκαῖόν ἐϲτιν εἰϲ τὰ παρόντα, πρότερον εἴρηται· 
-Z/6/13/6	καὶ γὰρ δὴ καὶ ἕπεται ἐκείνῳ τὸ Περὶ τῆϲ ἀρίϲτηϲ καταϲκευῆϲ καὶ τὸ 
-Z/6/13/7	Περὶ τῆϲ εὐεξίαϲ. 
