
[0057]  [096]  []  []

-Z/18a/346/t1	{ΠΕΡΙ ΤΩΝ ΟΥΧ ΕΩΡΑΜΕΝΩΝ 
-Z/18a/352/10	Καὶ γὰρ ἡ ὑγρότης τοῖσιν ἀνθρώποισι γίνεται ἡ ἐκ 
-Z/18a/352/11	  τῶν ἄρθρων διὰ τῶν νεύρων τὴν ἀπάρτισιν ἢ χαλαρά τε 
-Z/18a/352/12	  εἴη φύσει καὶ τὰς ἐπιτάσιας εὐφόρως φέρῃ. συχνοὺς γὰρ 
-Z/18a/352/13	  ἄν τις ἴδοι, οἳ οὕτως ὑγροί εἰσιν, ὥστε ὁπόταν ἐθέλωσι, 
-Z/18a/352/14	  τότε αὐτοῖσι τὰ ἄρθρα ἐξίστανται ἀνωδύνως καὶ καθί-
-Z/18a/352/15	  στανται ἀνωδύνως. 
-Z/18a/352/16	          — — — 
-Z/18a/352/17	    Ἐνηλλαγμένως μοὶ δοκεῖ τὴν ἑρμηνείαν ποιεῖσθαι· διὰ 
-Z/18a/352/18	γὰρ τὴν ὑγρότητα τῆς φύσεως τοῦ ἀνθρώπου γιγνομένων  
-Z/18a/353/1	τῶν νευρωδῶν σωμάτων χαλαρῶν, οὐ διότι ταῦτά ἐστι χα-
-Z/18a/353/2	λαρὰ, διὰ τοῦτο ὑγραινομένων τῶν περὶ τὰ ἄρθρα. ἡ λέξις 
-Z/18a/353/3	αὐτοῦ τὸ ἐναντίον εἴρηκε, δοκεῖ μοι βουληθεὶς τὴν ἑτοιμο-
-Z/18a/353/4	τάτην ἐπὶ πλέον ἔκτασιν τῶν νευρωδῶν ποιεῖσθαι σωμάτων, 
-Z/18a/353/5	ἐκ τῆς τῶν ἀνθρώπων ὑγρότητος οὐ κρατῆσαι τούτων κατὰ 
-Z/18a/353/6	τὴν ἑρμηνείαν, ἀλλὰ χρησάμενος οὐ κυρίως λίαν συνδέσμῳ 
-Z/18a/353/7	πρὸς τὴν τῆς αἰτίας νόησιν ἄγει τοὺς ἀναγινώσκοντας. 
-Z/18a/353/8	          — — — 
-Z/18a/353/9	            κεʹ. 
-Z/18a/353/10	Διαφέρει μέντοι καὶ σχέσις τις σώματος· τοῖσι μὲν γὰρ εὖ 
-Z/18a/353/11	  ἔχουσι τὸ γυῖον καὶ σεσαρκωμένοισιν ἐκπίπτει τε ἧσσον, 
-Z/18a/353/12	  ἐμπίπτει τε χαλεπώτερον. ὅταν δὲ αὐτοὶ σφῶν αὐτῶν 
-Z/18a/353/13	  λεπτότεροι καὶ ἀσαρκότεροι ἔωσι, τότε ἐκπίπτει τε μᾶλ-
-Z/18a/353/14	  λον, ἐμπίπτει τε ῥᾷον. σημεῖον δὲ ὅτι ταῦτα οὕτως ἔχει 
-Z/18a/353/15	  τόδε· τοῖσι γὰρ βουσὶ τότε ἐκπίπτουσι μᾶλλον οἱ μηροὶ 
-Z/18a/353/16	  ἐκ τῆς κοτύλης, ἡνίκα ἂν αὐτοὶ σφῶν αὐτῶν λεπτό-
-Z/18a/353/17	  τατοι ἔωσι. γίνονται δὲ καὶ βόες λεπτότατοι τοῦ χει-
-Z/18a/353/18	  μῶνος τελευτῶντος, τότε οὖν καὶ ἐξαρθρέουσι μάλιστα. 
-Z/18a/353/19	  εἰ δή τι καὶ τοιοῦτο δεῖ ἐν ἰητρικῇ γράψαι, δεῖ δέ. 
-Z/18a/353/20	          — — —  
-Z/18a/354/1	    Αἱ μὲν φύσεις καὶ διαφοραὶ τῶν ἄρθρων, ἐφ' αἷς ἢ 
-Z/18a/354/2	τὸ ῥᾳδίως ἢ μόγις αἵ τε ἐξαρθρήσεις καὶ ἐμβολαὶ γίνονται, 
-Z/18a/354/3	δύο εἰσὶν, ἃς ἐγὼ πολλάκις εἶπον ἔν τε τῇ πρὸ ταύτης 
-Z/18a/354/4	ἔγραψα ῥήσει. προσέρχεται δὲ αὐταῖς ἐνίοτε καὶ τρίτη, 
-Z/18a/354/5	περὶ ἧς νῦν διδάσκει, κατὰ πάχος τε καὶ λεπτότητα 
-Z/18a/354/6	τοῦ σώματος γιγνομένη, ἣν ὀνομάζουσι σχέσιν. ὅσοι γὰρ ἂν 
-Z/18a/354/7	εὑρεθῶσιν εὐσαρκότεροι γενηθεῖσιν ἑαυτῶν οἱ ἄνθρωποι, το-
-Z/18a/354/8	σούτῳ δυσκολώτεροι αἵ τε ἐμπτώσεις τῶν ἄρθρων αὐτοῖς, 
-Z/18a/354/9	αἵ τε ἐμβολαὶ συντελοῦνται διὰ τὸ σφίγγεσθαι πανταχόθεν 
-Z/18a/354/10	αὐτὰ τῷ πλήθει τῶν σαρκῶν. ἔμπαλιν δὲ τοῖς λεπτυν-
-Z/18a/354/11	θεῖσι χαλαρὸν μὲν τὸ δέρμα γίνεται τῶν περικειμένων ταῖς 
-Z/18a/354/12	ἀρθρώσεσι σαρκῶν ὀλίγοισί τε εἰκῆ ταῖς διαρθρώσεσιν. ἐὰν 
-Z/18a/354/13	μέντοι τις ἰσχνὸς ᾖ φύσει, κάκιον οὐδὲν ἔχει τοῦ παχυτέ-
-Z/18a/354/14	ρου. δέδεικται γὰρ ἐν τοῖς περὶ κράσεων ὁ μὲν ἰσχνότερος 
-Z/18a/354/15	φύσει ξηρότερος ὢν τὴν κρᾶσιν, ὁ δὲ παχύτερος ὑγρότερος, 
-Z/18a/354/16	ὥστε τῶν μὲν ἰσχνῶν σύντονος οὖσα τῶν μυῶν ἡ οὐσία 
-Z/18a/354/17	σφίγγει τὴν διάρθρωσιν, τῶν δὲ παχυτέρων, καθόσον μὲν 
-Z/18a/354/18	πλείους αἱ σάρκες εἰσὶν, ἀποκλείουσί γε τὴν πέριξ τῶν ἄρ- 
-Z/18a/355/1	θρων χώραν, καθόσον δὲ μαλακαὶ ῥᾳδίως ἀνατρέπονται, 
[0057]  [096]  []  []

-Z/18a/355/2	παραδέχουσαι τὰς κεφαλὰς ἑξῆς τῶν ἐξισταμένων φαλακρῶν 
-Z/18a/355/3	ὀστῶν, ὥστε ἀνίστασθαι τὰ κατὰ τὰς ἐκπτώσεις ἑκατέροις. 
-Z/18a/355/4	εἰ μέντοι τις εὔσαρκος φύσει κατά τινα καιρὸν ἰσχνότερος 
-Z/18a/355/5	ἑαυτοῦ γίνηται, ῥᾷον ἂν ἐκπίπτει τε τούτῳ καὶ αὖθις ἐμ-
-Z/18a/355/6	πίπτει κατὰ τὸν καιρὸν ἐκεῖνον ἢ πρόσθεν, ὥσπερ καὶ εἰ 
-Z/18a/355/7	σαρκωθείη τις ὢν φύσει λεπτὸς, ἐκπίπτει τ' ἂν αὐτῷ μό-
-Z/18a/355/8	γις, ἐμβάλλοιτό τε χαλεπῶς, τούτου τε λόγου τὰ 
-Z/18a/355/9	κατὰ τοὺς βοῦς φαινόμενα γράφει μαρτύρια σαφῶς ἑρμη-
-Z/18a/355/10	νεύων, ὡς μηδεμιᾶς ἐξηγήσεως δεῖσθαι, πλὴν εἰ λέξις τις 
-Z/18a/355/11	εἴη μία που καὶ δύο τοιαῦται, περὶ ὧν ἐπισημανοῦμαι κἀγώ. 
-Z/18a/355/12	          — — — 
-Z/18a/355/13	            κστʹ. 
-Z/18a/355/14	Καλῶς γὰρ Ὅμηρος καταμεμαθήκει ὅτι πάντων τῶν προ-
-Z/18a/355/15	  βάτων βόες ὅτι μάλιστα πονέουσι ταύτην τὴν ὥρην καὶ 
-Z/18a/355/16	  βοῶν οἱ ἀρόται, ὅτι κατὰ τὸν χειμῶνα ἐργάζονται. τού-
-Z/18a/355/17	  τοισι τοίνυν ἐκπίπτει μάλιστα, οὗτοι γὰρ μάλιστα λε-
-Z/18a/355/18	  πτύνονται· τὰ μὲν γὰρ ἄλλα βοσκήματα δύναται βρα- 
-Z/18a/356/1	  χεῖαν τὴν πόην βόσκεσθαι, βοῦς δὲ οὐ μάλα, πρὶν βα-
-Z/18a/356/2	  θεῖα γένηται. τοῖσι μὲν γὰρ ἄλλοισίν ἐστι λεπτὴ ἡ προ-
-Z/18a/356/3	  βολὴ τοῦ χείλεος, λεπτὴ δὲ ἡ ἄνω γνάθος, παχεῖα δὲ 
-Z/18a/356/4	  καὶ ἀμβλεῖα ἡ ἄνω γνάθος, διὰ ταῦτα ὑποβάλλειν εἰς τὰς 
-Z/18a/356/5	  βραχεῖας πόας οὐ δύνανται. 
-Z/18a/356/6	          — — — 
-Z/18a/356/7	    Πρόβατα νῦν εἶπεν ἅπαντα τὰ βοσκήματα, καθάπερ 
-Z/18a/356/8	ἐν τῷ περὶ ἱερῆς νόσου γέγραπται κατὰ λέξιν οὕτως· οὐκ 
-Z/18a/356/9	ἔστιν ἄλλο πρόβατον οὐδὲν ἢ βόες καὶ αἶγες. καὶ τὸ παρὰ 
-Z/18a/356/10	τῷ ποιητῇ τοιοῦτόν ἐστιν, ἔνθα φησί· 
-Z/18a/356/10	 
-Z/18a/356/11	      Πολλά τέ οἱ πρόβατ' ἐστί. 
-Z/18a/356/11	 
-Z/18a/356/12	βούλεται γὰρ ἀγέλας βοσκημάτων δηλοῦν. ἐχρήσαντο καὶ 
-Z/18a/356/13	ἄλλοι οὕτως τῶν παλαιῶν τῇ φωνῇ. 
-Z/18a/356/14	          — — — 
-Z/18a/356/15	            κζʹ. 
-Z/18a/356/16	Τά τε αὖ μώνυχα τῶν ζώων, ἅτε ἀμφώδοντα ἐόντα. δύνα-
-Z/18a/356/17	  ται μὲν γὰρ σαρκάζειν, δύναται δὲ ὑπὸ τὴν βραχεῖαν  
-Z/18a/357/1	  πόην ὑποβάλλειν τοὺς ὀδόντας καὶ ἥδεται τῇ οὕτως ἐχούσῃ 
-Z/18a/357/2	  πόῃ μᾶλλον ἢ τῇ βαθείῃ. καὶ γὰρ τὸ ἐπίπαν ἀμείνων 
-Z/18a/357/3	  καὶ στερεωτέρη ἡ βραχεῖα πόη τῆς βαθείας, ὅτι καὶ πρὶν 
-Z/18a/357/4	  ἐκκαρπεῖν τὴν βαθεῖαν. διὰ τοῦτο οὖν ἐποίησεν ὧδε 
-Z/18a/357/5	  τάδε τὰ ἔπη· 
-Z/18a/357/5	 
-Z/18a/357/6	    ὡς δ' ὁπότ' ἀσπάσιον ἔαρ ἤλυθε βουσὶν ἕλιξιν. 
-Z/18a/357/6	 
-Z/18a/357/7	ὅτι ἀσμενωτάτη τοῖσι αὐτοῖσιν ἡ βαθεῖα πόη φαίνεται. 
-Z/18a/357/8	ἀτὰρ καὶ ἄλλως ὁ βοῦς χαλαρὸν φύσει τὸ ἄρθρον τοῦτο 
-Z/18a/357/9	ἔχει μᾶλλον τῶν ἄλλων, διὰ τοῦτο καὶ εἰλίπουν ἐστὶ μᾶλ-
-Z/18a/357/10	λον τῶν ἄλλων ζώων καὶ μάλιστα ὅταν λεπτὸν καὶ γηρα-
-Z/18a/357/11	λέον ἔῃ, διὰ ταῦτα πάντα καὶ ἐκπίπτει βοῒ μάλιστα. 
-Z/18a/357/12	πλείω δὲ γέγραπται περὶ αὐτοῦ, ὅτι πάντων τῶν προει-
-Z/18a/357/13	ρημένων ταῦτα μαρτύριά ἐστι. περὶ οὗ νῦν ὁ λόγος, τοῖ-
-Z/18a/357/14	σιν ἀσάρκοισι μᾶλλον ἐκπίπτει, ὡς θᾶσσον ἐμπίπτειν ἢ 
-Z/18a/357/15	τοῖσιν εὖ σεσαρκωμένοισι καὶ ἧσσον ἐπιφλεγμαίνουσι τοῖ-
-Z/18a/357/16	σιν ὑγροῖσι καὶ τοῖσιν ἀσάρκοισιν ἢ τοῖσι σκελιφροῖσι 
-Z/18a/357/17	καὶ σεσαρκωμένοισι. 
-Z/18a/357/18	          — — —  
-Z/18a/358/1	    Τὸ σαρκάζειν ἔνιοι μὲν δηλοῦν φασι συνάγειν ἀλλήλοις 
-Z/18a/358/2	τὰ χείλη σφοδρῶς οὕτως, ὡς δύνασθαι καὶ ἀποσπᾶσθαί τι 
-Z/18a/358/3	βοτάνης μέρος ὑπ' αὐτῶν, ἔνιοι δὲ τὸ τοῖς ὀδοῦσι τὸ κάτω 
-Z/18a/358/4	μετὰ τοῦ ἄνω ἐργάζεσθαι ταὐτὸ, ἐπειδὴ καὶ οἱ σαρκάζον-
-Z/18a/358/5	τές τινες δάκνουσι τοῖς ὀδοῦσι τὸ χεῖλος. ἀλλ' ἐκεῖνοι μὲν 
-Z/18a/358/6	τοῖς ἄνωθεν ὀδοῦσι τὸ κάτω χεῖλος δάκνουσι, τὰ δὲ μηρυ-
-Z/18a/358/7	κίζοντα τὸν κάτω στοῖχον μόνον ἔχοντα τῶν ὀδόντων, χρῆ-
-Z/18a/358/8	σθαι πρὸς τοὺς δάκνοντας. διότι μὲν ὠνόμασται, 
-Z/18a/358/9	φασὶ, σαρκάζειν, ἐπειδὴ καὶ σαρκοφαγοῦντα τοῖς ζώοις ἑκα-
-Z/18a/358/10	τέροις χρῆται· καὶ τούτοις ἔοικε τὰ συμφραζόμενα τῇ λέξει 
-Z/18a/358/11	μαρτυρεῖν, οὐ τὰ μηρυκίζοντα τῶν ζώων εἰρηκότος αὐτοῦ 
-Z/18a/358/12	σαρκάζειν, ἀλλὰ τὰ τοὺς δύο τῶν ὀδόντων ἔχοντα στοίχους 
-Z/18a/358/13	ἃ καλοῦσιν ἀμφόδοντα. ταῦτα μὲν δύναται καὶ τὰς βραχείας 
-Z/18a/358/14	νέμεσθαι πόας, τουτέστι βοτάνας, οἷον ἵπποι καὶ ὄνοι καὶ 
-Z/18a/358/15	ἡμίονοι. τῶν δὲ τὸν ἕνα στοῖχον ἐχόντων ἐκεῖνα μόνα δύ-
-Z/18a/358/16	νανται, οἷς λεπτὴ τοῦ χείλους ἐστὶ προβολὴ καὶ διὰ τοῦτο  
-Z/18a/359/1	μόνοι τῶν βοτάνας ἐσθιόντων ζώων οἱ βόες ἀποροῦσι τρο-
-Z/18a/359/2	φῆς ἐν χειμῶνι, διότι μήτε σαρκάζειν δύνανται τὴν βρα-
-Z/18a/359/3	χεῖαν πόαν, τουτέστι τοῖς ὀδοῦσιν ἀποτέμνειν αὐτὴν, μηδὲ 
-Z/18a/359/4	τοῖς χείλεσι παραλαμβάνειν δύνασθαι τὴν βραχεῖαν πόαν 
-Z/18a/359/5	ὁμοίως αἰξὶ καὶ προβάτοις. ταῦτα μὲν οὖν τὰ τρία γένη 
